BPI        M3133      Ppb3stv




















































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9.0267     28.8657    3.5949     ROSTRUM
9.0356     28.8167    3.9476
9.0135     28.8203    4.1551
8.915      28.8091    4.4163
8.7724     28.7669    4.5972
8.5703     28.7287    4.9057
8.4412     28.7549    5.1579
8.3584     28.7494    5.3891
8.2751     28.825     5.6384
8.2081     28.839     5.8642
8.1114     28.8519    6.0812
8.0043     28.9043    6.2123
7.8881     28.87      6.3688
7.7145     28.9085    6.5297
7.507      28.9103    6.6361
7.3561     28.9183    6.8376
7.2432     28.9609    7.0555
7.099      28.9045    7.2796
6.9271     28.8674    7.5216
6.8204     28.8034    7.6951
6.7159     28.8327    7.8219
6.4459     28.8495    8.0008
6.1288     28.9602    7.8681
6.0085     28.9588    7.6726
5.835      28.9789    7.4619
5.756      28.9456    7.2905
5.6113     28.9696    7.0794
5.3732     29.0371    6.8288
5.1727     29.019     6.6476
5.0191     29.0027    6.489
4.8451     28.9478    6.3049
4.7466     28.9717    6.197
4.6552     28.9815    5.9519
4.55       28.9805    5.6804
4.4677     28.9765    5.4614
4.398      28.9769    5.3048
4.3405     28.9788    5.1435
4.2661     28.9526    5.005
4.1869     28.9629    4.8262
4.0406     29.0258    4.6445
3.9162     29.0297    4.5014
3.78       29.0844    4.3113
3.7009     29.1432    4.0049
3.7517     29.1732    3.7589
3.777      29.2268    3.572
3.8404     29.267     3.5028


























































































































































9.4244     25.6837    8.1416     SUPORB
9.4115     25.7027    8.3632
9.3491     25.6896    8.5336
9.2454     25.5973    8.7182
9.1048     25.5545    8.8874
9.0021     25.5091    9.0281
8.8811     25.5305    9.2109
8.7698     25.4865    9.3574
8.6051     25.5451    9.5264
8.4491     25.5924    9.6235
8.3267     25.6573    9.6912
8.1689     25.6846    9.796
7.9953     25.7184    9.8757
7.8193     25.8032    9.937
7.6304     25.8722    9.9951
7.4976     25.9263    10.048
7.3419     26.0035    10.1052
7.2105     26.1044    10.1297
6.9413     26.1314    10.1891
6.7145     26.286     10.2034
6.5277     26.343     10.1785
6.405      26.41      10.1709
6.0822     26.5806    10.0588
5.8851     26.6429    10.0507
5.5284     26.6394    10.0697
5.2445     26.599     10.0277
4.9003     26.4758    9.9805
4.5758     26.4395    9.9196
4.3208     26.4371    9.8489
4.0843     26.3806    9.7554
3.8434     26.3869    9.6546
3.582      26.4059    9.4781
3.4253     26.3898    9.3746
3.269      26.388     9.2393
3.0926     26.2863    9.0501
2.953      26.2968    8.8672
2.8992     26.2177    8.6582
2.7805     26.1993    8.4388
2.7528     26.2912    8.1561

































































































































































7.8395     27.5674    7.2461     RORBIT
8.143      27.4919    7.2684
8.3612     27.3312    7.3065
8.574      27.1059    7.4567
8.7055     26.8844    7.6148
8.7977     26.7335    7.8009
8.8702     26.5682    8.0441
8.8806     26.4538    8.1632
8.9017     26.361     8.4086
8.8812     26.2982    8.6891
8.7359     26.2569    8.9142
8.577      26.2515    9.166
8.4766     26.2999    9.3602
8.2454     26.4121    9.4105
7.9559     26.4616    9.4275
7.7204     26.531     9.6277
7.5032     26.5748    9.6416
7.2547     26.6696    9.6083
6.9841     26.7517    9.6663
6.7421     26.8545    9.6481
6.5944     27.0096    9.37
6.5945     27.0648    9.055
6.6334     27.2231    8.6919
6.7203     27.3695    8.4518
















































































































































































4.4112     27.8924    7.1775     LORBIT
4.2122     27.7977    7.1658
3.9767     27.6802    7.1711
3.7637     27.5757    7.2631
3.4978     27.4102    7.4569
3.43       27.2015    7.6641
3.3134     27.0869    7.865
3.1922     27.0058    8.0569
3.1872     26.916     8.2242
3.178      26.864     8.3632
3.1907     26.7601    8.6596
3.393      26.7334    8.9287
3.5596     26.7597    9.2118
3.7293     26.7968    9.3315
3.8296     26.7859    9.3869
4.1852     26.8462    9.5228
4.4902     26.9827    9.499
4.7194     26.9971    9.5154
4.9232     26.9461    9.6387
5.309      26.9751    9.6524
5.578      27.0884    9.4878
5.5691     27.0584    9.174
5.6895     27.2774    8.7938
5.6734     27.4501    8.4434
5.6268     27.5696    8.2681
5.5819     27.5979    8.1709














































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































6.8823     29.8051    8.866      OP
6.5153     28.2432    8.6989     BA
5.6264     23.7162    7.7042     ST
4.824      20.2201    7.782      IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
7.8789     23.401     8.9205     R_M3D
7.6174     21.1778    8.6817     R_M12
9999       9999       9999       R_MP3
9999       9999       9999       R_PMI
2.8557     29.3237    8.1654     L_PG
1.4716     27.5131    7.231      L_ZTI
3.3679     24.3813    8.6644     L_M3D
2.7611     22.118     8.5027     L_M12
3.0384     20.3729    8.2973     L_MP3
9999       9999       9999       L_PMI
4.4136     19.398     7.155      O1
3.8283     26.5551    2.9085     O2
10.9429    26.5461    7.4135     O3
8.1842     32.6267    7.3893     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































1.4159     27.4293    7.1889     LZYGINF
1.4165     27.2515    7.3075
1.4408     26.9331    7.3501
1.4235     26.7122    7.4181
1.4557     26.5411    7.4486
1.4736     26.2305    7.4658
1.4776     26.0757    7.4755
1.5844     25.8182    7.5072
1.6014     25.5216    7.4333
1.6509     25.2306    7.3529
1.6744     25.048     7.3391
1.7173     24.8604    7.3183
1.8556     24.6719    7.3166
2.1117     24.3634    7.2867


























































































































































































9999       9999       9999       R-ALV







































































































































































































3.2642     24.2275    8.6531     L-ALV
3.1028     24.0635    8.6279
3.0087     23.8033    8.6707
2.8884     23.6311    8.6748
2.8137     23.3491    8.584
2.7297     23.1409    8.5937
2.6804     22.8048    8.5683
2.6254     22.4226    8.4826
2.697      22.1283    8.5276
2.6981     21.9609    8.5371
2.6859     21.7698    8.5295
2.6959     21.3419    8.4572
2.7598     21.1293    8.4598
2.758      20.8885    8.3426
2.8327     20.6964    8.3613
2.9308     20.5495    8.3585
3.0161     20.3091    8.406
2.9669     20.0129    7.958
