MNHN       A-3904     Phu168sf


























































































































































-3.1309    9.7562     12.1032    RORBIT
-3.3887    9.7086     12.1313
-3.6159    9.7525     12.1921
-3.8214    9.8204     12.2578
-4.1153    9.9946     12.4075
-4.3891    10.1731    12.578
-4.5003    10.3201    12.8009
-4.5875    10.389     12.9798
-4.6614    10.3967    13.1893
-4.6806    10.3063    13.4823
-4.6955    10.1505    13.7063
-4.6446    10.0209    13.8707
-4.4906    9.9008     13.9765
-4.339     9.7396     14.1072
-4.0458    9.6002     14.2095
-3.8464    9.4332     14.2688
-3.5855    9.2694     14.3449
-3.3859    9.1859     14.3742
-3.2172    9.131      14.3694
-3.0016    9.0882     14.343
-2.7893    9.0391     14.3332
-2.4227    9.0016     14.4094
-2.1722    9.0196     14.46
-1.9218    9.0068     14.4847
-1.7582    9.0045     14.3889
-1.5214    8.9534     14.1991
-1.3566    9.0972     13.8592
-1.1026    9.2535     13.6451
-1.1288    9.3552     13.3676











































































































































































2.1533     9.6216     12.5372    LORBIT
2.3954     9.6424     12.6014
2.6478     9.7085     12.6746
2.9466     9.7287     12.8665
3.1331     9.8497     13.0358
3.2406     10.0276    13.2461
3.3641     10.1313    13.4691
3.4703     10.2017    13.6967
3.452      10.203     13.8965
3.4521     10.138     14.1238
3.4208     9.9367     14.3313
3.275      9.7314     14.5434
3.2062     9.4992     14.7328
2.994      9.375      14.7772
2.7185     9.1861     14.8202
2.3896     9.0311     14.8281
2.0774     8.9314     14.8068
1.7519     8.9263     14.6976
1.4108     8.9257     14.6028
1.0668     9.0225     14.632
0.6664     9.0649     14.6091
0.4735     9.0783     14.4796
0.278      9.1189     14.2151
0.1873     9.2194     13.9855
0.0433     9.3132     13.7485
0.001      9.3726     13.6207
0.0238     9.4476     13.405
0.0415     9.4836     13.3529












































































































































































9999       9999       9999       RTEMFOS







































































































































































































