NMNH       290065     See6stv
-2.4829    10.3336    5.3435     RORBIT
-2.6918    10.393     5.2699
-2.8042    10.4467    5.2438
-2.9677    10.5363    5.2388
-3.17      10.6016    5.2655
-3.312     10.7019    5.3103
-3.4085    10.741     5.3393
-3.5517    10.8451    5.4232
-3.7045    10.9882    5.5898
-3.76      11.0902    5.7186
-3.8731    11.2462    6.0266
-3.9016    11.3454    6.2495
-3.9005    11.4207    6.4678
-3.8974    11.5179    6.6843
-3.8974    11.5474    6.9126
-3.7787    11.4935    7.0875
-3.6351    11.4422    7.3069
-3.5248    11.4055    7.5443
-3.2199    11.4079    7.6669
-2.946     11.2653    7.8714
-2.6149    11.0812    7.9453
-2.3347    10.9206    7.944
-1.9827    10.7542    7.933
-1.7807    10.6843    7.932
-1.5478    10.6464    7.8334
-1.3685    10.5674    7.6881
-1.27      10.537     7.487
-1.2559    10.4098    7.1419
-1.3062    10.434     6.8502











































































































































































1.2181     10.1818    5.3572     LORBIT
1.4664     10.2154    5.2636
1.7066     10.3038    5.2135
1.8721     10.3914    5.2108
2.071      10.4781    5.2224
2.2741     10.5695    5.2692
2.4349     10.7056    5.3706
2.6015     10.8487    5.5242
2.7075     10.9946    5.6988
2.8638     11.1522    6.0352
2.9087     11.2764    6.3207
2.9571     11.3632    6.5503
2.9223     11.4521    6.7809
2.7593     11.4001    7.0294
2.6346     11.352     7.2414
2.481      11.3258    7.495
2.2804     11.2992    7.6145
2.1282     11.2325    7.728
1.889      11.0867    7.8143
1.6677     10.9604    7.8457
1.4589     10.8692    7.8717
1.1747     10.7265    7.8926
0.9685     10.6364    7.8969
0.6637     10.5845    7.8586
0.4034     10.5111    7.7347
0.2425     10.4391    7.5685
0.2001     10.4673    7.2436
0.2219     10.4879    7.0078
0.2515     10.5313    6.8245
















































































































