AMNH       169432     Phu1pwl2















































































































-5.1091    14.7284    14.2476    SUPORB
-5.0215    14.8939    14.738
-4.8926    14.8539    15.0906
-4.7558    14.8111    15.4919
-4.5909    14.679     15.7731
-4.4269    14.6009    15.9783
-4.1377    14.5205    16.2356
-3.9694    14.3641    16.4219
-3.751     14.215     16.5413
-3.5914    14.0438    16.6523
-3.4579    13.8938    16.6751
-3.3343    13.7896    16.7123
-3.1926    13.7198    16.7207
-2.8479    13.7378    16.8599
-2.6181    13.9383    16.9676
-2.372     14.0959    17.034
-2.1034    14.1814    17.0907
-1.7973    14.0654    17.1371
-1.4667    14.0264    17.121
-1.1965    13.9135    17.1126
-1.0002    13.7311    17.0687
-0.8418    13.5538    17.0588
-0.6661    13.3874    17.0159
-0.4943    13.3919    16.9821
-0.2822    13.4358    17.0101
0.0074     13.5188    17.0893
0.2978     13.6083    17.1546
0.5126     13.7746    17.1351
0.6904     13.9219    17.1678
0.9245     14.0408    17.1465
1.1829     13.9909    17.1842
1.3558     13.8431    17.1943
1.652      13.8397    17.1505
1.9286     13.7423    17.0999
2.1306     13.6107    17.0266
2.4048     13.7362    16.9624
2.6882     13.9892    16.851
2.9334     13.9942    16.733
3.3734     14.1477    16.4939
3.6466     14.2654    16.3002
3.8662     14.2857    16.0658
4.025      14.2483    15.7811
4.1495     14.2169    15.6029
4.2665     14.1781    15.3858
4.3838     14.1458    15.1353
4.4503     14.1198    14.9111


























































































































































-4.0426    13.7656    14.2393    RORBIT
-4.136     13.9187    14.4877
-4.1976    13.9616    14.7947
-4.2388    13.8587    15.0591
-4.0338    13.7851    15.3666
-3.9516    13.6271    15.5619
-3.7504    13.5397    15.7089
-3.5274    13.4257    15.8396
-3.3       13.3743    15.8719
-3.0845    13.2904    15.9292
-2.7696    13.187     15.9955
-2.5394    13.1473    15.9358
-2.3165    13.1404    15.8989
-1.7248    13.0915    16.2031
-1.4706    13.0835    16.1975
-1.2393    12.9961    16.0484
-1.1435    12.9636    15.8105
-1.0656    12.9713    15.4168
-1.0096    12.9621    15.204
-0.9608    12.9159    15.0045
-0.9525    12.7852    14.8016



















































































































































































3.2061     13.1032    14.4541    LORBIT
3.3364     13.2055    14.6931
3.4074     13.3102    14.8758
3.391      13.3646    15.1406
3.2294     13.238     15.503
3.0226     13.0974    15.798
