HLD        R8         Phu190sf
-4.7214    12.0982    15.2534
-4.6289    12.0597    15.5206
-4.4905    12.1287    15.766
-4.3681    12.111     16.0807
-4.2368    12.082     16.2834
-3.9874    12.0047    16.5608
-3.7035    11.9854    16.8307
-3.5108    11.888     16.9461
-3.326     11.8516    17.037
-2.9749    11.7924    17.2138
-2.7072    11.8369    17.3267
-2.4671    11.8677    17.4173
-2.1671    11.7715    17.4876
-1.8119    11.731     17.566
-1.3882    11.8239    17.6058
-1.0447    12.0013    17.6048
-0.7204    11.6887    17.5424
-0.526     11.6789    17.4757
-0.3079    11.4498    17.4057
-0.1651    11.3188    17.3318
0.0844     11.2081    17.2848
0.3781     11.2136    17.3205
0.6448     11.4864    17.424
0.8894     11.6929    17.5107
1.1635     11.8439    17.5562
1.5119     11.9168    17.5594
1.831      11.8174    17.5509
2.0975     11.7794    17.5087
2.4397     11.8171    17.4244
2.6552     11.7821    17.3407
2.9358     11.7551    17.2443
3.2325     11.6873    17.117
3.4428     11.7263    17.0328
3.8627     11.9321    16.8041
4.0917     12.0326    16.5665
4.3438     12.1032    16.3176
4.5888     12.1623    16.0261
4.6423     12.2499    15.8775
4.8002     12.3346    15.5439
4.8743     12.3188    15.2498
4.9425     12.2498    15.1063
5.014      12.1174    14.8695





























































































































































-2.1338    10.5185    13.9465    RORBIT
-2.486     10.4454    13.9
-2.8211    10.4952    13.8521
-3.2316    10.6743    13.9676
-3.5325    10.982     14.2327
-3.7202    11.0993    14.4851
-3.821     11.1661    14.7095
-3.8567    11.2569    14.9656
-3.8497    11.3301    15.2322
-3.8957    11.272     15.5608
-3.7494    11.2164    15.8335
-3.6337    11.1455    16.0042
-3.4457    11.0646    16.2212
-3.2369    10.9739    16.3901
-3.0167    10.9068    16.4594
-2.7552    10.8708    16.4654
-2.4866    10.7713    16.5236
-2.1871    10.7301    16.5271
-1.8996    10.6874    16.5255
-1.6816    10.6763    16.5892
-1.4163    10.7276    16.6611
-1.0956    10.8492    16.6168
-0.8254    10.8349    16.6174
-0.5619    10.8463    16.4438
-0.4389    10.8145    16.1316
-0.4947    10.8627    15.9574
-0.4133    10.7994    15.7336
-0.4008    10.778     15.5714
-0.3951    10.7337    15.3495
-0.4484    10.6641    15.2004










































































































































































2.3686     10.517     13.766     LORBIT
