LHES       102        Phq2
-17.9182   -27.708    9.4464
-17.8083   -27.9691   9.507
-17.7173   -28.137    9.5044
-17.6167   -28.3871   9.5149
-17.5616   -28.5757   9.6224
-17.5229   -28.8691   9.8022
-17.4958   -28.9731   9.7974
-17.3808   -29.1336   9.7617
-17.2283   -29.2532   9.6999
-17.1781   -29.3403   9.5733
-17.0438   -29.5205   9.6467
-17.0009   -29.6674   9.6025
-16.9876   -29.8624   9.6333
-16.91     -29.9985   9.6967
-16.8031   -30.1691   9.6524
-16.6797   -30.2916   9.6681
-16.5969   -30.441    9.5813
-16.2992   -30.4684   9.3993
-16.1214   -30.3166   9.2087
-16.0154   -30.2194   8.9311
-15.8583   -30.1758   8.7495
-15.6837   -30.143    8.5507
-15.4568   -30.0547   8.3388
-15.3041   -29.9729   7.9823
-15.1826   -29.9281   7.7623
-15.0511   -29.9805   7.6024
-14.9359   -30.0955   7.4542
-14.9022   -30.2476   7.3087
-14.832    -30.4027   7.1809
-14.749    -30.4949   7.0437
-14.6534   -30.5245   6.831
-14.5593   -30.5174   6.6203
-14.512    -30.4584   6.4677






















































































































































-15.2494   -23.7089   13.5419    SUPORB
-15.3021   -23.8044   13.7715
-15.3153   -23.947    14.0229
-15.3179   -24.0044   14.1755
-15.3715   -24.2108   14.4197
-15.424    -24.374    14.5451
-15.489    -24.6112   14.7167
-15.5778   -24.8163   14.8001
-15.6003   -25.0949   14.8923
-15.5999   -25.2445   14.9475
-15.4978   -25.65     15.0657
-15.416    -25.8791   15.1342
-15.3695   -26.0418   15.1582
-15.2989   -26.2396   15.1933
-15.2241   -26.368    15.2062
-15.1105   -26.6399   15.2444
-14.9716   -26.843    15.261
-15.01     -27.1318   15.2559
-15.0649   -27.2976   15.224
-15.0823   -27.6181   15.1856
-14.9086   -27.7791   15.2476
-14.6755   -27.9003   15.2972
-14.5327   -28.0637   15.3151
-14.4489   -28.2381   15.2869
-14.4358   -28.448    15.2726
-14.3663   -28.6264   15.207
-14.2559   -28.7421   15.2073
-14.0139   -28.9132   15.2361
-13.8626   -28.9999   15.28
-13.7373   -29.2139   15.3061
-13.7193   -29.4542   15.2883
-13.4643   -29.7142   15.2621
-13.2125   -29.8334   15.1797
-13.0122   -29.9656   15.0851
-12.7965   -30.0857   14.9754
-12.6052   -30.3432   14.595
-12.4467   -30.4069   14.3732
-12.3665   -30.4567   14.2576
-12.2195   -30.4576   14.1368
-12.2216   -30.5181   13.9706
-12.2293   -30.5624   13.7996































































































































































-15.7217   -26.292    11.9201    RORBIT
-15.7219   -26.0757   11.9136
-15.729    -25.8658   11.9173
-15.7254   -25.625    11.9419
-15.6333   -25.3882   12.0746
-15.649    -25.2257   12.2011
-15.6912   -24.9684   12.3917
-15.6211   -24.8855   12.6149
-15.5364   -24.7655   12.7528
-15.5809   -24.6396   13.0068
-15.5496   -24.6258   13.136
-15.6115   -24.5821   13.4024
-15.6226   -24.6039   13.5856
-15.6955   -24.7027   13.7991
-15.8137   -24.886    14.1339
-15.8072   -25.023    14.1934
-15.8831   -25.2476   14.3434
-15.8037   -25.4513   14.3363
-15.7801   -25.869    14.3661
-15.8088   -26.0709   14.4041
-15.7427   -26.234    14.3458
-15.7786   -26.4802   14.4595
-15.6676   -26.659    14.3569
-15.5984   -26.7613   14.3511
-15.4619   -26.8821   14.2997
-15.3374   -27.0374   14.2642
-15.3359   -27.1835   14.0356
-15.3065   -27.3127   13.8786
-15.3563   -27.4295   13.8019
-15.2334   -27.4482   13.5674
-15.1966   -27.4888   13.3999
-15.1906   -27.4835   13.2028








































































































































































-14.2653   -29.3973   12.179     LORBIT
-14.1537   -29.5514   12.1807
-14.0776   -29.7112   12.1866
-13.8667   -29.8439   12.2798
-13.6784   -30.0498   12.3963
-13.5323   -30.0574   12.5666
-13.4443   -30.0245   12.6389
-13.325    -30.0647   12.7806
-13.2707   -30.1031   12.8925
-13.193    -30.1432   13.0505
-13.1262   -30.1684   13.2023
-13.0608   -30.1597   13.46
-13.0487   -30.1838   13.6538
-13.0781   -30.2364   13.5671
-13.089    -30.2433   13.7524
-13.1524   -30.2157   13.9863
-13.3041   -30.2277   14.2125
-13.4116   -30.1244   14.41
-13.5672   -30.0573   14.5415
-13.7611   -29.8895   14.6162
-13.9294   -29.7893   14.6708
-14.0658   -29.6063   14.6662
-14.1999   -29.516    14.6993
-14.2802   -29.3435   14.657
-14.3254   -29.1669   14.6309
-14.4231   -28.9494   14.6164
-14.5947   -28.7599   14.6886
-14.6874   -28.5757   14.5147
-14.8492   -28.3927   14.4168
-14.7361   -28.19     14.0071
-14.648    -28.1407   13.907
-14.6467   -28.0863   13.7384
-14.889    -28.0592   13.636
-15.0257   -27.9875   13.4053
-15.0305   -28.0037   13.2794





































































































































































-15.3184   -23.742    13.6453    RTEMFOS
-15.3688   -23.7033   13.3741
-15.374    -23.6862   13.1225
-15.4517   -23.7307   12.8619
-15.4157   -23.7657   12.6509
-15.4323   -23.8262   12.4638
-15.4463   -23.8373   12.3095
-15.4349   -23.8853   12.0378
-15.558    -23.9986   11.9091
-15.6124   -24.0768   11.6366
-15.5759   -24.0411   11.4122
-15.629    -24.0784   11.2139
-15.5767   -24.0462   10.8816
-15.6254   -24.0258   10.653
-15.6547   -23.946    10.4326
-15.5931   -23.8232   10.2308
-15.537    -23.633    10.0732
-15.418    -23.3632   10.0431
-15.3047   -23.2403   10.0632
-15.1381   -23.1244   10.132




















































































































































































-12.2271   -30.5138   13.9012    LTEMFOS
-12.2257   -30.5847   13.6452
-12.2647   -30.6643   13.3801
-12.2836   -30.6946   13.1777
-12.3166   -30.7111   12.9735
-12.3512   -30.7185   12.7886
-12.4461   -30.7633   12.5592
-12.5111   -30.7988   12.3127
-12.5581   -30.8249   11.9511
-12.7095   -30.9074   11.7629
-12.6304   -30.939    11.5582
-12.6838   -31.0286   11.2939
-12.6121   -31.1146   11.0548
-12.5162   -31.1993   10.8664
-12.4383   -31.2633   10.7815
-12.2676   -31.3234   10.6834
-12.0074   -31.3206   10.6652
-11.8754   -31.2902   10.6748
-11.7111   -31.2806   10.7089
-11.5718   -31.2531   10.7297
-11.4397   -31.2539   10.8035



















































































































































































-19.3955   -31.3978   13.6172    OP
-17.4557   -30.5088   13.0942    BA
-13.6056   -28.3273   11.9602    ST
-8.6935    -25.4718   11.9538    IV
-19.4498   -27.2469   12.7491    R_PG
-18.5188   -25.5481   11.8278    R_ZTI
-14.0525   -26.1608   12.9761    R_M3D
-11.9184   -24.6801   12.9427    R_M12
-9.7472    -23.7743   13.019     R_MP3
-8.3718    -23.5295   12.7626    R_PMI
-15.5083   -33.6922   12.4284    L_PG
-13.7973   -33.6721   11.6944    L_ZTI
-11.9153   -29.625    12.9899    L_M3D
-9.6831    -28.4894   13.1533    L_M12
-7.6139    -27.2646   12.8289    L_MP3
-6.7074    -26.0389   12.7232    L_PMI
-6.2958    -25.0134   11.8511    O1
-17.7902   -27.8274   6.8918     O2
-13.6259   -33.88     11.1103    O3
-21.0579   -33.4741   12.0587    O4




















































































































































































-15.1992   -25.3194   11.2091    RZYGINF
-15.418    -25.2957   11.1494
-15.5869   -25.1287   11.215
-15.85     -25.1593   11.3388
-16.068    -25.1585   11.444
-16.2965   -25.2123   11.5287
-16.5058   -25.2622   11.6161
-16.6939   -25.3483   11.6936
-16.901    -25.3989   11.7442
-17.1092   -25.4616   11.794
-17.3358   -25.4364   11.8383
-17.4773   -25.4872   11.8552
-17.7391   -25.4822   11.886
-17.9521   -25.5244   11.8589
-18.1739   -25.5212   11.8287
-18.313    -25.488    11.8101
-18.4031   -25.4893   11.7914
-18.5283   -25.4612   11.7792






















































































































































































-11.6951   -31.0729   10.9418    LZYGINF
-11.7871   -31.354    10.8965
-11.8566   -31.5219   10.9425
-11.9988   -31.7      11.0404
-12.1106   -31.8785   11.1478
-12.0836   -32.0166   11.2008
-12.2301   -32.1633   11.3091
-12.4131   -32.3301   11.4637
-12.5709   -32.3808   11.499
-12.7668   -32.5418   11.5567
-12.8759   -32.6493   11.5982
-13.0563   -32.8131   11.6512
-13.2058   -32.9689   11.6872
-13.3423   -33.1239   11.7102
-13.4313   -33.2673   11.6968
-13.5278   -33.4392   11.6999
-13.5024   -33.5637   11.6993
-13.627    -33.7023   11.664
-13.8157   -33.7555   11.6764





















































































































































































-14.0567   -26.208    12.9794    R-ALV
-13.9045   -25.9364   12.9972
-13.747    -25.6915   13.0089
