MNHN       A-1440     Tg26stv
-0.9297    13.2677    12.5509
-0.9152    13.6617    12.4649
-0.8901    14.0262    12.3978
-0.8444    14.4253    12.2995
-0.778     14.8011    12.1321
-0.7205    15.0992    12.0987
-0.6594    15.4183    12.0816
-0.6086    15.6825    12.0187
-0.4463    16.0073    11.9406
-0.3641    16.4084    11.7877
-0.2888    16.6945    11.8127
-0.186     16.933     11.8194
-0.0775    17.1069    11.7601

























































































































































































3.1196     12.2545    12.753     L-ALV
3.2931     12.5731    12.612
3.4301     12.9613    12.4792
3.4406     13.3512    12.4198
3.4893     13.7256    12.3889
3.5349     13.9745    12.3446
3.5569     14.4329    12.2433
3.5476     14.774     12.2433
3.5663     15.1062    12.1231
3.5282     15.4412    12.0192
3.4404     15.7455    12.0734
3.4468     16.0203    11.955
3.4292     16.2873    11.9061
3.3956     16.5791    11.8266
3.2946     16.7534    11.739
