NMNH       356577     Pyn2stv
1.5525     8.2424     6.2371     ST
1.5046     10.7386    6.3712     IV
-1.2832    4.7943     6.4327     R_PG
-2.3269    6.8163     6.2009     R_ZTI
0.0456     7.9636     6.8164     R_M3D
-0.2921    9.2634     7.0394     R_M12
0.0387     11.0707    6.6606     R_MP3
0.5339     11.6549    6.5787     R_PMI
4.3972     4.7885     6.5493     L_PG
5.4238     6.884      6.2933     L_ZTI
2.9968     7.9083     6.778      L_M3D
3.4311     9.3691     6.9877     L_M12
3.068      11.0689    6.6974     L_MP3
2.3677     11.6384    6.5849     L_PMI
2.4596     11.8681    6.1837     O1
4.8912     7.4265     3.1982     O2
-2.4044    5.8985     5.9532     O3
2.2595     0.8173     4.4389     O4




















































































































































































-1.0355    9.1904     6.3234     RZYGINF
-1.1616    9.0411     6.337
-1.3025    8.9038     6.3569
-1.4327    8.7938     6.372
-1.5352    8.6814     6.3968
-1.6876    8.5748     6.4008
-1.7848    8.415      6.4609
-1.8904    8.2783     6.4799
-1.9391    8.1548     6.4954
-1.9594    8.0134     6.5222
-2.0001    7.9008     6.5095
-2.0177    7.7676     6.5121
-2.1045    7.5997     6.4277
-2.1424    7.5094     6.3654
-2.1937    7.3375     6.3197
-2.2489    7.1439     6.2935
-2.2885    7.0177     6.2866
-2.3035    6.8964     6.2523
-2.3197    6.795      6.1992





















































































































































































4.1502     9.297      6.3592     LZYGINF
4.2712     9.1424     6.3853
4.3852     9.0069     6.4059
4.5596     8.8334     6.4549
4.6837     8.7072     6.5031
4.7855     8.5511     6.5565
4.8963     8.3679     6.597
4.9791     8.1654     6.6108
4.955      8.0481     6.6325
4.9788     7.9        6.6246
5.0669     7.744      6.5999
5.1315     7.554      6.5361
5.1837     7.4088     6.4678
5.2466     7.2137     6.4258
5.3218     7.0769     6.3711
5.3829     6.897      6.2713
























































































































































































0.0515     7.9752     6.9082     R-ALV
-0.0598    8.1506     6.9269
-0.1258    8.3317     6.9432
-0.1819    8.5328     6.9468
-0.1997    8.7011     6.9964
-0.2405    8.9377     7.0112
-0.2616    9.065      7.0439
-0.2849    9.255      7.0134
-0.2989    9.3793     7.0263
-0.3134    9.6326     7.0119
-0.2948    9.756      7.0218
-0.2957    9.8836     7.0239
-0.2348    10.1023    6.9368
-0.2119    10.3491    6.7658
-0.1571    10.5626    6.6319
-0.1266    10.791     6.61
-0.0861    11.0141    6.5946























































































































































































2.9835     7.9241     6.771      L-ALV
3.1077     8.0876     6.8346
3.2064     8.2465     6.8687
3.2801     8.4693     6.8317
3.3193     8.6363     6.9098
3.3853     8.8418     6.9461
3.4087     9.0355     6.9241
