NME        RVRME  KL 3To3sf












































































































































22.5772    -13.1472   12.7506    RZYGINF
22.6651    -13.393    12.6272
22.7236    -13.5466   12.5657
22.7572    -13.6994   12.5286
22.8429    -13.9104   12.4234
22.9072    -14.069    12.3712
22.9311    -14.294    12.3183
23.0812    -14.5238   12.2528
23.137     -14.6645   12.2594
23.3202    -14.798    12.2053
23.37      -14.8425   12.1364
23.4721    -14.8765   12.1234
23.6369    -14.8884   12.1423
23.764     -14.9024   12.0641
23.892     -14.9291   12.0595
24.0139    -14.9472   12.0184
24.5295    -15.1183   11.8834
24.6982    -15.1754   11.8169
24.8885    -15.18     11.7696
24.996     -15.216    11.7031
25.1788    -15.2406   11.6587
25.3356    -15.3071   11.615
25.5107    -15.3498   11.5952
25.6505    -15.3676   11.5262
25.802     -15.3564   11.5085
25.9346    -15.3645   11.4705
26.0814    -15.3948   11.4711
26.4412    -15.4549   11.3863
26.7063    -15.4679   11.4019
26.908     -15.4002   11.407
27.0759    -15.3713   11.4156
27.2757    -15.328    11.4089
27.3857    -15.3032   11.3583







































































































































































20.956     -5.3495    13.3265    LZYGINF
21.0178    -5.0714    13.2793
21.0589    -4.856     13.2384
21.0743    -4.6807    13.2194
21.0766    -4.5776    13.2004
21.0736    -4.4201    13.1748
20.9839    -4.2445    13.11
20.9156    -4.1404    13.0951
20.9914    -4.0435    13.1145
21.1138    -3.8465    13.1526
21.1606    -3.7696    13.1135
21.217     -3.6833    13.1638
21.3387    -3.6009    13.2301
21.4428    -3.4748    13.1739
21.557     -3.3521    13.136
21.6724    -3.2724    13.0713
21.834     -3.058     13.0405
21.9212    -3.0031    13.0327
21.9508    -2.9566    13.0505
22.1063    -2.7658    13.0837
22.2976    -2.6828    13.045
22.4959    -2.6517    12.9928
22.6264    -2.6198    12.924
22.9764    -2.3264    12.8228
23.1791    -2.3056    12.8054
23.323     -2.1955    12.7607
23.54      -2.1963    12.735
23.6542    -2.1034    12.7235
23.8403    -2.0928    12.7503
23.9932    -2.0287    12.7298
24.1475    -2.0503    12.7423
24.3797    -1.9384    12.7176
24.5026    -1.9078    12.6997
24.6323    -1.9059    12.7245
24.846     -1.9191    12.6852





































































































































































22.6066    -12.2484   14.5283    R-ALV
22.4257    -12.374    14.495
