AMNH       89439      Prvm002z
17.5488    18.5074    8.6719     BA
14.8551    16.3729    8.7764     ST
13.6016    15.3793    9.039      IV
18.6689    16.2274    8.5329     R_PG
18.2102    14.5429    8.4642     R_ZTI
16.1072    15.9061    9.0449     R_M3D
15.4581    14.8774    9.1734     R_M12
14.4805    14.2306    9.3287     R_MP3
13.538     14.3652    9.3013     R_PMI
15.5733    20.1984    8.6094     L_PG
13.7397    19.9654    8.5824     L_ZTI
14.6726    17.625     9.08       L_M3D
13.499     17.2777    9.0704     L_M12
9999       9999       9999       L_MP3
12.4739    15.6123    9.2355     L_PMI
18.8435    20.1217    6.1667     O1
18.802     16.2527    6.3095     O2
14.1064    14.2784    8.6554     O3
13.3905    17.969     6.1491     O4




















































































































































































15.6145    13.9145    8.3695     RZYGINF
15.7323    13.7453    8.3605
15.8078    13.681     8.3068
16.1115    13.5746    8.3037
16.3066    13.5921    8.3319
16.6884    13.6515    8.4643
16.9377    13.7354    8.456
17.1346    13.8072    8.4217
17.3147    13.9587    8.4031
17.5808    14.0403    8.3715
17.9045    14.2844    8.4578
18.0397    14.4071    8.4775
18.2113    14.5453    8.4629



























































































































































































12.6723    17.6664    8.4253     LZYGINF
12.4697    17.8309    8.3862
12.4442    18.0561    8.4549
12.4273    18.2394    8.4775
12.4412    18.4481    8.4908
12.5369    18.7009    8.5171
12.6041    18.863     8.4991
12.6685    18.9891    8.5053
12.8482    19.1243    8.5158
12.9759    19.2823    8.5481
13.3106    19.5436    8.4498
13.4596    19.8323    8.5562
13.6374    19.9703    8.6283
13.6917    19.9545    8.5943


























































































































































































16.1022    15.9096    9.0164     R-ALV
16.0494    15.7547    9.0382
15.9545    15.5325    9.054
15.9095    15.4561    9.0314
15.7486    15.1882    9.0885
15.4722    14.8966    9.2301
15.3248    14.7997    9.2509
15.2224    14.6968    9.2359
14.9405    14.6096    9.3687
14.822     14.508     9.2942
14.5311    14.2762    9.3374
14.445     14.2085    9.3147




























































































































































































9999       9999       9999       L-ALV
9999       9999       9999
