UWMA       T91-35     Ppx3stv
10.9835    10.5878    4.8536
10.932     10.5635    4.6336
11.0583    10.5059    4.4164



















































































































































































9999       9999       9999       L-PM/MAX







































































































































































































10.2882    13.6162    3.6787     ROSTRUM
10.2744    13.696     3.9913
10.2327    13.7164    4.2808
10.2919    13.7293    4.5372
10.3468    13.7565    4.7225
10.4679    13.7652    4.9882
10.553     13.7589    5.2336
10.6426    13.7401    5.5005
10.6366    13.7498    5.7024
10.6115    13.7154    5.9362
10.5922    13.7387    6.1225
10.6591    13.7499    6.6576
10.7574    13.7525    6.916
10.8564    13.7565    7.0737
10.967     13.8004    7.1608
11.1255    13.7895    7.2659
11.2785    13.813     7.3525
11.3892    13.8566    7.3923
11.4444    13.8543    7.4792
11.5739    13.8455    7.5764
11.668     13.8202    7.701
11.7892    13.8225    7.8069
11.8908    13.8123    7.8449
11.9314    13.7838    7.8504
12.117     13.7786    8.0351
12.2578    13.7792    8.1372
12.385     13.788     8.2728
12.4648    13.7882    8.3026
12.7116    13.6994    8.2187
12.9236    13.7234    8.1216
13.0778    13.7357    8.046
13.2566    13.7398    7.9052
13.4283    13.761     7.7841
13.5232    13.8067    7.7046
13.6187    13.7914    7.6463
13.7186    13.7977    7.595
13.877     13.8179    7.5729
14.0085    13.8271    7.5062
14.1925    13.8787    7.445
14.4656    13.8637    7.3666
14.6394    13.8656    7.2116
14.7049    13.829     6.9755
14.7767    13.9142    6.6413
14.8572    13.9501    6.3782
14.9299    13.976     6.0992
15.0217    13.9636    5.8535
15.1009    13.985     5.6024
15.3524    13.8859    5.2456
15.4627    13.8316    5.03
15.54      13.8289    4.8013
15.5795    13.8114    4.5373
15.5911    13.8031    4.373
15.6277    13.8216    4.2018



















































































































































8.656      17.8654    8.5536     SUPORB
8.7423     17.91      8.7805
9.1765     17.9004    9.5708
9.5056     17.8125    9.7798
9.6612     17.7184    9.8985
10.0211    17.5027    10.1055
10.2534    17.3569    10.2293
10.4865    17.2842    10.3005
10.8723    17.2064    10.3436
11.2077    17.1692    10.3613
11.5077    17.0983    10.3866
11.7701    17.0675    10.409
12.0276    17.0272    10.431
12.2691    16.8932    10.426
12.3847    16.8787    10.3992
9999       9999       9999
























































































































































































10.5882    15.8659    7.6797     RORBIT
10.3966    15.9313    7.6535
10.1937    16.0222    7.6348
10.006     16.1182    7.6345
9.8387     16.2291    7.6699
9.7324     16.3123    7.6958
9.6297     16.4718    7.7322
9.5391     16.5842    7.7637
9.4491     16.8591    7.8847
9.3167     17.0537    8.1751
9.2648     17.0956    8.3118
9.2578     17.1731    8.5299
9.236      17.2686    8.7198
9.2585     17.3553    8.7987
9.5592     17.2933    9.3119
9.8153     17.135     9.5128
9.8936     17.0571    9.6174
10.0531    16.9941    9.7267
10.2138    16.9585    9.7797
10.3696    16.914     9.8552
10.5146    16.8715    9.9025
10.5807    16.839     9.9346
10.7636    16.7998    9.9401
10.98      16.7522    9.9055
11.0681    16.7647    9.9706
11.2149    16.7731    9.995
11.4249    16.7212    9.9943
11.615     16.6752    9.9855
11.7814    16.6481    9.9229
11.9809    16.5264    9.6859
12.0778    16.4121    9.5115
12.0938    16.3083    9.3903
11.9432    16.2018    8.9765
11.8804    16.1186    8.8169






































































































































































14.7551    15.8073    7.9283     LORBIT
14.9843    15.8648    7.9858
15.1502    15.9426    7.9761
15.3172    16.033     8.0312
15.4134    16.106     8.0277
15.5285    16.1797    8.1073
15.6495    16.277     8.1765
15.7161    16.4204    8.262
15.8135    16.6108    8.4094
15.8612    16.7856    8.6449
15.8799    16.9159    8.8635
15.8656    17.0356    8.9515
15.9075    17.1003    9.6525
15.6692    17.1147    9.8955
15.5023    17.0359    10.1066
15.3083    17.0467    10.1745
15.2131    17.026     10.2465
15.058     17.0202    10.2645
14.8845    16.9886    10.2991
14.7035    16.8951    10.2763
14.4894    16.8356    10.2483
14.2211    16.7811    10.192
14.0128    16.7865    10.1407
13.765     16.7604    10.1653
13.5205    16.716     10.1605
13.3243    16.6266    10.048
13.2476    16.5925    9.8079
13.1445    16.5033    9.5764
13.0454    16.3592    9.2207
13.1517    16.2873    9.0376
13.2149    16.2456    8.9183
13.2511    16.1209    8.8027








































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































9999       9999       9999       OP
13.1752    13.7275    9.5572     BA
13.0463    17.8247    7.393      ST
12.9739    22.1826    6.2916     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
9999       9999       9999       R_M3D
10.2896    20.57      8.0704     R_M12
10.6074    22.6018    6.8736     R_MP3
10.9386    23.3978    6.5318     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
15.3794    18.3766    7.735      L_M3D
15.5896    20.645     7.3202     L_M12
14.8468    22.811     6.2806     L_MP3
13.9728    23.4377    5.6655     L_PMI
11.1434    23.7559    5.324      O1
8.9357     17.4044    5.6171     O2
16.8896    13.1059    6.1283     O3
11.7111    8.7329     6.5161     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































15.3811    18.4243    7.7732     L-ALV
15.4801    18.6796    7.7094
15.5136    18.9397    7.6552
15.6299    19.6236    7.4638
15.5979    19.7521    7.4299
15.4945    20.1134    7.1767
15.505     20.5401    7.1099
15.4695    20.7745    7.0764
15.4283    21.0707    7.0125
15.3959    21.2792    6.9268
15.1967    21.5707    6.7396
15.115     21.8045    6.6421
15.0995    21.9174    6.6568
15.0109    22.1933    6.4849
14.9148    22.4236    6.3497
14.8494    22.5393    6.3115
14.8012    22.7335    6.2827
