FSM        47993      Phq7stv
2.3226     7.6961     7.5188
2.4573     7.8063     7.3432
2.578      7.8343     7.1623
2.7142     7.8622     7.0031
2.8394     7.9412     6.8103
2.9134     7.9772     6.6975
2.9474     8.0097     6.4967
2.9368     8.0777     6.3255
2.9031     8.1169     6.1426
2.8538     8.1649     5.9172
2.7924     8.1533     5.7851










































































































































-4.8044    11.5943    14.6257    SUPORB
-4.7193    11.6093    15.0067
-4.6558    11.6952    15.1855
-4.4866    11.7881    15.4014
-4.3451    11.7348    15.5543
-4.1952    11.7687    15.6632
-3.9317    11.7184    15.7979
-3.6606    11.5898    15.9198
-3.4793    11.4571    15.9954
-3.178     11.3714    16.0888
-3.0449    11.3571    16.1168
-2.778     11.2632    16.1734
-2.5386    11.1594    16.222
-2.245     11.1879    16.2681
-1.8794    11.2385    16.2982
-1.627     11.3193    16.311
-1.4412    11.4037    16.298
-0.9927    11.3852    16.2761
-0.777     11.1896    16.2795
-0.5416    10.9756    16.2266
-0.2465    10.8497    16.1812
0.0355     10.9745    16.2097
0.3514     11.2717    16.2295
0.4794     11.3417    16.2322
0.6        11.5654    16.246
0.7391     11.7284    16.2478
0.8746     11.7714    16.2261
1.0554     11.7534    16.2282
1.4305     11.7389    16.2136
1.8506     11.8342    16.1509
2.0113     11.9403    16.1206
2.2272     12.0955    16.0664
2.5597     12.2464    15.9576
2.7401     12.3064    15.9073
2.9013     12.392     15.8462
3.073      12.4838    15.7395
3.1603     12.5913    15.6723
3.304      12.69      15.568
3.5947     12.7339    15.325
3.7344     12.7862    15.1662
3.9043     12.722     14.9823
3.9846     12.76      14.6645
4.0213     12.6863    14.4307
4.1143     12.7273    14.2249




























































































































































-2.7603    10.102     12.9018    RORBIT
-3.0677    10.113     12.9147
-3.2913    10.1908    13.0363
-3.512     10.2789    13.1688
-3.6602    10.3633    13.3471
-3.6791    10.3784    13.364
-3.8813    10.5176    13.6414
-3.9354    10.6234    13.8545
-3.9706    10.678     14.0406
-3.9299    10.7533    14.3707
-4.0128    10.6931    14.6497
-3.8548    10.633     14.9639
-3.6178    10.6056    15.1044
-3.294     10.4911    15.3017
-3.0679    10.4172    15.3779
-2.8674    10.3456    15.3707
-2.4773    10.2376    15.39
-2.3428    10.2217    15.4147
-2.1147    10.2433    15.3865
-1.7953    10.3855    15.476
-1.4568    10.4679    15.4084
-1.272     10.4618    15.1025
-1.0541    10.266     15.0561
-0.968     10.428     14.8798
-0.8032    10.4454    14.679
-0.7404    10.4552    14.5073
-0.7912    10.4363    14.3572













































































































































































1.9756     10.7919    12.8979    LORBIT
2.2492     10.8356    12.8567
2.4541     10.9118    12.7952
2.6516     11.0565    12.8675
2.8161     11.2241    12.9617
2.892      11.3361    13.0574
2.9375     11.5221    13.2363
2.9604     11.6306    13.4205
2.9954     11.717     13.6172
3.0083     11.8012    13.844
2.9991     11.8311    14.0312
3.0548     11.7634    14.2505
3.0989     11.6813    14.4633
3.0479     11.6458    14.6694
3.0054     11.5253    14.9437
2.6488     11.4538    15.0871
2.5024     11.2203    15.2296
2.2286     11.0909    15.2471
1.9966     10.9825    15.3162
1.7277     10.9755    15.2916
1.4636     10.9357    15.2634
1.2171     10.8502    15.4489
0.7616     10.6814    15.1682
0.4776     10.6245    14.8308
0.2848     10.6216    14.6243
0.2333     10.6173    14.4886
0.251      10.6428    14.4019
0.2387     10.6582    14.3161












































































































































































-4.8432    11.5498    14.6041    RTEMFOS
-4.913     11.4521    14.3951
-5.0355    11.3387    14.2254
-5.1092    11.1856    13.9936
-5.1778    11.0421    13.7356
-5.2183    10.9039    13.5005
-5.1939    10.7276    13.2335
-5.1738    10.572     13.0263
-5.1664    10.478     12.7975
-5.1363    10.38      12.5889
-5.1246    10.3167    12.4183
-5.1315    10.2202    12.226
-5.1243    10.1127    12.0311
-5.0968    10.0211    11.882
-5.0861    9.9481     11.7543
-5.0661    9.9011     11.5797
-5.1184    9.824      11.447
