UWMA       T90-87     Ppx4stv
13.3535    16.6448    9.1428
13.1266    16.4857    9.4093
12.7893    16.3424    9.507
12.646     16.288     9.6717
12.3369    16.3828    9.6035
12.0226    16.3076    9.6361
11.5881    16.3855    9.4947
11.2761    16.3422    9.4073
11.0696    16.2517    9.4709
10.834     16.2416    9.4532
10.7461    16.11      9.3383
10.6407    16.0131    9.0217
10.5878    15.9685    8.7916
10.6053    15.9235    8.5375
10.6924    15.83      8.4137











































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































9.2243     11.7161    8.9845     OP
9.432      13.4929    8.8546     BA
10.0768    18.2562    7.7692     ST
10.4229    22.2903    7.519      IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
8.0325     18.7456    8.5443     R_M3D
7.7164     20.9365    8.3969     R_M12
9999       9999       9999       R_MP3
9999       9999       9999       R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
11.8858    18.3227    8.6442     L_M3D
12.5757    20.4695    7.95       L_M12
9999       9999       9999       L_MP3
9999       9999       9999       L_PMI
9.3212     23.1527    6.3071     O1
5.9304     19.2882    6.2935     O2
13.0936    15.3496    2.9412     O3
10.8957    9.4944     6.4591     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
