KNM        WT 16828   Tb7stv
13.6467    14.5202    8.5297     ST
9999       9999       9999       IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
9999       9999       9999       R_M3D
9999       9999       9999       R_M12
9999       9999       9999       R_MP3
9999       9999       9999       R_PMI
9999       9999       9999       L_PG
16.5338    6.4581     8.3396     L_ZTI
9999       9999       9999       L_M3D
9999       9999       9999       L_M12
9999       9999       9999       L_MP3
9999       9999       9999       L_PMI
17.2055    21.8619    3.4274     O1
20.0313    9.5839     5.4207     O2
6.5084     12.9148    3.8565     O3
7.7808     3.4156     10.3707    O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































18.1721    13.1132    7.0544     LZYGINF
18.0789    12.7175    7.0658
18.1653    12.4314    6.832
18.2023    12.2538    6.735
18.2619    11.9859    6.4661
18.0996    11.9482    6.0907
17.9101    11.911     5.9419
17.7922    11.749     5.8305
17.7314    11.3749    5.7653
17.7764    10.9567    5.7514
17.92      10.5864    5.7884
18.0182    10.3939    5.7778
18.26      10.0703    6.2842
18.4555    9.9062     6.4013
18.5736    9.8402     6.688
18.7034    9.8178     6.9908
18.8059    9.8212     7.2828
18.935     9.8533     7.5525
19.0539    9.6716     7.7051
18.8349    9.5078     7.8806
18.5809    9.3058     8.076
18.3525    9.1075     8.1327
18.0923    8.8845     8.1928
17.9188    8.6391     8.2268
17.8019    8.3874     8.3402
17.6185    8.0531     8.3881
17.513     7.8022     8.3026
17.3441    7.4949     8.2619
17.1795    7.2062     8.2004
17.0688    6.984      8.2092
16.9275    6.7426     8.2775
16.8136    6.5558     8.3584
16.6891    6.374      8.2588







































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
