UCB LHES   114        Tg6stv






































































































8.26808    5.54038    11.54988   LORBIT
8.47198    5.40861    11.56158
8.60112    5.44703    11.61987
8.71023    5.37551    11.6545
8.80796    5.3131     11.71108
8.89486    5.25501    11.76408
8.99769    5.25644    11.85639
9.07905    5.31919    11.92569
9.23142    5.22934    12.09724
9.30708    5.22033    12.18999
9.44386    5.20212    12.40125
9.46874    5.22599    12.59524
9.46862    5.19277    12.76764
9.49708    5.1362     12.88871
9.48514    5.13633    12.99761
9.47178    5.03968    13.24272
9.39007    5.019      13.35887
9.32295    4.96482    13.47029
9.17813    4.84365    13.57497
9.03864    4.82542    13.55507
8.89543    4.7794     13.60057
8.76124    4.78123    13.59641
8.67272    4.74518    13.6251
8.49647    4.78725    13.60401
8.37025    4.75844    13.62351
8.24795    4.75827    13.63565
8.08772    4.76566    13.66155
7.98713    4.82572    13.62726
7.87226    4.84539    13.63768
7.71493    4.90463    13.64153
7.60629    4.97079    13.63924
7.37816    5.13029    13.67137
7.28234    5.29424    13.68766
7.15781    5.39676    13.72524
7.06234    5.46037    13.73907
7.0018     5.56264    13.73103
6.93076    5.65785    13.71751
6.95983    5.76743    13.65133
6.9662     5.86449    13.56693
6.99369    5.91823    13.4653
6.99066    5.96988    13.30028
6.96226    6.0198     13.16898
6.98475    6.07689    13.06598
7.00034    6.1119     12.94241




























































































































































5.06643    9.40795    13.7276    RTEMFOS
5.0166     9.5391     13.55673
5.01909    9.62349    13.40183
4.94818    9.65179    13.24445
4.91166    9.72272    13.06905
4.89785    9.75735    12.93037
4.90299    9.81658    12.75391
4.88565    9.86194    12.57891
4.84779    9.89461    12.40597
4.79553    9.89243    12.30164
4.79054    9.94199    12.15068
4.73439    9.9458     12.01378
4.72812    9.95919    11.84448
4.69053    9.98482    11.68874
4.71114    10.05032   11.49373
4.6868     10.09229   11.32521
4.63734    10.1549    11.23124
4.63372    10.23088   11.11555
4.58543    10.3102    10.99872
4.58561    10.44569   10.90199
4.61122    10.68239   10.77251
4.62317    11.01896   10.68803
4.66385    11.13092   10.68176
4.69666    11.22528   10.6863
4.73901    11.33065   10.73075















































































































































































9.99472    5.2767     13.52601   LTEMFOS
10.084     5.30121    13.3608
10.15537   5.31545    13.2029
10.24014   5.28608    12.97363
10.26477   5.30802    12.83736
10.29276   5.24769    12.7183
10.32236   5.26446    12.54981
