AMNH       99.1/2286  see2bjw
-1.4189    14.8304    10.4818
-1.2118    14.6889    10.4792
-1.0114    14.556     10.4523
-0.778     14.5024    10.4497
-0.4992    14.4258    10.4373
-0.2636    14.4237    10.4312
0.0444     14.4014    10.4247
0.3602     14.1891    10.2323
0.607      14.2165    10.2516
0.8781     14.1888    10.2746
1.1837     14.1546    10.3321
1.4883     14.24      10.429
1.7597     14.3074    10.3523
2.0862     14.3548    10.4441
2.331      14.4372    10.4296
2.5338     14.4994    10.4099
2.767      14.6195    10.3705
2.9541     14.6964    10.3327
3.1721     14.7926    10.2801
3.387      14.8878    10.2325
3.597      15.0638    10.1342
3.7489     15.16      10.0134
3.9197     15.2965    9.9128
4.068      15.4933    9.807
4.2183     15.6918    9.6532








































































































































































-1.0795    15.2906    7.7522     RORBIT
-1.2193    15.3382    7.7251
-1.3348    15.3487    7.712
-1.4773    15.3961    7.7267
-1.6509    15.4565    7.7714
-1.7802    15.5472    7.82
-1.9444    15.6209    7.9456
-2.0481    15.6516    8.044
-2.1516    15.7036    8.1582
-2.2489    15.6969    8.1988
-2.3396    15.7003    8.361
-2.3875    15.7249    8.5142
-2.398     15.7213    8.7074
-2.4547    15.7327    8.8852
-2.4717    15.7399    9.0378
-2.441     15.6944    9.2501
-2.2981    15.5664    9.4857
-2.1876    15.4355    9.6619
-2.0308    15.2868    9.8234
-1.8505    15.1       9.9466
-1.7032    14.9447    10.0266
-1.4857    14.8054    10.0467
-1.3217    14.6961    10.0767
-1.1682    14.6093    10.0584
-1.0266    14.5484    10.0297
-0.8582    14.4565    10.0134
-0.6544    14.4283    9.9809
-0.4798    14.4749    9.9388
-0.3822    14.4934    9.8985
-0.1396    14.5138    9.8108
-0.064     14.5985    9.6158
0.0951     14.6753    9.2167








































































































































































2.7511     15.057     7.6215     LORBIT
2.9334     15.0887    7.6301
3.1385     15.1422    7.6939
3.3425     15.2088    7.8278
3.5408     15.24      8.0186
3.6545     15.2657    8.2391
3.7505     15.2402    8.4526
3.8087     15.2442    8.6911
3.8486     15.2592    8.9244
3.7806     15.1323    9.2161
3.6692     15.0246    9.4013
3.4827     14.9322    9.5898
3.362      14.8496    9.7232
3.1174     14.756     9.8321
2.8524     14.6516    9.9358
2.6223     14.5652    9.9607
2.3808     14.3981    9.9999
2.1844     14.297     9.9642
1.9462     14.1882    9.9526
1.6738     14.2596    9.8563
1.4393     14.306     9.765
1.2758     14.3218    9.4563
1.3111     14.4331    9.3575
1.2785     14.5809    9.0589
















































































































































































-2.8054    16.2435    9.7018     RTEMFOS
-2.9482    16.1993    9.3943
-2.9955    16.2164    9.092
-2.9979    16.192     8.886
-2.9977    16.1506    8.6493
-2.9822    16.135     8.4303
-2.9633    16.1554    8.2088
-2.9533    16.1543    7.9791
-2.9774    16.1374    7.8178
-3.0449    16.1952    7.5756
-3.164     16.3154    7.3716
-3.3138    16.562     7.2745
-3.412     16.6864    7.2814
-3.5254    16.8912    7.2953
-3.6181    17.2135    7.4196

























































































































































































4.2602     15.6793    9.6378     LTEMFOS
4.3343     15.7173    9.4748
4.3788     15.667     9.3085
4.4248     15.6156    9.1742
4.3885     15.6299    8.9566
4.4118     15.603     8.8292
4.4312     15.5587    8.6604
4.4049     15.5825    8.4603
4.408      15.581     8.2791
4.355      15.5599    8.0605
4.3388     15.5135    7.8195
4.3902     15.5731    7.6353
4.4284     15.5847    7.4999
4.4947     15.6493    7.3445
4.5526     15.7244    7.188
4.7181     15.8949    7.0867
4.8156     16.0286    7.082
4.9375     16.2222    7.1354
5.083      16.4656    7.1996





















































































































































































0.4379     12.3927    10.2927    OP
0.5922     14.1073    10.875     BA
0.7522     17.9634    10.4738    ST
0.9892     20.8123    10.6274    IV
-2.8437    14.8321    10.762     R_PG
-3.8805    16.9222    10.3066    R_ZTI
-0.7751    17.9708    11.3098    R_M3D
-0.9984    19.493     11.3508    R_M12
-0.7075    21.1598    11.0971    R_MP3
0.1763     21.7686    10.9827    R_PMI
4.0129     14.3218    10.3749    L_PG
5.2347     16.3404    9.7451     L_ZTI
2.5018     17.7628    11.0126    L_M3D
2.9412     19.1789    11.0761    L_M12
2.7879     20.9642    10.9007    L_MP3
1.9221     21.672     10.9451    L_PMI
1.3482     22.627     11.1153    O1
3.3475     17.46      7.2474     O2
-2.0739    17.9878    7.3539     O3
0.1794     11.5449    8.511      O4




















































































































































































-1.7327    19.0714    10.7555    RZYGINF
-1.9829    19.0334    10.7634
-2.3233    18.892     10.7149
-2.514     18.7981    10.7226
-2.6709    18.655     10.762
-2.7807    18.5721    10.7797
-2.8607    18.4002    10.8006
-2.9541    18.2874    10.8464
-2.9974    18.1534    10.8357
-3.1122    17.9884    10.8429
-3.2249    17.8666    10.8328
-3.3344    17.7218    10.7782
-3.5137    17.5727    10.7332
-3.6501    17.3305    10.6176
-3.718     17.1671    10.5147
-3.777     17.0258    10.4807
-3.8791    16.8041    10.3668























































































































































































3.8668     18.7349    10.3615    LZYGINF
3.9518     18.5462    10.3488
4.0736     18.4696    10.3115
4.2138     18.4016    10.2793
4.4049     18.2326    10.2828
4.4659     18.0442    10.3232
4.5576     17.8955    10.3279
4.6579     17.7325    10.3477
4.6898     17.6038    10.3449
4.783      17.4385    10.2998
4.9292     17.1607    10.2173
5.0555     17.0181    10.1108
5.0985     16.8696    10.0273
5.1422     16.7397    9.9352
5.1428     16.6122    9.9049
5.2069     16.4006    9.7291
























































































































































































-0.8116    17.978     11.3473    R-ALV
-0.9278    18.188     11.2831
-0.9627    18.3245    11.327
-1.0521    18.5106    11.2724
-1.0645    18.6219    11.3002
-1.089     18.7534    11.282
-1.1148    18.8669    11.309
-1.0857    19.1041    11.2855
-1.0824    19.2685    11.3083
-1.0688    19.5028    11.3026
-1.0324    19.7468    11.3211
-0.9598    19.9413    11.2919
-0.8935    20.1997    11.1564
-0.8093    20.4222    11.1375
-0.81      20.6485    11.1156
-0.8211    20.7639    11.113
-0.7991    20.872     11.1138
-0.8037    20.9846    11.0102
-0.7546    21.1911    11.0208





















































































































































































2.4366     17.7124    11.0881    L-ALV
2.5593     17.8316    11.072
2.6895     18.1242    11.0595
2.776      18.3336    11.0253
2.8581     18.5158    11.0725
2.8859     18.7116    11.0826
2.9088     18.9155    11.0866
2.9059     19.1345    11.0882
2.8882     19.3268    11.0937
2.8786     19.6176    11.0602
2.8414     19.8684    10.9542
2.8038     20.042     11.019
2.8265     20.2392    10.9805
2.8392     20.3691    10.932
2.8712     20.6174    10.8905
2.8667     20.808     10.8886
2.7896     21.0054    10.8842
