MNHN       1970.411   Phu170sf






























































































































































































-1.0833    6.5257     9.4756     R-PM/MAX
-1.2018    6.317      9.2953
-1.298     6.1192     9.1589
-1.3699    5.9695     9.0147
-1.4312    5.8175     8.8403
-1.542     5.6078     8.5766
-1.6035    5.4408     8.4111
-1.6161    5.3306     8.2462
-1.7098    5.1852     8.0179
-1.7856    4.9931     7.68
-1.8323    4.8834     7.4086
-1.912     4.7174     7.0967
-1.9632    4.61       6.9036
-2.0056    4.5323     6.6781
-2.0535    4.4516     6.5407
-2.0531    4.4087     6.4203
-2.0876    4.4067     6.2431
-2.0545    4.4115     6.167
-2.0418    4.4331     6.0054
-1.9216    4.4817     5.8485
-1.8267    4.5546     5.7066



















































































































































































0.4983     6.6851     9.7395     L-PM/MAX
0.5885     6.4901     9.542
0.6953     6.3188     9.3333
0.7785     6.1908     9.1743
0.9472     5.9478     8.9036
1.0334     5.7708     8.7069
1.1199     5.5726     8.4481
1.1872     5.4358     8.2307
1.2852     5.2909     8.0066
1.4374     5.0346     7.528
1.5215     5.0097     7.3519
1.5795     4.892      7.1497
1.6604     4.8556     6.9395
1.7267     4.7969     6.745
1.738      4.7108     6.564
1.8133     4.6468     6.3598
1.8064     4.5869     6.1543
1.7716     4.5764     5.9662
1.5265     4.6778     5.6583
1.3937     4.6451     5.5454




















































































































































































-2.981     8.0492     6.6157     ROSTRUM
-2.9701    8.014      6.8384
-2.9323    7.9619     7.0827
-2.8009    7.8978     7.2703
-2.6505    7.8646     7.4473
-2.5486    7.8371     7.6616
-2.4679    7.8275     7.9039
-2.3801    7.726      8.1858
-2.3834    7.5993     8.5685
-2.3989    7.5238     8.8817
-2.444     7.4674     9.1208
-2.4722    7.4454     9.3473
-2.5136    7.3514     9.577
-2.4536    7.2822     9.7588
-2.2856    7.2728     9.9426
-2.1155    7.2795     10.0175
-1.9397    7.3098     10.094
-1.7607    7.3876     10.1702
-1.5559    7.4079     10.1048
-1.3752    7.4634     10.061
-1.1749    7.4708     10.1145
-1.0139    7.449      10.1663
-0.8993    7.4874     10.192
-0.808     7.4994     10.3358
-0.6235    7.4715     10.4768
-0.4774    7.4916     10.5716
-0.349     7.4885     10.5988
-0.1424    7.5232     10.6115
0.031      7.4947     10.537
0.1776     7.5559     10.4891
0.2794     7.628      10.4147
0.3916     7.6148     10.3665
0.5439     7.6536     10.271
0.7058     7.6912     10.2228
0.8711     7.7299     10.2181
1.0286     7.7117     10.2171
1.2752     7.7172     10.1966
1.348      7.7692     10.1601
1.4345     7.7854     10.2184
1.7676     7.7938     10.089
1.8765     7.8665     9.9447
1.823      7.8724     9.8456
1.774      7.926      9.6981
1.7218     7.944      9.4392
1.6853     7.9733     9.2287
1.6365     8.0553     8.97
1.6342     8.0661     8.7986
1.6254     8.1122     8.5826
1.6566     8.1386     8.382
1.6842     8.1851     8.2433
1.7217     8.2356     8.038
1.8021     8.2297     7.8683
1.852      8.2577     7.6985
1.9378     8.2552     7.5298
2.0459     8.2592     7.421
2.186      8.3404     7.2671
2.2581     8.3681     7.0906
2.2975     8.4047     6.9042
2.2911     8.441      6.7936
2.2882     8.5186     6.6562
2.2793     8.5702     6.5238
2.273      8.5777     6.4243










































































































































-4.6409    11.5096    13.2232    SUPORB
-4.6078    11.6258    13.4895
-4.5671    11.6736    13.678
-4.5122    11.6853    13.8527
-4.4055    11.653     14.0867
-4.2405    11.5751    14.3194
-4.0041    11.435     14.5839
-3.8614    11.3999    14.6729
-3.7107    11.3106    14.7708
-3.5279    11.213     14.8919
-3.3195    11.1061    14.975
-2.9394    11.0849    15.1172
-2.6866    11.2334    15.2457
-2.4203    11.3686    15.3403
-1.9551    11.4101    15.4625
-1.651     11.3332    15.4724
-1.2874    11.1504    15.4251
-1.0322    10.9015    15.3471
-0.8423    10.7954    15.2471
-0.4971    10.8152    15.204
-0.0027    11.0538    15.4079
0.3259     11.2203    15.4744
1.0433     11.4079    15.3767
1.3361     11.3587    15.3174
1.624      11.3343    15.2237
1.8066     11.3186    15.1576
2.1653     11.3628    15.0693
2.4289     11.6101    14.9271
2.7073     11.7845    14.7697
2.959      11.8691    14.582
3.1524     12.0331    14.3691
3.2579     12.1092    14.1952
3.2691     12.3019    13.9455
3.3517     12.21      13.7545
3.3921     12.1909    13.5882
3.433      12.1305    13.4113




































































































































































-2.4264    9.9554     11.973     RORBIT
-2.6971    10.0029    12.0982
-2.9318    9.927      12.1399
-3.2137    10.0465    12.2352
-3.4867    10.1901    12.3802
-3.7428    10.3777    12.5635
-3.8705    10.5439    12.7402
-3.9897    10.6679    12.9678
-4.0101    10.7465    13.1257
-4.0323    10.8275    13.3298
-4.08      10.8477    13.483
-4.0248    10.8421    13.6901
-3.8938    10.7982    13.9313
-3.6914    10.6723    14.2004
-3.5117    10.6094    14.3073
-3.2632    10.4919    14.4494
-3.077     10.4427    14.4973
-2.709     10.3491    14.5084
-2.5703    10.3407    14.4824
-2.4437    10.358     14.4402
-2.2277    10.3189    14.4128
-1.9637    10.3245    14.4582
-1.7254    10.5287    14.5426
-1.4413    10.5808    14.5433
-1.2443    10.646     14.415
-1.1048    10.639     14.0981
-1.0336    10.5504    13.8718
-0.9747    10.5035    13.6488
-0.9568    10.4444    13.5231
-0.9721    10.3709    13.371
-0.887     10.2857    13.2309
-0.9406    10.1821    13.0221








































































































































































1.5939     10.2321    12.1125    LORBIT
1.8485     10.2229    12.1964
2.0653     10.3035    12.2729
2.3051     10.4107    12.3499
2.4867     10.5447    12.419
2.7084     10.6477    12.4936
2.8287     10.8333    12.6624
2.9153     10.958     12.7949
2.9833     11.0775    12.9703
2.9934     11.1761    13.1385
3.0334     11.2508    13.3544
3.0694     11.2873    13.5728
3.0081     11.2434    13.7911
2.933      11.1823    13.9687
2.8781     11.1043    14.1167
2.746      11.0122    14.303
2.5898     10.9461    14.3852
2.4858     10.8463    14.4803
2.2435     10.7486    14.5539
2.0089     10.6534    14.5635
1.7715     10.6071    14.5035
1.5133     10.5078    14.4709
1.299      10.5155    14.408
1.0983     10.5214    14.3432
0.7229     10.5789    14.482
0.484      10.636     14.5103
0.2391     10.5612    14.4487
0.0984     10.512     14.1742
0.0486     10.5024    13.9563
0.0053     10.4231    13.6159
0.0001     10.3574    13.3864
0.0188     10.3081    13.2433
0.037      10.2542    13.1481
0.0685     10.1899    13.0883






































































































































































-4.6682    11.4254    13.0355    RTEMFOS
-4.7087    11.3065    12.8074
-4.7058    11.2312    12.4348
-4.7331    11.0857    12.2254
-4.7117    10.9346    11.9317
-4.6939    10.8135    11.7081
-4.692     10.6283    11.4609
-4.6918    10.5462    11.2987
-4.7076    10.4046    11.1672
-4.7023    10.2718    11.0086
-4.7124    10.2031    10.8925
-4.724     10.1496    10.7318
-4.7625    10.091     10.5969
-4.8184    10.0868    10.4369
-4.923     10.204     10.3035
-5.0608    10.3668    10.2066
-5.0836    10.544     10.1966
-5.1901    10.851     10.2241
-5.2803    11.0296    10.2218
-5.2961    11.2043    10.2531




















































































































































































3.4278     12.0793    13.2668    LTEMFOS
3.5034     11.9316    13.1048
3.5168     11.9069    12.9579
3.5494     11.8431    12.8148
3.5925     11.7346    12.7185
3.6481     11.6872    12.5349
3.6162     11.6197    12.417
3.6076     11.5284    12.2385
3.6128     11.4174    12.0541
3.6335     11.3524    11.8949
3.6353     11.2914    11.7869
3.6739     11.2191    11.6659
3.6662     11.1575    11.5683
3.6653     11.0813    11.453
3.6418     11.0025    11.3125
3.6671     10.9106    11.1958
3.6865     10.801     11.0946
3.7113     10.671     10.9613
3.7383     10.6434    10.865
3.776      10.6496    10.6285
3.8381     10.7876    10.4381
3.9443     10.9607    10.3313
3.9279     11.2311    10.2664
4.0188     11.4462    10.2999
4.0991     11.5916    10.3352
4.1992     11.7349    10.3591














































































































































































0.06       4.4518     12.1876    OP
0.0518     6.7246     12.148     BA
0.0213     11.979     11.8425    ST
-0.0891    17.8717    12.3515    IV
-4.2197    6.9533     11.8436    R_PG
-5.2196    9.4699     10.8857    R_ZTI
-2.2174    12.5613    12.9648    R_M3D
-2.5694    15.2625    13.0064    R_M12
-2.2823    17.6876    13.1405    R_MP3
-1.5045    18.8471    13.0096    R_PMI
4.1835     7.004      11.5802    L_PG
5.1985     9.5202     10.5555    L_ZTI
2.169      12.5883    12.7793    L_M3D
2.4815     15.2737    12.9759    L_M12
2.1015     17.7045    13.187     L_MP3
1.3836     19.0645    13.137     L_PMI
-0.7497    20.746     12.8869    O1
3.0705     9.7439     5.6068     O2
-5.3495    8.9608     10.4015    O3
0.7625     1.9012     9.2537     O4




















































































































































































-3.7327    12.9835    11.0002    RZYGINF
-3.9288    12.8934    10.8549
-4.0482    12.8093    10.7552
-4.1893    12.688     10.6619
-4.2626    12.6809    10.6401
-4.4218    12.6143    10.6756
-4.5983    12.4203    10.7248
-4.694     12.2034    10.7589
-4.759     11.9908    10.7638
-4.8233    11.6394    10.8044
-4.7573    11.3558    10.8026
-4.7038    11.1914    10.8527
-4.6542    10.9909    10.8809
-4.6729    10.7379    10.8972
-4.7611    10.4805    10.921
-4.8434    10.3195    10.9086
-4.9034    10.1543    10.9128
-5.111     9.9271     10.8667
-5.1995    9.7293     10.8594
-5.2328    9.6696     10.8314
-5.2491    9.6159     10.8178
-5.2915    9.5144     10.8218


















































































































































































3.6661     13.1828    10.7326    LZYGINF
3.7764     13.0538    10.6276
3.8611     13.0236    10.482
3.9793     12.9346    10.4096
4.1698     12.8136    10.3807
4.2668     12.6474    10.4583
4.4783     12.4518    10.5381
4.5214     12.3156    10.568
4.573      12.1203    10.5791
4.656      11.8843    10.5637
4.7661     11.6434    10.5486
4.7481     11.4327    10.5378
4.7313     11.1784    10.5585
4.6983     10.9119    10.6202
4.7116     10.6929    10.6144
4.7254     10.4861    10.6323
4.7619     10.3243    10.6482
4.8502     10.131     10.635
4.9347     9.9868     10.6053
5.0758     9.8614     10.5472
5.1024     9.719      10.5574
5.1039     9.6195     10.5538
5.1308     9.502      10.561
5.1299     9.4929     10.5399
















































































































































































-2.2718    12.5886    12.8907    R-ALV
-2.5161    12.8726    12.8784
-2.5853    13.1204    12.9355
-2.6443    13.3803    12.9691
-2.6757    13.7012    12.9003
-2.693     13.9538    12.9087
-2.6775    14.2292    12.9573
-2.6654    14.5071    12.9568
-2.6804    14.7128    12.9211
-2.7107    14.999     12.9193
-2.6682    15.1078    12.9517
-2.6185    15.3773    12.9518
-2.5876    15.5631    12.9254
-2.573     15.7969    12.9171
-2.5635    15.9402    12.9072
-2.4998    16.0961    13.0064
-2.3948    16.3565    13.006
-2.3622    16.5811    12.9734
-2.3252    16.7427    13.0244
-2.3464    16.9759    13.0612
-2.3275    17.1949    13.1133
-2.3449    17.408     13.0837
-2.3287    17.5152    13.0876
-2.2903    17.7115    13.1206
















































































































































































2.2017     12.6238    12.7563    L-ALV
2.3954     12.9337    12.835
2.5574     13.2356    12.759
2.5789     13.4794    12.8638
2.6032     13.741     12.8703
2.5744     14.0584    12.8716
2.5803     14.3521    12.8353
2.5602     14.6427    12.9064
2.5891     14.98      12.8834
2.5293     15.3066    12.8879
2.4506     15.6312    12.9231
2.4374     15.9171    12.9187
2.261      16.4448    12.949
2.2158     16.7185    13.0199
2.1933     17.0084    13.0712
2.1834     17.2175    13.1099
2.191      17.4537    13.1246
2.1527     17.6232    13.1479
2.074      17.8462    13.179
