AMNH       89438      Prvf001z
18.6804    16.2974    6.4458     O2
14.5406    14.3928    8.9113     O3
13.2245    17.6869    6.0262     O4




















































































































































































15.824     14.1944    8.5036     RZYGINF
15.9175    14.077     8.4082
16.0741    14.0046    8.3598
16.2659    13.9385    8.3147
16.4592    13.9711    8.3684
16.6277    14.024     8.2802
16.8099    14.1654    8.3552
17.0078    14.2626    8.3596
17.1669    14.3219    8.2587
17.328     14.4461    8.3117
17.484     14.5166    8.3302
17.5748    14.4624    8.2452




























































































































































































12.9149    17.7717    8.6156     LZYGINF
12.8419    17.9367    8.5128
12.8429    18.1089    8.4753
12.8177    18.3115    8.4544
12.9232    18.5232    8.5235
13.0827    18.6777    8.5446
13.1958    18.8149    8.5989
13.2657    18.9628    8.5588
13.3069    19.0113    8.4702
13.4911    19.1591    8.474
13.5917    19.3324    8.4269
13.6316    19.4535    8.3781




























































































































































































15.8972    15.7572    9.06       R-ALV
15.846     15.6466    9.0562
15.761     15.4587    9.0547
15.7044    15.3595    9.0865
15.5688    15.1099    9.126
15.3844    14.8776    9.2034
15.1634    14.694     9.2524
15.0814    14.6315    9.2956
14.9731    14.5177    9.2442
14.8701    14.4895    9.2786
14.6705    14.4084    9.2857
14.5079    14.2951    9.3674
14.4189    14.232     9.3935
14.1453    14.1165    9.3471
14.1759    14.1022    9.2639

























































































































































































14.3484    17.4707    9.2085     L-ALV
14.2288    17.4555    9.2595
14.1065    17.4018    9.3024
13.9567    17.3636    9.2838
13.8707    17.2982    9.3122
13.7787    17.264     9.3553
13.6293    17.1946    9.3963
13.5908    17.1397    9.4514
13.4142    17.048     9.3962
13.1779    16.8702    9.4319
12.9442    16.6826    9.4035
12.9088    16.5982    9.3993
12.8701    16.539     9.5331
12.7507    16.382     9.4894
12.6113    16.2666    9.4662
12.5896    16.1633    9.5295
12.4706    16.0329    9.383
