MNHN       1958.698   Php16stv
1.3693     4.9598     8.3375
1.4206     4.9238     8.2636
1.456      4.8979     8.2119
1.5254     4.8425     8.0719
1.5987     4.7642     7.9021
1.6432     4.6747     7.6938
1.6778     4.6005     7.5655
1.7074     4.5029     7.4087
1.7344     4.435      7.2434
1.7151     4.2972     7.0412
1.6797     4.2325     6.9148
1.6008     4.1504     6.7828
1.59       4.125      6.6619
1.4148     4.1485     6.4234
1.3128     4.1207     6.2739





































































































































































-2.8045    7.7645     6.6826     ROSTRUM
-2.7867    7.7151     6.933
-2.7874    7.6623     7.0982
-2.7154    7.6687     7.2674
-2.5777    7.6586     7.4153
-2.3481    7.6616     7.6044
-2.2491    7.5985     7.792
-2.146     7.6031     7.9449
-2.0925    7.5888     8.1481
-2.0627    7.552      8.3778
-2.0499    7.4608     8.6323
-2.0063    7.46       8.8844
-2.023     7.4253     9.1037
-2.0285    7.3783     9.2994
-2.0505    7.3491     9.5018
-2.104     7.2635     9.7356
-2.0957    7.2555     9.9415
-2.1117    7.25       10.1328
-1.9246    7.2236     10.3648
-1.753     7.2043     10.3992
-1.5664    7.1616     10.4553
-1.3854    7.1958     10.4384
-1.1699    7.2222     10.3586
-0.964     7.2177     10.3777
-0.7739    7.2666     10.3766
-0.5988    7.2479     10.486
-0.4278    7.2236     10.5867
-0.3079    7.2361     10.5793
-0.1107    7.313      10.5488
0.0143     7.3322     10.4972
0.1244     7.3491     10.4017
0.2928     7.3571     10.4171
0.452      7.3481     10.4293
0.6825     7.3685     10.4524
0.8048     7.3542     10.4714
0.9678     7.3672     10.4712
1.133      7.3548     10.444
1.2983     7.3942     10.3801
1.4333     7.4212     10.3212
1.5323     7.4627     10.1746
1.4723     7.5616     9.995
1.4576     7.6541     9.789
1.4166     7.655      9.548
1.4528     7.6858     9.3976
1.4388     7.6674     9.2128
1.4829     7.7013     9.067
1.5063     7.7045     8.8888
1.5062     7.7156     8.663
1.5179     7.7114     8.501
1.5115     7.7569     8.2984
1.5754     7.8074     8.1295
1.6532     7.8482     7.9447
1.7443     7.8676     7.7915
1.8546     7.8544     7.668
1.9344     7.8433     7.6342
2.1347     7.821      7.5218
2.2859     7.8041     7.305
2.3168     7.7814     7.0904
2.3281     7.8109     6.9033
2.3294     7.8201     6.7619
2.3295     7.842      6.5611











































































































































-4.516     11.3537    12.677     SUPORB
-4.3943    11.3614    12.8061
-4.3177    11.3062    13.0253
-4.2236    11.3207    13.1803
-4.1451    11.3408    13.2643
-4.0576    11.2609    13.374
-3.9377    11.1864    13.5143
-3.8508    11.1956    13.6121
-3.6328    11.145     13.7793
-3.4126    11.0495    13.8799
-3.2713    10.9043    13.9557
-3.1464    10.8905    14.0223
-2.9666    10.8836    14.1211
-2.8045    10.8593    14.2161
-2.6478    10.8563    14.2863
-2.493     10.7795    14.3405
-2.2932    10.7376    14.376
-2.108     10.6254    14.4265
-1.8823    10.5791    14.4911
-1.7555    10.5478    14.5
-1.6421    10.4998    14.5288
-1.4466    10.4229    14.5311
-1.3339    10.3647    14.5293
-1.2027    10.2981    14.5286
-1.0761    10.2592    14.5221
-0.9115    10.2074    14.4988
-0.7679    10.1377    14.4806
-0.5816    10.0978    14.4325
-0.4372    10.1429    14.4032
-0.3013    10.0887    14.4255
-0.0895    10.2087    14.4578
0.1468     10.2956    14.4997
0.3537     10.4096    14.5207
0.6098     10.5069    14.5329
0.7837     10.5378    14.5412
0.9356     10.5878    14.5068
1.2734     10.6244    14.4778
1.5016     10.6956    14.4143
1.8119     10.7841    14.3362
2.009      10.7834    14.2498
2.2664     10.7622    14.1296
2.4574     10.8129    14.033
2.6598     10.9144    13.9542
3.1429     11.1584    13.6561
3.3611     11.1071    13.4164
3.4939     11.2697    13.1782
3.6408     11.2108    13.0774
3.7043     11.2085    12.9673
3.7476     11.2326    12.9049























































































































































-2.3379    9.7415     11.3705    RORBIT
-2.5616    9.8105     11.3301
-2.7842    9.8521     11.3125
-2.9627    9.9553     11.3516
-3.1522    10.0827    11.4615
-3.2576    10.1846    11.5564
-3.3638    10.2926    11.7141
-3.4928    10.4259    11.8998
-3.5954    10.5428    12.1559
-3.657     10.6124    12.3696
-3.6792    10.6637    12.5319
-3.7021    10.6234    12.8152
-3.6399    10.5768    12.9863
-3.5091    10.4742    13.2116
-3.3305    10.3665    13.3884
-3.0888    10.2683    13.4976
-2.8965    10.1222    13.6293
-2.6953    10.0401    13.6286
-2.497     9.9718     13.6358
-2.3564    9.9082     13.6435
-2.1489    9.8218     13.6252
-1.8746    9.808      13.5702
-1.5242    9.8306     13.6106
-1.1825    9.7972     13.6513
-1.0336    9.8025     13.4983
-0.9111    9.8046     13.2344
-0.7884    9.8123     12.9925
-0.7605    9.8198     12.8397
-0.7451    9.7795     12.7017
-0.7455    9.6903     12.5548










































































































































































1.6333     9.6324     11.3908    LORBIT
1.8708     9.6662     11.325
2.0973     9.7445     11.2968
2.3016     9.8348     11.3701
2.473      9.9825     11.4611
2.5937     10.0732    11.5859
2.6771     10.1406    11.7274
2.7819     10.2094    11.8341
2.8007     10.3198    11.9907
2.8518     10.4307    12.1635
2.91       10.4633    12.3142
2.9189     10.5121    12.4514
2.9836     10.4935    12.5766
2.9395     10.5389    12.8156
2.8525     10.5348    12.9999
2.7937     10.3883    13.1964
2.6568     10.3041    13.3478
2.5281     10.1779    13.4937
2.3482     10.0673    13.6143
1.9183     10.0179    13.6185
1.7345     9.8626     13.7067
1.5049     9.7793     13.7151
1.1569     9.7635     13.6432
0.9319     9.7031     13.6475
0.7321     9.6883     13.644
0.4424     9.7174     13.7162
0.1572     9.6697     13.4903
0.0116     9.5973     13.2296
-0.1059    9.5958     12.9202
-0.1468    9.5631     12.7634
-0.1608    9.5133     12.623
-0.1074    9.5196     12.474
-0.1041    9.497      12.3654







































































































































































-4.4866    11.2992    12.6415    RTEMFOS
-4.5784    11.2722    12.4475
-4.6524    11.2374    12.2482
-4.6877    11.1509    12.0035
-4.6904    11.1005    11.8698
-4.6741    11.0251    11.7483
-4.6252    10.9177    11.4676
-4.6284    10.8198    11.3073
-4.5623    10.7028    11.058
-4.5122    10.5987    10.8196
-4.502     10.4862    10.6771
-4.5277    10.4017    10.5382
-4.5341    10.3619    10.4116
-4.5612    10.3444    10.2893
-4.6041    10.3186    10.2026
-4.629     10.3255    10.1112
-4.7063    10.2932    10.0162
-4.7902    10.4134    9.9415
-4.9306    10.6121    9.8534
-5.1284    10.8066    9.8416
-5.2214    10.9922    9.8325
-5.2016    11.2535    9.8152
-5.2531    11.3356    9.8199
-5.2837    11.4741    9.8218
-5.4101    11.595     9.8201















































































































































































3.6765     11.2368    12.889     LTEMFOS
3.7936     11.2068    12.7214
3.8086     11.2029    12.5972
3.8658     11.1781    12.4959
3.9385     11.1252    12.2987
3.9511     11.0739    12.1314
3.9374     11.0108    11.9453
3.9142     10.9509    11.8233
3.8669     10.9461    11.705
3.8613     10.8285    11.5832
3.8137     10.7387    11.4759
3.7995     10.6423    11.4096
3.7993     10.5908    11.2659
3.7871     10.5272    11.1409
3.7859     10.5093    10.9593
3.7835     10.433     10.8842
3.7884     10.3457    10.7854
3.7835     10.2911    10.6663
3.7848     10.2598    10.5318
3.8245     10.2444    10.4228
3.8369     10.1908    10.356
3.9245     10.2021    10.2143
4.0158     10.1994    10.1425
4.1383     10.2518    10.043
4.2329     10.3423    9.9847
4.3228     10.3831    9.9724
4.3341     10.5718    9.9154
4.4461     10.6586    9.955
4.5247     10.8107    9.9695
4.5958     10.9639    9.9674
4.6865     11.0621    9.9967
4.7001     11.2039    9.9563
4.7536     11.341     9.9672
4.8135     11.451     9.9488






































































































































































0.2377     5.0929     11.6645    OP
0.1729     6.8889     11.7547    BA
0.0227     12.0401    11.2406    ST
-0.0137    17.252     11.4094    IV
-3.9314    7.0196     11.4924    R_PG
-5.2855    9.241      10.6775    R_ZTI
-2.3982    12.4428    12.4946    R_M3D
-2.5184    14.9209    12.5799    R_M12
-1.9912    17.3982    12.2193    R_MP3
-1.3488    18.7119    12.1484    R_PMI
4.1118     7.2311     11.3322    L_PG
5.3171     9.4856     10.5277    L_ZTI
2.4437     12.5055    12.42      L_M3D
2.4762     15.1111    12.5487    L_M12
1.9992     17.4975    12.1731    L_MP3
1.4454     18.6951    12.1444    L_PMI
0.7305     20.3242    11.8247    O1
-3.4332    10.3427    6.0239     O2
5.5769     9.7656     9.886      O3
-1.3712    2.6725     9.1851     O4




















































































































































































-3.7888    12.4311    10.8336    RZYGINF
-3.9431    12.2778    10.8196
-4.0762    12.1559    10.775
-4.227     12.0326    10.7363
-4.3229    11.9295    10.7326
-4.4504    11.7679    10.7693
-4.5397    11.539     10.795
-4.6172    11.2718    10.8248
-4.6894    11.0237    10.8595
-4.7391    10.8471    10.8833
-4.8078    10.6611    10.9196
-4.836     10.5062    10.9512
-4.8414    10.3452    10.972
-4.9377    10.1716    10.9602
-5.0041    10.0142    10.9727
-5.1117    9.7951     10.9669
-5.1751    9.6839     10.9074
-5.2239    9.5354     10.8387
-5.2513    9.4058     10.7863
-5.2622    9.344      10.7684
-5.2943    9.2484     10.7016



















































































































































































3.6296     12.6791    10.7961    LZYGINF
3.8035     12.5406    10.7304
3.902      12.3919    10.7113
4.0284     12.2733    10.691
4.213      12.143     10.6485
4.3543     11.9973    10.6616
4.5254     11.7878    10.6599
4.5313     11.5814    10.6864
4.6224     11.3725    10.6872
4.6603     11.2175    10.6959
4.7161     10.995     10.7456
4.7909     10.8213    10.7609
4.8159     10.6477    10.8
4.8537     10.4464    10.7896
4.9741     10.2346    10.7697
5.1045     10.0769    10.7357
5.1658     10.0041    10.7128
5.1958     9.8296     10.6542
5.2194     9.7263     10.6148
5.2482     9.5685     10.5757
5.2639     9.4872     10.518
5.2756     9.4755     10.5004


















































































































































































-2.4814    12.5319    12.4888    R-ALV
-2.6512    12.8406    12.4493
-2.7223    13.1947    12.4984
-2.7362    13.4418    12.56
-2.7354    13.778     12.524
-2.6759    14.1972    12.5469
-2.6696    14.4414    12.542
-2.6013    14.6967    12.5825
-2.5375    14.9261    12.5059
-2.4938    15.2576    12.5104
-2.4685    15.4421    12.4998
-2.3955    15.7102    12.4931
-2.3553    15.9138    12.3986
-2.3195    16.1157    12.3354
-2.2826    16.2963    12.3668
-2.2332    16.4799    12.3528
-2.1676    16.7683    12.3243
-2.124     16.9256    12.3327
-2.0844    17.0686    12.334
-2.068     17.1984    12.2441
-2.0351    17.3243    12.1882



















































































































































































2.524      12.5764    12.3878    L-ALV
2.6494     12.7869    12.4624
2.6984     12.986     12.4883
2.7324     13.2201    12.5004
2.7552     13.4785    12.51
2.7312     13.7527    12.529
2.7213     14.0752    12.4764
2.6838     14.3606    12.5093
2.6707     14.7333    12.5202
2.5599     14.9898    12.5126
2.5182     15.1816    12.4922
2.4862     15.4304    12.494
2.478      15.6613    12.5216
2.4301     15.8798    12.4463
2.3708     16.0733    12.4473
2.3273     16.3126    12.4208
2.2982     16.5823    12.3913
2.2778     16.7741    12.3525
2.2281     17.0106    12.3242
2.208      17.1471    12.2759
2.1378     17.3503    12.2086
