AMNH       60568      Tg1stv
10.5961    11.3772    13.3393
10.6846    11.3167    13.3153
10.823     11.1973    13.3246
10.9454    11.143     13.3425
11.1164    11.1378    13.2789
11.2861    11.1063    13.2693
11.4102    11.0864    13.2111
11.4762    10.8108    13.1337
11.4993    10.7082    12.9932
11.5025    10.7159    12.8693
11.5066    10.6418    12.6953
11.5118    10.6187    12.5702
11.4819    10.5473    12.3565
11.4364    10.5216    12.2038
11.3611    10.5032    12.0857

































































































































































12.8831    9.2589     11.2736    LORBIT
13.1144    9.1417     11.2425
13.3288    9.0436     11.2486
13.4914    9.0371     11.2847
13.6341    9.0084     11.3299
13.7669    8.9571     11.3756
13.9404    8.9432     11.4478
14.0488    8.9639     11.5532
14.1588    8.9854     11.6398
14.2771    8.9907     11.7349
14.3965    9.0113     11.8711
14.4741    9.1051     11.9952
14.5657    9.114      12.1865
14.6798    9.0689     12.4093
14.6118    9.1888     12.4819
14.6189    9.1109     12.6423
14.544     9.1012     12.8037
14.4357    9.0503     12.9534
14.3498    8.9871     13.0929
14.2313    8.9305     13.2057
14.059     8.9251     13.2498
13.9242    8.9353     13.33
13.7187    8.9849     13.348
13.5259    9.0317     13.3752
13.3492    9.0989     13.3806
13.2138    9.1487     13.4032
13.1324    9.2442     13.3779
13.0769    9.3351     13.3374
12.9981    9.4423     13.3337
12.8678    9.5665     13.3814
12.7002    9.678      13.4223
12.6131    9.7604     13.3858
12.5039    9.8506     13.3611
12.4077    9.9533     13.2796
12.3367    10.0363    13.179
12.2581    10.0609    13.0889
12.1897    10.0613    12.9482
12.1289    10.0686    12.8148
12.0906    10.0849    12.7022
12.103     10.0843    12.6107
12.0852    10.0929    12.53
12.1145    10.0488    12.3953






























































































































































10.2059    13.6867    12.8167    RTEMFOS
10.0843    13.7005    12.6094
10.0104    13.7437    12.3684
9.9188     13.7551    12.1632
9.7929     13.7256    11.9678
9.7116     13.7263    11.7733
9.6504     13.6949    11.5841
9.5898     13.6462    11.378
9.5303     13.592     11.1843
9.4721     13.5686    11.0382
9.3901     13.4891    10.8762
9.3616     13.489     10.6999
9.2592     13.4716    10.5465
9.1863     13.4962    10.3731
9.0773     13.5392    10.2031
8.995      13.6185    10.0514
8.9565     13.713     9.935
8.9801     13.8332    9.829
8.9161     14.0146    9.6748
8.9499     14.1367    9.6077
8.9469     14.2479    9.5491
8.9624     14.3738    9.4854
9.0496     14.4799    9.4696
9.1006     14.5943    9.4401
















































































































































































15.2998    9.2888     12.5693    LTEMFOS
15.3523    9.2594     12.4021
15.3726    9.1836     12.2892
15.3693    9.1281     12.0989
15.3926    9.0907     11.9674
15.4151    9.0321     11.8134
15.4159    8.9718     11.6365
15.4077    8.9129     11.4948
15.3871    8.9001     11.3563
15.3666    8.8228     11.2416
15.3563    8.778      11.1248
15.3447    8.7248     11.0292
15.3071    8.6896     10.9161
15.2925    8.6459     10.7753
15.2814    8.548      10.6207
15.2945    8.4898     10.436
15.3173    8.4172     10.2834
15.3546    8.3602     10.1678
15.4536    8.3217     10.023
15.607     8.2383     9.8284
15.7161    8.2502     9.7305
15.8499    8.2509     9.6163
15.9664    8.3155     9.5375
16.1146    8.3575     9.4788
16.2644    8.4221     9.4103
16.3647    8.5151     9.3608
16.5126    8.5842     9.3332













































































































































































8.7963     7.538      9.746      OP
9.985      9.0645     9.7794     BA
12.732     12.6068    9.275      ST
15.8448    16.5744    9.8876     IV
6.9765     11.7387    9.596      R_PG
7.434      14.1838    8.7148     R_ZTI
11.5298    14.1526    10.8641    R_M3D
12.7715    16.2363    10.8285    R_M12
14.4321    17.8849    10.6899    R_MP3
15.906     18.476     10.266     R_PMI
13.1613    6.9012     9.6724     L_PG
15.4665    7.6365     8.8656     L_ZTI
14.5459    11.8581    10.9505    L_M3D
16.2983    13.6605    10.8523    L_M12
17.5418    15.5898    10.7201    L_MP3
17.7639    16.9764    10.3081    L_PMI
16.536     19.2288    10.6039    O1
10.0729    13.5017    3.9372     O2
15.1798    7.1002     8.3575     O3
5.8723     7.9014     7.8082     O4




















































































































































































10.781     15.5715    8.2488     RZYGINF
10.6119    15.5272    8.1779
10.5009    15.5296    8.0752
10.3347    15.517     8.0197
10.2168    15.5056    8.0028
9.9669     15.5829    8.035
9.8147     15.5728    8.0823
9.6461     15.5965    8.1803
9.4446     15.5426    8.285
9.2807     15.488     8.3544
9.0704     15.4172    8.4385
8.8264     15.3424    8.6009
8.7336     15.3089    8.663
8.6512     15.2284    8.6744
8.53       15.1559    8.5883
8.3797     15.1109    8.5176
8.2538     14.9616    8.5201
8.1384     14.8513    8.5017
8.0151     14.5884    8.5485
7.9847     14.4719    8.5746
7.9519     14.2825    8.6285
7.8963     14.1374    8.6854
7.7982     14.0152    8.7376
7.6204     13.9448    8.767
7.5012     13.9764    8.7728
7.3659     14.015     8.7498














































































































































































16.2662    11.3309    8.5468     LZYGINF
16.29      11.1807    8.4337
16.3262    11.0763    8.3186
16.3937    10.887     8.2154
16.4453    10.7224    8.2007
16.4693    10.5685    8.2113
16.4415    10.3221    8.2613
16.4945    10.0098    8.3415
16.5227    9.7204     8.4009
16.5945    9.5146     8.4155
16.5728    9.3737     8.4496
16.5307    9.1705     8.4681
16.4523    9.072      8.5072
16.3578    8.9198     8.536
16.1318    8.693      8.6069
16.0621    8.6331     8.6345
15.7447    8.5649     8.6848
15.5783    8.3694     8.7601
15.4413    8.237      8.8147
15.3528    8.0816     8.8574
15.3802    7.9069     8.8857
15.4397    7.7636     8.9014
15.4269    7.705      8.8939
15.4509    7.6109     8.8931
















































































































































































11.5562    14.0545    10.9424    R-ALV
11.5783    14.5063    10.865
11.6174    14.7469    10.8402
11.7114    14.9814    10.8356
11.8149    15.1312    10.8674
11.917     15.2833    10.8573
12.0009    15.3933    10.8717
12.1284    15.5608    10.8823
12.2579    15.7725    10.7847
12.3912    15.9192    10.7792
12.5147    16.0701    10.7495
12.6351    16.1563    10.8335
12.7474    16.282     10.7628
12.8636    16.4271    10.7924
12.9588    16.549     10.7944
13.0654    16.6779    10.7796
13.1787    16.8477    10.7823
13.354     16.9972    10.7136
13.5378    17.1066    10.8356
13.7105    17.2895    10.8439
13.8669    17.4071    10.8814
14.0015    17.4652    10.9311
14.08      17.5903    10.8508
14.1999    17.7121    10.8135
14.3149    17.8176    10.7649
14.4161    17.9       10.6931














































































































































































14.4314    11.8823    10.9698    L-ALV
14.7569    11.9771    10.9225
15.0425    12.1294    10.9553
15.2447    12.2497    10.8993
15.4103    12.4219    10.8584
15.5308    12.6257    10.881
15.6903    12.7536    10.8146
15.7865    12.9027    10.8031
15.8878    13.0233    10.8018
16.0073    13.1868    10.7544
16.101     13.3269    10.8118
16.242     13.58      10.7935
16.3518    13.7487    10.8082
16.4318    13.8842    10.8142
16.5197    14.019     10.8157
16.6032    14.1205    10.8357
16.6581    14.1989    10.8462
16.7424    14.2928    10.8148
16.8191    14.4291    10.8112
16.8802    14.5906    10.8583
16.9475    14.7205    10.9187
17.058     14.854     10.8597
17.1488    15.0092    10.8655
17.2507    15.1604    10.8527
17.3498    15.3311    10.8398
17.4528    15.4631    10.7818
17.5169    15.5776    10.7284
17.562     15.6467    10.6742
