NME        AL363-A1   Par1sf
1.1738     -0.2812    0.4221
1.1726     -0.2806    0.419
1.171      -0.2811    0.4151
1.1694     -0.2796    0.4123
1.1682     -0.2779    0.409
1.1675     -0.2772    0.4057
1.1659     -0.2758    0.4028
1.165      -0.2712    0.4006
1.1632     -0.2672    0.3964
1.1612     -0.2636    0.3929
1.1612     -0.2607    0.3885
1.1599     -0.2579    0.3856
1.1602     -0.2544    0.3824
1.1595     -0.2529    0.3801
1.1591     -0.2497    0.3774
1.1579     -0.2475    0.374
1.1565     -0.2449    0.3701
1.1525     -0.2439    0.3553
1.1509     -0.2429    0.349
1.1467     -0.2405    0.3412
1.1436     -0.2366    0.3348
1.1424     -0.2333    0.328
1.14       -0.233     0.3213
1.1389     -0.2317    0.3142
1.1371     -0.2308    0.3116
1.1362     -0.2295    0.3075
1.1351     -0.2282    0.3041
1.1341     -0.2266    0.3021
1.1329     -0.2234    0.2973
1.1313     -0.2202    0.293
1.1286     -0.2184    0.287
1.1268     -0.2168    0.2797
1.1247     -0.2184    0.2741
1.1219     -0.2164    0.271
1.1219     -0.2164    0.267
1.1207     -0.2159    0.2626

















































































































1.0548     -0.4951    0.4899     SUPORB
1.052      -0.4924    0.4973
1.0477     -0.4882    0.5056
1.0428     -0.4843    0.5163
1.043      -0.4807    0.5249
1.0444     -0.4774    0.5305
1.0434     -0.4704    0.5402
1.0483     -0.4634    0.5459
1.0526     -0.4561    0.5514
1.0582     -0.4471    0.5576
1.0653     -0.4365    0.561
1.0682     -0.4283    0.5629
1.0691     -0.4204    0.5664
1.0695     -0.4141    0.5676
1.0682     -0.4056    0.5684
1.0691     -0.3968    0.5696
1.068      -0.3887    0.5692
1.0637     -0.3806    0.5685
1.0626     -0.3732    0.5692
1.0629     -0.3672    0.5695
1.0628     -0.3594    0.5679
1.0615     -0.3515    0.5675
1.0603     -0.3452    0.567
1.0559     -0.3403    0.5667
1.0491     -0.3375    0.566
1.0484     -0.3275    0.5654
1.0498     -0.3204    0.567
1.0536     -0.3152    0.568
1.0556     -0.3082    0.5689
1.0534     -0.303     0.5708
1.0527     -0.295     0.5716
1.049      -0.2889    0.5737
1.0506     -0.2795    0.5734
1.0465     -0.2725    0.5744
1.0426     -0.2605    0.5753
1.0329     -0.2521    0.5753
1.0243     -0.2387    0.5738
1.0205     -0.2301    0.5717
1.0159     -0.2222    0.5674
1.0071     -0.2161    0.5632
1.0008     -0.2111    0.5587
0.9948     -0.2053    0.5531
0.9923     -0.2028    0.549
0.9887     -0.2001    0.5464
0.9854     -0.1978    0.5382
0.9845     -0.1915    0.5309
0.9834     -0.1903    0.5265
0.9846     -0.186     0.5205
0.9854     -0.1839    0.5151
0.9887     -0.1825    0.5039






















































































































































1.1047     -0.3768    0.4411     RORBIT
1.1039     -0.3829    0.4396
1.1051     -0.3886    0.4394
1.1073     -0.3928    0.4398
1.1073     -0.3966    0.4392
1.1083     -0.4014    0.44
1.1082     -0.4096    0.4422
1.1072     -0.4122    0.4428
1.108      -0.4187    0.4432
1.1048     -0.4246    0.446
1.1052     -0.4323    0.4476
1.1022     -0.439     0.4496
1.0987     -0.4415    0.4543
1.0938     -0.4435    0.4584
1.0914     -0.445     0.4614
1.0891     -0.4464    0.4648
1.0866     -0.4483    0.4679
1.0855     -0.4504    0.4703
1.081      -0.4528    0.4755
1.0769     -0.4565    0.4872
1.0777     -0.4546    0.496
1.079      -0.4503    0.501
1.0828     -0.4397    0.5128
1.0844     -0.433     0.518
1.0862     -0.4269    0.522
1.0865     -0.4217    0.5244
1.0873     -0.4185    0.526
1.0891     -0.4119    0.5282
1.0892     -0.4067    0.5278
1.0898     -0.402     0.5287
1.0901     -0.396     0.5292
1.0891     -0.3901    0.5271
1.0887     -0.3857    0.5279
1.0883     -0.3797    0.5296
1.0851     -0.3752    0.5298
1.0779     -0.3599    0.5428
1.0787     -0.351     0.5376
1.0806     -0.3441    0.526
1.0821     -0.3448    0.5251
1.0825     -0.3446    0.5211
1.0826     -0.3443    0.5156
1.0834     -0.3428    0.5106
1.0846     -0.3417    0.5064
1.083      -0.3424    0.5013
1.0847     -0.3424    0.4986
1.0856     -0.3426    0.4932
1.0872     -0.3423    0.4898



























































































































