MNHN       1970.410   Phk41stv
0.3915     8.6894     12.5151
0.39       8.7238     12.3899
0.4302     8.7341     12.2713










































































































































































-3.6375    9.665      12.361     RTEMFOS
-3.6558    9.6371     12.0472
-3.6854    9.6427     11.8549
-3.7005    9.5972     11.7297
-3.7031    9.5467     11.4968
-3.6952    9.4782     11.1739
-3.7077    9.4355     10.9016
-3.7251    9.3671     10.6104
-3.7201    9.4505     10.4335
-3.7702    9.3828     10.3045
-3.7676    9.337      10.2109
-3.7967    9.3316     10.0109
-3.9256    9.3996     9.7479
-3.9941    9.5601     9.6602
-4.1059    9.6516     9.5892
-4.2254    9.8543     9.5385
-4.3136    9.9639     9.5339
-4.3776    10.1002    9.5726
-4.4052    10.2409    9.5997
-4.4353    10.345     9.6278




















































































































































































3.4129     9.596      12.5607    LTEMFOS
3.48       9.5685     12.3186
3.5054     9.5342     12.1147
3.5533     9.4691     11.8411
3.5597     9.4708     11.6114
3.5792     9.4768     11.4356
3.5802     9.4359     11.306
3.5691     9.3906     11.1616
3.5566     9.3858     10.952
3.5368     9.3664     10.6968
3.551      9.2879     10.5194
3.5606     9.2575     10.3825
3.5508     9.2639     10.2099
3.5676     9.192      10.1255
3.6164     9.2403     9.8415
3.649      9.3226     9.7103
3.6794     9.4099     9.5838
3.7522     9.5104     9.4508
3.844      9.5959     9.3853
3.9339     9.6779     9.3445
3.972      9.8465     9.3227
4.049      9.9929     9.3328
4.1099     10.1013    9.3575
4.1494     10.1734    9.3672
4.2213     10.3565    9.4346















































































































































































-0.2734    5.67       11.0729    OP
-0.2804    7.7931     11.2955    BA
-0.0822    12.1265    11.1091    ST
0.1913     16.4333    11.4523    IV
-3.8616    7.9865     10.6012    R_PG
-4.7861    10.0023    10.1928    R_ZTI
-1.9364    12.4325    12.0975    R_M3D
-2.0647    14.5895    12.1218    R_M12
-1.4309    16.3771    12.0628    R_MP3
-1.0892    17.4916    12.0289    R_PMI
3.3652     7.758      10.6039    L_PG
4.525      9.7497     10.2941    L_ZTI
1.8855     12.3225    12.1811    L_M3D
2.1219     14.4923    12.2089    L_M12
1.8275     16.3442    12.2088    L_MP3
1.4688     17.263     12.1239    L_PMI
0.6511     18.7288    12.1472    O1
-2.9537    11.5222    5.5927     O2
4.5668     9.3643     9.7956     O3
-1.305     3.9677     8.3428     O4




















































































































































































-3.2699    12.9302    10.6038    RZYGINF
-3.5424    12.8348    10.4288
-3.779     12.7512    10.4421
-4.0745    12.5532    10.4988
-4.1129    12.4092    10.5212
-4.2059    12.1858    10.5494
-4.265     11.9662    10.5707
-4.3693    11.7977    10.576
-4.4181    11.6516    10.5716
-4.461     11.4092    10.5419
-4.5179    11.2114    10.4816
-4.4908    10.9608    10.4394
-4.6198    10.6752    10.3508
-4.6197    10.4844    10.3156
-4.6563    10.2333    10.2807
-4.7242    10.1213    10.2322
-4.7846    10.0453    10.2206
-4.8396    10.0012    10.1618






















































































































































































3.2068     12.5638    10.6887    LZYGINF
3.3335     12.5194    10.5905
3.4955     12.4846    10.5147
3.6089     12.4244    10.532
3.744      12.3312    10.5884
3.9377     12.1729    10.5833
4.0445     12.0184    10.6001
4.0914     11.8441    10.6103
4.1293     11.663     10.6128
4.1767     11.5525    10.6181
4.1886     11.4063    10.6049
4.204      11.2081    10.6024
4.1899     11.0885    10.5939
4.2659     10.9145    10.5795
4.3144     10.7714    10.5505
4.1874     10.7232    10.5608
4.2029     10.5503    10.5439
4.2232     10.4095    10.509
4.1845     10.2703    10.494
4.1993     10.0926    10.4671
4.1755     9.9291     10.4157
4.3002     9.8167     10.3863
4.3843     9.7346     10.3522
4.455      9.7375     10.287
















































































































































































-1.9676    12.4199    12.0654    R-ALV
-2.169     12.7063    12.0292
-2.2827    12.9992    12.0213
-2.2782    13.3036    12.0512
-2.2499    13.5614    12.0154
-2.2357    13.7753    12.0591
-2.2624    13.9996    12.027
-2.2414    14.2889    12.0092
-2.1263    14.5259    11.9691
-2.0577    14.7826    12.0124
-2.0351    15.0086    11.9782
-1.9775    15.2411    11.9825
-1.8621    15.3883    11.9937
