BNMM       FC 346     Phbots1sf2
4.6803      16.11    11.3919
4.6409    15.9008    11.3269
4.5478     15.731    11.1409
4.4824    15.5239    10.9404
4.4526    15.3945    10.7672
4.4527    15.2415     10.472
4.4516    15.0394    10.3497
4.6302    14.9107    10.1192
4.7896    14.8491     9.8923
4.9302    14.9138     9.7107
5.0644    15.0408     9.5357
5.1789    15.1965     9.4492
5.2485    15.2839      9.353
5.3148    15.3922     9.2866






















































































































































































9999       9999       9999    LTEMFOS







































































































































































































0.6215    17.8868    12.7813    OP
0.5583    15.9727    12.7604    BA
0.2043    11.9515    10.3435    ST
-0.2078     6.6679     10.246    IV
-3.6089    16.5228    12.1841    R_PG
-5.2044    14.4508    11.1624    R_ZTI
-2.0884    11.5442    11.3924    R_M3D
-2.4414      9.007    11.4155    R_M12
-2.3818     6.6209    10.9914    R_MP3
-1.8438     5.4829    10.6687    R_PMI
9999       9999       9999    L_PG
9999       9999       9999    L_ZTI
9999       9999       9999    L_M3D
9999       9999       9999    L_M12
9999       9999       9999    L_MP3
9999       9999       9999    L_PMI
0.3281     5.1231     9.6901    O1
4.2152    11.6398     8.5499    O2
-3.6483    15.6278     5.7497    O3
2.7508    20.4798     9.1073    O4




















































































































































































-3.4594     11.618    10.1667    RZYGINF
-3.661    11.8166    10.0505
-3.8434    12.0155     9.9844
-4.0412    12.1599    10.0329
-4.2362    12.1802    10.0521
-4.4873    12.2409    10.1567
-4.6409    12.4112    10.3064
-4.7238    12.6031    10.4466
