AMNH       119514     Mar6pwl
11.5935     14.948     8.3768
11.6684    14.9875     8.6452
11.7149    14.9318     8.8153
  11.91    14.8782     9.0198
 12.076    14.8282     9.1806
12.2351    14.7195     9.2713
12.5479    14.5068     9.4194
12.7765    14.3723     9.4398
12.9944    14.2722     9.4557
 13.162    14.2461     9.4372
13.3194     14.211     9.4307
13.9222    14.1991     9.6662
14.1705    14.2305     9.4209
14.2448    14.1808     9.2953
14.2921    14.1376     9.0959
14.3819    14.1074     8.8758
14.3744    14.0986     8.5432


















































































































































































16.6267    13.6577     7.5238    LORBIT
 16.832    13.7722      7.428
17.2633     13.864     7.3954
17.4695    13.9217     7.4373
17.6764    14.0254     7.5409
17.9334    14.3104     7.8721
17.9296    14.5567     8.4391
17.8395     14.581     8.6605
17.7184    14.5496     8.8515
17.5368     14.552     9.0458
17.3346    14.4688     9.2092
17.1332     14.407     9.2822
16.7785      14.21     9.4067
16.4817    14.1283     9.4248
16.2578    14.1252     9.4048
 16.063    14.0643      9.421
15.5201    14.1101     9.6078
15.2342    14.0798     9.3565
15.1078    14.0181     8.8775
15.0587    13.9715     8.7231
15.0834    13.9274     8.5877



















































































































































































 10.894    15.9486     8.5404    RTEMFOS
10.8393    15.9083     8.3638
10.7784    15.8394     8.2474
10.7184    15.7355     7.9206
10.7922      15.61     7.5341
10.8143    15.5578     7.3117
10.8753    15.4958     7.0971
10.9104    15.4218     6.8773
10.9086    15.3714      6.426
10.9478    15.3592     6.2129
10.9346    15.4361      6.083
10.9177    15.5402     5.8671
10.9289    15.6479     5.7467
10.8809    15.8349     5.6407
10.8741    16.0675     5.5971
10.8387    16.2849      5.577
10.8147    16.4516     5.5989
 10.816    16.5727     5.6326
10.7933    16.6894     5.6951





















































































































































































18.7236    15.4202     8.5369    LTEMFOS
 18.816    15.4361     8.3845
18.8759    15.4111     8.2099
18.8806    15.3437      8.078
18.9013    15.2472     7.9401
18.8149    15.0233     7.5603
 18.783    14.9219     7.3859
18.7283    14.8872     7.1317
18.6829    14.8742     6.9788
18.6179    14.8654     6.4246
18.6414    14.9674     5.9234
 18.696    15.1247     5.7208
18.8612     15.647     5.5022
18.9383    15.8239     5.5122
19.0205     15.996     5.5305
  19.09    16.1881     5.5432
19.1387    16.2899     5.5988























































































































































































13.7911    11.9691     9.1284    OP
 13.709    13.2881    10.0487    BA
 13.728    17.2621    11.3368    ST
13.6765    21.5658    12.6347    IV
10.5498    13.5811    10.1512    R_PG
 9.4057    15.9612     10.518    R_ZTI
 11.416    17.6798    12.0485    R_M3D
11.2089    19.3027    12.5519    R_M12
11.4036    21.0595    13.0027    R_MP3
  12.23    22.3745    13.0826    R_PMI
16.8302    13.2061    10.9606    L_PG
17.8801    15.5818    11.7066    L_ZTI
15.7087    17.4801    12.7542    L_M3D
15.9388    19.0593    13.3307    L_M12
15.7923    20.8599    13.6036    L_MP3
15.0138    22.3059    13.4659    L_PMI
14.1272    23.3101    14.2607    O1
17.8723    18.3675     9.7152    O2
 9.2882    14.9406     9.5833    O3
14.3573    10.8734     6.7873    O4




















































































































































































10.5525    18.2868    11.5664    RZYGINF
10.4021    18.1686    11.5315
10.2684    18.0794     11.478
10.0009    17.7887    11.4951
 9.8968    17.3421    11.4947
 9.9377    17.1038    11.4662
 9.9054    16.8457    11.4019
 9.8308    16.3777    11.1675
 9.6093    16.1484    10.8971
 9.3859    16.1266    10.6642
 9.3232    16.0215    10.5467





























































































































































































16.9239     17.939    12.4525    LZYGINF
17.0592    17.7046     12.485
17.1211    17.4505    12.5333
 17.163    17.1921    12.5557
17.1262    16.9236    12.5451
17.1698     16.407    12.4346
17.3092    15.9811    12.1808
17.4209    15.7933    12.0237
17.5905    15.7031    11.9473
17.8005    15.6669    11.8334
17.8755    15.6102    11.7191





























































































































































































11.3895    17.6724    12.0469    R-ALV
11.2628    17.8441    12.1912
 11.118    18.3507    12.2266
11.1342    18.6513    12.2642
11.1251    18.8451     12.439
11.1556    19.1067    12.5133
11.1969    19.4722    12.4747
11.2278      19.62    12.6493
11.2455    19.9191    12.6449
11.2943    20.0837    12.7446
11.3411    20.2868    12.8083
11.3688    20.4766    12.7766
11.4065    20.6835    12.9195
11.3958     20.917    12.9735
 11.394    21.0549    12.9976

























































































































































































15.6346    17.4005    12.7275    L-ALV
 15.716    17.4722    12.7515
15.8361    17.6632    12.8273
15.8758    17.8416    12.9938
15.9262    18.0882    13.0654
15.9378    18.2728    13.0952
15.9313    18.4832    13.1608
15.9297    18.6585     13.252
15.9493    18.8682    13.2721
15.8956    19.1197     13.284
15.8586    19.4126    13.3293
15.8405    19.5665    13.3508
15.7837      19.88    13.3896
15.7294     20.301    13.4709
15.7192    20.5442    13.5047
15.7467    20.7123    13.5512
15.7564    20.8447    13.6145
