AMNH       119761     laj3ms5.xls
12.7661    7.8328     -9.8275
13.0268    7.8778     -9.8997
13.2466    8.0045     -9.9906
13.3961    8.0922     -10.1205
13.5191    8.1815     -10.2913
13.5883    8.2732     -10.451
13.601     8.3169     -10.6528
13.5899    8.3514     -10.8945
13.5011    8.3978     -11.1207
13.4124    8.4236     -11.2992
13.2786    8.4464     -11.5018
13.0506    8.4814     -11.6243
12.7814    8.4979     -11.6754
12.5308    8.4966     -11.7169
12.2704    8.5374     -11.748
12.0056    8.6303     -11.7408
11.7614    8.6831     -11.6882
11.5659    8.7068     -11.5776
11.3086    8.7331     -11.3257
11.2479    8.763      -11.155
11.1842    8.7614     -11.0166
11.147     8.7828     -10.9436
11.0922    8.7645     -10.8131















































































































































































9.0207     9.3542     -9.6095    LORBIT
8.9023     9.5422     -9.5894
8.7004     9.8449     -9.5935
8.5776     10.1669    -9.6697
8.5463     10.409     -9.7881
8.5743     10.6507    -9.9992
8.5489     10.754     -10.2201
8.6019     10.7708    -10.4842
8.6835     10.7374    -10.8084
8.758      10.6492    -11.0957
8.8468     10.5409    -11.3911
8.9789     10.3749    -11.4428
9.1412     10.1642    -11.4944
9.378      9.9034     -11.5754
9.6431     9.6989     -11.6447
9.866      9.5468     -11.6177
10.0386    9.3794     -11.5563
10.1831    9.2654     -11.3898
10.2822    9.2138     -11.2761
10.3823    9.1574     -11.1136
10.4751    9.0609     -10.8379
10.4711    9.0066     -10.5606
10.4684    8.9861     -10.498

















































































































































































14.1646    8.4926     -10.5232   RTEMFOS
14.1491    8.4214     -10.3151
14.1551    8.2674     -10.0367
13.9942    8.0431     -9.7539
13.8934    7.7716     -9.4175
13.8671    7.4997     -9.1235
14.0363    7.468      -8.8144
14.2178    7.5604     -8.6349
14.4612    7.7603     -8.5916
14.6989    7.9476     -8.6197
14.8377    8.0669     -8.6375





























































































































































































8.4631     11.4618    -10.0272   LTEMFOS
8.4137     11.269     -9.8691
8.3136     11.1141    -9.6861
8.2771     10.9947    -9.4582
8.2496     10.8117    -9.2085
8.1997     10.5433    -8.9184
8.0633     10.4395    -8.632
7.982      10.5298    -8.3905
7.9278     10.9413    -8.1642
7.9378     11.2379    -8.1542
7.9443     11.4836    -8.1839
7.9431     11.5058    -8.185




























































































































































































7.311      6.9779     -8.7408    OP
8.4567     8.3483     -8.8996    BA
10.9495    11.3858    -8.3243    ST
13.3104    14.3345    -8.1595    IV
11.2677    6.6556     -8.5351    R_PG
13.3253    7.711      -8.239     R_ZTI
12.1965    10.5633    -9.4228    R_M3D
13.385     11.5484    -9.2723    R_M12
14.276     13.0277    -8.961     R_MP3
14.6606    13.7183    -8.5122    R_PMI
6.1767     10.7164    -8.2358    L_PG
6.8661     12.9343    -7.8938    L_ZTI
9.7822     12.5101    -9.1906    L_M3D
10.5108    13.847     -9.0507    L_M12
11.9047    15.0655    -8.7388    L_MP3
12.641     15.4632    -8.3747    L_PMI
14.7906    15.2456    -8.6888    O1
14.445     10.3144    -7.4815    O2
10.4047    5.2271     -7.4951    O3
7.082      5.3089     -5.6737    O4




















































































































































































13.3858    7.6938     -8.2196    RZYGINF
13.4896    7.8939     -8.266
13.5943    8.1821     -8.3486
13.6928    8.4645     -8.4818
13.8498    8.8166     -8.5137
13.9957    9.0937     -8.5578
14.1558    9.3661     -8.5599
14.2734    9.7028     -8.5007
14.2195    10.0986    -8.4396
14.0857    10.3114    -8.4131
13.8622    10.5164    -8.4118





























































































































































































6.8817     12.8742    -7.9093    LZYGINF
7.0935     13.0432    -7.9739
7.3461     13.2242    -8.0953
7.6346     13.4439    -8.1855
7.9402     13.6658    -8.2281
8.1038     13.862     -8.2897
8.2218     13.9446    -8.3022
8.5145     13.9769    -8.2717
8.739      14.0517    -8.2142
9.0273     14.1393    -8.1469
9.1377     14.1379    -8.1222





























































































































































































12.1984    10.5457    -9.416     R-ALV
12.3724    10.6213    -9.4298
12.5472    10.7048    -9.4178
12.7273    10.8083    -9.3893
12.9464    10.9579    -9.3519
13.1294    11.1412    -9.3118
13.3081    11.2595    -9.2925
13.4005    11.4901    -9.2608
13.5369    11.6573    -9.2191
13.6816    11.8317    -9.1616
13.8094    12.0917    -9.1084
13.9447    12.3667    -9.0903
14.0634    12.576     -9.0289
14.2238    12.7495    -9.0259
14.3383    13.0339    -8.9558













































































































