NMNH       220094     lal1ms.xls
8.1754     9.0364     8.4339
8.1275     9.0307     8.5453
8.0916     8.9846     8.6101
8.0297     8.989      8.7312
7.9823     8.949      8.8556
7.999      8.915      8.8831
8.0521     8.8023     8.961
8.1281     8.7294     8.9856
8.1679     8.6834     9.1267
8.2266     8.5748     9.177
8.3443     8.4311     9.2898
8.4252     8.342      9.3562
8.5495     8.2603     9.3823
8.5914     8.2132     9.4707
8.6434     8.139      9.5353
8.6768     8.0789     9.6271
8.6846     8.0022     9.7222
8.7158     7.9301     9.7893
8.7514     7.8443     9.8407
8.7979     7.8097     9.8646
8.8501     7.7327     9.9053
8.8549     7.764      9.8751
8.9118     7.761      9.9174
9.0135     7.7014     9.8693
9.0862     7.7001     9.8301
9.1012     7.6941     9.7572
9.2144     7.6498     9.6587
9.254      7.6614     9.5785
9.3191     7.6702     9.4905
9.3846     7.6638     9.4195
9.4435     7.6172     9.3602
9.5056     7.5775     9.2928
9.5492     7.5321     9.2585
9.6422     7.5115     9.2131
9.7089     7.4935     9.1486
9.8333     7.4337     9.1172
9.9075     7.408      9.0409
10.0386    7.3843     8.9723
10.1121    7.3728     8.9379
10.1959    7.3795     8.8318
10.2524    7.4071     8.7292
10.2886    7.4521     8.6271
10.311     7.5485     8.4571
10.3669    7.6035     8.3732
10.3734    7.6321     8.3026
10.426     7.7339     8.0281
10.5083    7.7638     7.9377
10.5799    7.8036     7.8025
10.63      7.8246     7.7388
10.6892    7.8381     7.6313
10.7744    7.8172     7.5015
10.8076    7.8202     7.4254
10.8426    7.8079     7.3255
10.9961    7.842      7.215
11.0311    7.8438     7.1386
11.1059    7.8521     7.0292
11.1749    7.8552     6.9608
11.2059    7.8571     6.8241
11.2504    7.9357     6.7433
11.27      8.0012     6.6752
11.3143    8.0435     6.5889
11.2943    8.0614     6.5581
11.2176    8.2067     6.4819






















































































































7.1214     11.0626    11.1337    SUPORB
7.0754     11.0273    11.2724
7.1074     10.9839    11.4049
7.1756     10.9306    11.5832
7.1788     10.8546    11.7656
7.2948     10.7634    11.9553
7.3777     10.6773    12.088
7.4729     10.5808    12.2004
7.5835     10.4486    12.3087
7.6364     10.3647    12.4102
7.7484     10.2375    12.4493
7.8106     10.1344    12.5062
8.0107     9.8623     12.5732
8.0692     9.7433     12.5801
8.1713     9.5909     12.5842
8.3104     9.4208     12.607
8.4075     9.2987     12.6153
8.496      9.2346     12.6278
8.5934     9.1416     12.6265
8.6795     9.0297     12.6223
8.7594     8.9574     12.6195
8.8772     8.8607     12.6044
8.9322     8.8208     12.5748
8.9887     8.7488     12.5251
9.1135     8.6399     12.5066
9.3306     8.4725     12.4494
9.495      8.3661     12.4452
9.5944     8.2871     12.4606
9.7751     8.1953     12.4885
9.9802     8.125      12.531
10.1052    8.089      12.5565
10.2855    8.0447     12.5946
10.5248    7.9956     12.6107
10.7172    7.9565     12.6016
10.9028    7.9185     12.6043
11.0644    7.8574     12.5617
11.2768    7.7865     12.5078
11.5418    7.738      12.4274
11.6545    7.6688     12.3808
11.8237    7.616      12.2743
11.9537    7.5867     12.2149
12.107     7.5421     12.0942
12.1634    7.4965     12.0122
12.2038    7.5011     11.9782
12.3072    7.4705     11.8774
12.4713    7.4664     11.7452
12.5617    7.2922     11.6807
12.5223    7.4224     11.5476
12.5775    7.4197     11.4652
12.5661    7.3938     11.4041
12.5948    7.3697     11.3478
12.6095    7.3948     11.2573
12.6093    7.3917     11.1309
12.6106    7.3864     11.0363
12.6203    7.3639     10.9455
12.6148    7.3331     10.8794
















































































































































7.8056     9.3919     9.6449     RORBIT
7.7112     9.5055     9.6704
7.6653     9.5691     9.6813
7.5761     9.7197     9.7415
7.4822     9.8052     9.7944
7.4468     9.914      9.8592
7.3934     10.0344    9.9542
7.3028     10.1319    10.0484
7.3284     10.2074    10.1554
7.2588     10.2894    10.3097
7.2822     10.3472    10.4229
7.3257     10.3979    10.5337
7.3457     10.4476    10.6673
7.3396     10.4653    10.7387
7.361      10.4687    10.8517
7.3992     10.44      11.011
7.4125     10.3795    11.1487
7.4605     10.3668    11.2717
7.4549     10.2857    11.3639
7.4241     10.1228    11.4924
7.4378     10.2212    11.4883
7.4856     10.166     11.5598
7.5344     10.1103    11.6009
7.5504     10.0345    11.6475
7.626      9.9834     11.6994
7.6404     9.8912     11.7711
7.6558     9.7879     11.8654
7.707      9.7036     11.8933
7.7421     9.6197     11.9235
7.8029     9.5352     11.9081
7.8304     9.4754     11.8907
7.903      9.3807     11.8693
7.9558     9.2992     11.8978
8.0477     9.2257     11.9034
8.1095     9.1579     11.8861
8.1708     9.1153     11.8746
8.2225     9.0674     11.9065
8.3376     9.1142     11.8579
8.3623     9.0503     11.9598
8.4376     8.9893     11.9848
8.5356     8.8988     12.0147
8.6283     8.8257     11.9386
8.693      8.7771     11.9021
8.754      8.7331     11.8243
8.8164     8.6787     11.7065
8.9668     8.6914     11.5093
8.9991     8.6545     11.4141
9.0245     8.6586     11.299
9.0595     8.6666     11.1712
9.0673     8.683      11.0912
9.0775     8.7279     11.024
9.0752     8.7671     10.9521




















































































