NMNH       503882     laa6ms.xls
10.4852    10.7482    8.0423     R_M3D
11.1512    11.8848    7.6779     R_M12
12.5684    12.685     7.1901     R_MP3
13.0727    12.8733    6.6913     R_PMI
11.4142    5.3088     8.0304     L_PG
13.3134    6.4037     7.2121     L_ZTI
12.5121    8.6445     8.0257     L_M3D
13.7129    9.3688     7.6411     L_M12
14.6144    10.6781    7.146      L_MP3
14.735     11.185     6.5957     L_PMI
14.5477    10.7066    6.4987     O1
14.4249    8.2218     6.2534     O2
10.0397    4.142      7.8187     O3
6.749      4.2241     7.0286     O4




















































































































































































10.1664    12.361     7.1501     RZYGINF
10.0992    12.3737    7.1648
10.0088    12.4129    7.2169
9.9328     12.3947    7.2867
9.8606     12.395     7.331
9.7867     12.347     7.3738
9.7067     12.2895    7.4002
9.5718     12.2241    7.4477
9.4527     12.1713    7.4846
9.368      12.1378    7.4913
9.2865     12.1271    7.5111
9.14       12.0742    7.5341
9.0389     12.0537    7.5435
8.9655     12.0106    7.551
8.8752     11.983     7.5395
8.7962     11.9014    7.5416
8.7208     11.8525    7.5184
8.643      11.8213    7.4833
8.5821     11.7442    7.4562
8.5175     11.705     7.4441
8.4199     11.6638    7.4465
8.3744     11.6361    7.442
8.322      11.6195    7.4375
8.2846     11.5832    7.4215
8.2455     11.5652    7.4031
8.1766     11.548     7.379














































































































































































14.1941    8.2656     7.1163     LZYGINF
14.2173    8.2188     7.1317
14.2345    8.1623     7.1418
14.2456    8.0897     7.172
14.1852    8.0053     7.2892
14.1723    7.9446     7.2899
14.1157    7.8541     7.34
14.0552    7.7777     7.3798
14.0204    7.7262     7.3878
14.0126    7.6465     7.3932
13.9557    7.5633     7.4199
13.9221    7.4813     7.4201
13.8733    7.3672     7.4411
13.8117    7.3025     7.4736
13.7861    7.2309     7.463
13.7498    7.1804     7.4451
13.7328    7.1222     7.4444
13.6984    7.0636     7.4516
13.6661    7.0252     7.4689
13.6594    6.9551     7.47
13.6151    6.8397     7.4396
13.6128    6.7927     7.3707
13.5556    6.7093     7.3461
13.5008    6.63       7.3114
13.484     6.587      7.2913
13.4257    6.5205     7.2829
13.414     6.4801     7.2628
13.3769    6.4516     7.2548
13.3817    6.4153     7.2387
13.3603    6.3675     7.195










































































































































































10.4675    10.7852    8.0342     R-ALV
10.4449    10.8254    8.0244
10.4798    10.9002    7.9993
10.4922    10.9642    7.9962
10.546     11.0827    7.9368
10.5728    11.1528    7.9243
10.6581    11.3154    7.9499
10.7336    11.429     7.8831
10.7552    11.4408    7.8672
10.7704    11.5529    7.8333
10.8675    11.6463    7.7694
10.8993    11.7031    7.7323
10.9557    11.7748    7.7059
11.0429    11.8729    7.6802
11.1258    11.9251    7.6642
11.1865    11.964     7.5992
11.2677    12.037     7.5861
11.3704    12.0885    7.5214
11.4171    12.1437    7.4976
11.4814    12.2354    7.4714
11.6251    12.2613    7.4439
11.7156    12.2738    7.4252
11.7696    12.2895    7.4223
11.8631    12.3409    7.387
11.8799    12.362     7.4106
11.9271    12.3825    7.4139
11.9839    12.4474    7.4234
12.0946    12.5151    7.3975
12.2214    12.5543    7.3422
12.2935    12.5947    7.3415
12.3519    12.652     7.3325
12.5107    12.7643    7.2593








































































































































































12.5556    8.6595     8.013      L-ALV
12.655     8.6597     7.9993
12.8459    8.7085     7.943
12.9966    8.7565     7.9062
13.1144    8.8373     7.8764
13.1853    8.8953     7.8814
13.3317    8.9653     7.8278
13.4758    9.0407     7.765
13.6606    9.1496     7.6998
13.7431    9.2944     7.6425
13.8075    9.4067     7.6109
13.9196    9.5213     7.5177
14.0066    9.5777     7.5055
14.159     9.7457     7.3683
14.1374    9.8658     7.3721
14.1811    9.9459     7.3875
14.3354    10.0755    7.3667
14.3569    10.2572    7.3471
14.4855    10.3599    7.2698
14.5142    10.3976    7.2594
14.6194    10.5455    7.1715
14.6199    10.6601    7.1475


















































































































































































8.6108     9.8216     6.7749     R_FOS
11.4156    6.9002     6.7657     L_FOS
