NMNH       481746     cta4ms.xls






















































8.7041     10.3126    8.0568     RORBIT
8.663      10.4603    8.0489
8.6163     10.5455    8.0415
8.5736     10.6543    8.0308
8.4963     10.7725    8.0502
8.4786     10.8773    8.0569
8.4717     10.9782    8.1005
8.4702     11.1589    8.1707
8.4803     11.3011    8.3016
8.4915     11.3528    8.369
8.4943     11.4122    8.4371
8.4842     11.4361    8.5009
8.5268     11.4557    8.5419
8.5203     11.4845    8.6334
8.4992     11.4937    8.6908
8.4853     11.5127    8.7658
8.4993     11.5684    8.8633
8.5143     11.5885    8.9356
8.4954     11.6006    8.9839
8.5291     11.5909    9.0014
8.5269     11.5882    9.0123
8.491      11.5971    9.0919
8.4928     11.611     9.2192
8.4583     11.6073    9.3205
8.4681     11.6051    9.3845
8.4857     11.5788    9.4565
8.4988     11.5532    9.5437
8.5109     11.514     9.6372
8.521      11.4583    9.7099
8.5299     11.416     9.7848
8.5708     11.373     9.8352
8.574      11.3326    9.8678
8.6002     11.286     9.9095
8.6564     11.2339    9.9657
8.6522     11.1983    9.9901
8.6563     11.0975    10.101
8.7155     11.019     10.1167
8.7274     10.9662    10.1806
8.7824     10.9102    10.1734
8.8089     10.8501    10.2142
8.8446     10.7732    10.2233
8.846      10.7289    10.257
8.8905     10.6564    10.2621
8.9141     10.6172    10.2716
8.9486     10.5001    10.2935
8.9883     10.4382    10.2707
8.9943     10.3705    10.2937
9.041      10.2284    10.3032
9.0894     10.1663    10.2883
9.1173     10.1029    10.2878
9.1525     10.0815    10.2503
9.2091     10.0516    10.2028
9.2304     10.0153    10.1915
9.2808     10.0005    10.2475
9.3135     9.9858     10.2634
9.3565     9.9095     10.2929
9.397      9.8564     10.263
9.4374     9.77       10.2542
9.4941     9.7046     10.1955
9.5898     9.5429     10.0475
9.6107     9.533      9.9522
9.5865     9.5016     9.8672
9.5779     9.4894     9.7947
9.562      9.4252     9.7027
9.5448     9.4161     9.6467
9.5506     9.3942     9.5657
9.5534     9.3858     9.4934
9.5472     9.3736     9.4103
9.5195     9.3563     9.3139
9.5217     9.361      9.2279
9.4974     9.3588     9.1835
9.4771     9.3365     9.1477
9.4641     9.3388     9.0201































































































































10.8179    7.9515     7.9967     LORBIT
10.9064    7.9156     7.9836
10.9978    7.8574     7.9907
11.1156    7.8326     7.9811
11.221     7.752      7.9887
11.3807    7.6846     8.0247
11.4999    7.6615     8.0628
11.6009    7.6443     8.1441
11.7564    7.66       8.3498
11.8052    7.6575     8.412
11.8314    7.6517     8.4992
11.9309    7.6229     8.72
11.9613    7.6506     8.7958
12.0001    7.6483     8.8529
12.0087    7.6699     8.9557
11.9968    7.6563     9.0019
12.004     7.6357     9.1871
11.9569    7.6654     9.3687
11.9017    7.698      9.4973
11.8471    7.7462     9.6165
11.7761    7.768      9.7085
11.6188    7.8786     9.8887
