AMNH       118806     ctt3ms.xls
15.679     11.8346    -9.1314
15.6976    11.9248    -9.3529
15.6778    11.9008    -9.6451
15.5456    12.0358    -9.9473
15.4456    12.1382    -10.1461
15.3611    12.2167    -10.2301
15.1896    12.3198    -10.3186
15.0347    12.4152    -10.3883
14.9146    12.5717    -10.3738
14.8264    12.6233    -10.3646
14.6264    12.7258    -10.3323
14.4443    12.954     -10.3752
14.3385    13.059     -10.4474
14.2231    13.1272    -10.4257
14.1342    13.2096    -10.3421
13.8104    13.4023    -9.9892
13.6676    13.3287    -9.7296
13.5757    13.2839    -9.5268
13.5214    13.2299    -9.313
13.4952    13.1929    -9.1936














































































































































































11.8716    14.6226    -8.0924    LORBIT
11.8376    14.8714    -8.0995
11.787     15.1431    -8.1051
11.7479    15.4741    -8.1928
11.8208    15.7269    -8.3563
11.8331    16.0049    -8.7101
11.9232    16.163     -9.112
12.022     16.1691    -9.5253
12.1626    15.9935    -9.8862
12.3155    15.6581    -10.2412
12.5311    15.2497    -10.3462
12.7114    15.0516    -10.3162
12.849     14.8573    -10.3104
13.0156    14.6609    -10.3242
13.1007    14.4246    -10.2862
13.2122    14.1457    -10.0811
13.1421    13.9958    -9.9619
13.0359    13.7818    -9.6432
12.9797    13.7241    -9.3268
12.8994    13.7155    -9.1272
12.8378    13.6966    -9.0342



















































































































































































16.3952    11.8791    -9.4602    RTEMFOS
16.4092    11.7642    -9.2865
16.3728    11.6652    -9.0684
16.3199    11.552     -8.846
16.2661    11.4515    -8.5631
16.1644    11.349     -8.1444
16.1306    11.2736    -7.8037
16.145     11.2107    -7.6025
16.2668    11.1931    -7.4139
16.493     11.1984    -7.271
16.7519    11.2325    -7.2333
16.9477    11.3475    -7.2494
17.0397    11.3794    -7.2966




































































































































































