AMNH       119726     laj38ms.xls
11.7933    8.652      -9.0235
11.6741    8.7695     -9.1777
11.4764    8.9071     -9.3746
11.2163    9.0493     -9.5082
10.9158    9.1775     -9.6059
10.6795    9.2588     -9.6342
10.4368    9.3823     -9.6646
10.1448    9.4652     -9.6122
9.9675     9.5062     -9.5739
9.7641     9.607      -9.5097
9.6041     9.7185     -9.4778
9.5096     9.7636     -9.447
9.4111     9.8455     -9.4386
9.3366     9.9946     -9.4708
9.2631     10.1354    -9.5236
9.1951     10.3429    -9.5863
9.1119     10.6197    -9.6208
9.0375     10.87      -9.6074
8.9726     11.1284    -9.6151
8.8414     11.3966    -9.5404
8.6878     11.6859    -9.3725
8.5171     11.9627    -9.141
8.4122     12.1848    -8.9048
8.3088     12.3093    -8.6576
8.288      12.4066    -8.5083
8.2327     12.515     -8.2923
8.1365     12.5008    -8.0885
8.1578     12.5029    -7.8189





































































































































































10.655     8.281      -6.8234    RORBIT
10.7248    8.2376     -6.8134
10.8273    8.1865     -6.8562
10.9394    8.1213     -6.8906
11.0708    8.1217     -6.9219
11.1386    8.1261     -6.9118
11.2456    8.135      -7.0451
11.3258    8.1418     -7.1508
11.4178    8.1247     -7.2957
11.4985    8.1616     -7.3999
11.5862    8.1686     -7.5207
11.6343    8.1486     -7.6129
11.6895    8.1842     -7.6773
11.7296    8.1916     -7.7282
11.7286    8.2583     -7.86
11.7458    8.2788     -7.9971
11.7792    8.2736     -8.1526
11.7533    8.3097     -8.3434
11.6699    8.3445     -8.5095
11.5963    8.4048     -8.6755
11.5163    8.4387     -8.7923
11.4045    8.5208     -8.8985
11.2701    8.5695     -9.0216
11.1518    8.6142     -9.0947
11.057     8.6783     -9.128
10.9123    8.7004     -9.1931
10.8357    8.7583     -9.1724
10.7485    8.7907     -9.191
10.6495    8.8328     -9.1803
10.5159    8.9544     -9.113
10.423     9.0189     -9.1675
10.331     9.045      -9.2634
10.1746    9.1591     -9.2161
10.0397    9.2705     -9.1269
9.9325     9.3748     -9.0258
9.8386     9.4        -8.9026
9.7389     9.4483     -8.7913
9.6879     9.4651     -8.6746
9.6295     9.4624     -8.5683
9.6009     9.4326     -8.464
































































































































































8.1408     10.6699    -6.8164    LORBIT
8.0903     10.8057    -6.8656
8.0343     10.9329    -6.8673
7.9706     11.0652    -6.915
7.9829     11.226     -6.9679
7.946      11.325     -7.0322
7.9327     11.5279    -7.18
7.9343     11.6149    -7.2732
7.9414     11.7417    -7.4234
7.9374     11.8808    -7.5884
7.9738     11.9787    -7.7134
8.0155     12.0211    -7.878
8.0725     12.0273    -8.0569
8.1146     11.9791    -8.2731
8.1437     11.9184    -8.458
8.229      11.8143    -8.6691
8.3428     11.6342    -8.868
8.395      11.4523    -9.0349
8.5031     11.1935    -9.1204
8.5594     11.0414    -9.1602
8.6458     10.8976    -9.1341
8.6668     10.7892    -9.1565
8.767      10.7072    -9.1261
8.8575     10.6606    -9.152
8.8742     10.5188    -9.1968
8.9694     10.3732    -9.1643
9.1019     10.2514    -9.0411
9.1313     10.1329    -8.9541
9.1629     10.0641    -8.8557
9.2106     9.9734     -8.6791
9.3044     10.0213    -8.5442
9.1581     9.7486     -8.452








































































































































































12.29      8.337      -7.9042    RTEMFOS
12.2477    8.2588     -7.6603
12.1612    8.1741     -7.4328
12.0732    8.1087     -7.2087
11.9293    8.0229     -6.923
11.8571    7.9487     -6.6487
11.7644    7.8977     -6.3481
11.8181    7.8895     -6.0131
12.0388    7.961      -5.8248
12.255     8.0608     -5.7606
12.4804    8.1635     -5.78
12.6821    8.2407     -5.8626
12.7889    8.2647     -5.914
12.8939    8.2876     -5.959










































































































































