NMNH       45242      laj41ms.xls
11.9039    8.0241     7.2185
12.0751    8.0117     7.0453
12.1592    8.0314     6.9335
12.1761    8.0445     6.8884
12.2107    8.0509     6.7857
12.2869    8.0683     6.6606
12.3057    8.1504     6.5343



































































































































8.676      12.0046    10.081     SUPORB
8.6619     11.9766    10.1753
8.6678     11.9683    10.2858
8.6916     11.9519    10.4251
8.7033     11.9122    10.5622
8.6974     11.8636    10.6684
8.7372     11.8078    10.8248
8.7663     11.6836    10.9754
8.8137     11.597     11.1419
8.8593     11.4683    11.3175
8.9261     11.2964    11.4452
8.9724     11.1449    11.5414
9.0656     10.9059    11.6299
9.1009     10.8189    11.6812
9.1564     10.6811    11.733
9.2438     10.5364    11.771
9.2961     10.3576    11.7854
9.3693     10.2124    11.8269
9.4252     10.0571    11.8397
9.4834     9.8937     11.8607
9.5493     9.6623     11.8819
9.6198     9.567      11.8579
9.672      9.4218     11.8202
9.6988     9.2965     11.748
9.7593     9.1527     11.6779
9.7862     9.0453     11.6175
9.8292     8.96       11.5904
9.8815     8.8843     11.5711
9.9241     8.8347     11.5673
10.0595    8.6981     11.5502
10.1736    8.5949     11.5928
10.3126    8.4993     11.6485
10.4436    8.4076     11.6711
10.5502    8.3596     11.7482
11.5864    7.8541     11.6761
11.7602    7.7873     11.6702
11.9202    7.7228     11.6484
12.0715    7.658      11.6244
12.213     7.6106     11.5862
12.3322    7.5544     11.5062
12.4955    7.5012     11.4329
12.6371    7.4235     11.2928
12.7164    7.3754     11.1854
12.7666    7.3446     11.1062
12.8446    7.3361     11.0202
12.9194    7.2937     10.8834
12.9796    7.2677     10.7436
13.0521    7.2485     10.5805
13.09      7.2367     10.4849
13.0993    7.214      10.402
13.1289    7.1888     10.214
13.1274    7.1902     10.1508
13.0747    7.1814     9.9806
13.1081    7.1581     9.938


















































































































































9.2014     9.9733     9.4037     RORBIT
9.1335     10.0818    9.3742
9.0465     10.202     9.3544
8.9953     10.3501    9.3573
8.9733     10.466     9.3912
8.9314     10.5748    9.4276
8.9221     10.708     9.4594
8.8858     10.8065    9.5068
8.8424     10.8957    9.538
8.8284     10.9699    9.5975
8.8258     11.1136    9.6802
8.7926     11.1626    9.7256
8.8143     11.2484    9.8327
8.8154     11.3069    9.9333
8.8206     11.3345    9.9996
8.8076     11.3556    10.0589
8.8067     11.3937    10.2061
8.7801     11.3492    10.3224
8.8225     11.2768    10.4367
8.7837     11.2157    10.5342
8.7958     11.1551    10.6306
8.8091     11.0791    10.7187
8.8204     11.0185    10.8156
8.8338     10.9422    10.8743
8.8125     10.8534    10.9351
8.8135     10.7948    10.9823
8.8505     10.6569    11.0682
8.8808     10.5684    11.106
8.8645     10.5012    11.1344
