NMNH       270954     ctl1ms.xls
10.2119    9.3761     9.553





















































































































































8.6321     12.8903    9.6995     RTEMFOS
8.6097     12.9008    9.607
8.5938     12.9146    9.5191
8.584      12.9354    9.4339
8.5618     12.9198    9.3652
8.5538     12.929     9.2757
8.5237     12.9346    9.2021
8.5003     12.9196    9.1331
8.4724     12.9392    9.0101
8.4504     12.9248    8.899
8.4382     12.9299    8.8637
8.4293     12.9142    8.7742
8.4151     12.9215    8.6914
8.4339     12.93      8.607
8.4256     12.9279    8.5348
8.4212     12.9438    8.4491
8.4208     12.978     8.35
8.4146     12.985     8.2623
8.4224     13.0381    8.1851
8.4242     13.0588    8.1259
8.4492     13.0833    8.0739
8.4783     13.1373    8.0112
8.5319     13.2101    7.9225
8.5879     13.3007    7.8544
8.6029     13.3532    7.8318
8.607      13.3928    7.8019
8.6371     13.4394    7.7929
8.6599     13.502     7.7662
8.7053     13.5509    7.7624
8.7538     13.6314    7.756
8.7391     13.6405    7.7833
8.7728     13.6635    7.7468
8.8132     13.7411    7.7511
8.8202     13.7498    7.7557
8.8462     13.7662    7.7622





































































































































































12.9813    7.9384     9.1904     LTEMFOS
12.9845    7.9337     9.0822
12.9713    7.9316     8.9506
12.968     7.916      8.839
12.9537    7.8625     8.7074
12.9546    7.8447     8.5506
12.9487    7.8251     8.4548
12.9371    7.8124     8.3039
12.983     7.8083     8.1891
12.9449    7.777      8.0653
13.029     7.8128     7.8852
13.1371    7.8557     7.7344
13.2568    7.8975     7.6512
13.3662    7.9327     7.5509
13.4738    8.0002     7.5111
13.5446    8.0355     7.506
13.6667    8.0689     7.4743
13.7344    8.1171     7.4934
13.7978    8.1693     7.5199
13.887     8.1559     7.5184
13.9514    8.2062     7.5443



















































































































































































6.9476     5.6915     9.189      OP
8.1144     6.9049     8.856      BA
10.5428    9.314      7.7992     ST
13.1488    11.751     7.0588     IV
5.9039     9.3327     8.3103     R_PG
6.4795     10.8725    7.6828     R_ZTI
9.5469     10.6567    8.4477     R_M3D
10.5232    11.9659    8.1017     R_M12
12.064     12.9101    7.7559     R_MP3
12.8878    13.3377    7.2791     R_PMI
10.4797    4.6394     8.254      L_PG
12.0978    5.2055     7.7474     L_ZTI
11.8247    8.2587     8.4767     L_M3D
13.1591    9.097      8.0841     L_M12
14.2463    10.4912    7.6437     L_MP3
14.7572    11.252     7.2582     L_PMI
14.7189    11.8994    6.4167     O1
13.2598    7.0117     6.8875     O2
9.3066     3.5266     7.301      O3
5.6042     3.6936     7.2521     O4




















































































































































































9.1923     11.6626    7.475      RZYGINF
9.0861     11.6583    7.4797
8.9524     11.656     7.4476
8.9178     11.67      7.4391
8.8186     11.6829    7.3913
8.7254     11.7101    7.3615
8.6315     11.7691    7.3478
8.5738     11.7668    7.3837
8.5072     11.791     7.4585
8.4322     11.7674    7.5472
8.2848     11.7163    7.681
8.0939     11.6332    7.7585
7.9876     11.6324    7.7367
7.8808     11.5865    7.7406
7.8114     11.5737    7.754
7.6724     11.5242    7.7768
7.5465     11.4614    7.7884
7.4171     11.4063    7.7592
7.3105     11.3032    7.7431
7.2482     11.2612    7.742
7.145      11.1988    7.7556
7.0023     11.1021    7.7756
6.7855     11.0134    7.7912
6.7012     10.9384    7.76
6.6395     10.9107    7.7411
6.5873     10.8985    7.7269
6.499      10.8651    7.6869













































































































































































13.0666    7.8615     7.4253     LZYGINF
13.0077    7.7056     7.4571
13.0056    7.5802     7.4359
12.9651    7.492      7.4165
12.9771    7.377      7.4185
13.0279    7.2922     7.4469
13.0549    7.1813     7.5202
13.0753    7.1115     7.5511
13.0321    7.0235     7.6648
12.9564    6.9452     7.7622
12.8927    6.8665     7.7936
12.8384    6.7658     7.846
12.801     6.6749     7.8574
12.7654    6.5616     7.8897
12.7348    6.4597     7.9204
12.7061    6.3655     7.8944
12.671     6.2714     7.8779
12.664     6.2063     7.8713
12.6151    6.0959     7.8706
12.5607    5.9819     7.8729
12.4905    5.927      7.8913
12.4021    5.7652     7.8809
12.3928    5.7469     7.8651
12.3286    5.6166     7.8409
12.2748    5.5129     7.8241
12.2261    5.4439     7.805
12.1711    5.3704     7.8081
12.1348    5.2928     7.7873
12.1045    5.2657     7.7817
12.0717    5.173      7.7386










































































































































































9.5018     10.6537    8.4508     R-ALV
9.5106     10.7288    8.432
9.5226     10.8026    8.4066
9.4985     10.8536    8.3909
9.5118     10.9054    8.3977
9.4993     10.9315    8.388
9.5245     10.9898    8.3697
9.5388     11.0426    8.3644
9.5876     11.0833    8.3674
9.5832     11.1894    8.3391
9.6663     11.2688    8.3164
9.7257     11.3532    8.3039
9.7982     11.3835    8.3056
9.8607     11.3869    8.3285
9.9256     11.4765    8.3182
10.0288    11.5854    8.2119
10.0837    11.6436    8.2419
10.2013    11.7496    8.1839
10.2367    11.8239    8.2224
10.2891    11.8957    8.1934
10.4024    11.9558    8.1931
10.5072    11.9921    8.1345
10.5621    12.0175    8.1475
10.6046    12.0512    8.1274
10.7127    12.1342    8.1286
10.7559    12.1778    8.1077
10.7879    12.2164    8.071
10.8539    12.2652    7.9997
10.9266    12.3441    7.9984
11.0264    12.376     8.0449
11.1222    12.4078    7.9533
11.2118    12.4648    7.8728
11.2486    12.5241    7.8381
11.383     12.5673    7.8428
11.4257    12.6086    7.8477
11.463     12.6204    7.8389
11.5062    12.6386    7.8945
11.5338    12.6406    7.8466
11.5921    12.6579    7.859
11.6153    12.6203    7.8489
11.6916    12.6454    7.8341
11.7671    12.7393    7.7935
11.8008    12.7741    7.7648
11.8202    12.8057    7.7741
11.877     12.8656    7.7616
11.9711    12.9047    7.7849
12.0261    12.8819    7.7517
12.0829    12.9164    7.7721
















































































