NMNH       220088     ctt23ms.xls
8.3776     12.7343    9.3829
8.3363     12.7398    9.2658
8.3104     12.7442    9.1591
8.2948     12.7304    9.0714
8.2626     12.7125    8.9186
8.2218     12.7037    8.8344
8.2082     12.6924    8.7227
8.1735     12.6487    8.5475
8.1418     12.6522    8.4439
8.0989     12.6168    8.3056
8.0632     12.6026    8.1652
8.0509     12.5818    8.0662
8.0492     12.6149    7.9439
8.0187     12.6649    7.8033
8.0224     12.6871    7.7149
8.0376     12.7479    7.6309
8.0588     12.8329    7.5248
8.1081     12.9537    7.4559
8.1595     13.0432    7.4055
8.1681     13.1655    7.3783
8.2526     13.239     7.4087
8.2722     13.3426    7.3849
8.316      13.4081    7.4089
8.3886     13.4842    7.4648
8.427      13.5047    7.4696











































































































































































12.9019    7.945      9.539      LTEMFOS
12.8919    7.881      9.4566
12.8763    7.8608     9.359
12.8566    7.7999     9.1956
12.8418    7.7731     9.1088
12.8275    7.7548     9.0013
12.8181    7.7002     8.888
12.7821    7.6573     8.7794
12.7683    7.6356     8.6339
12.7478    7.5942     8.507
12.7409    7.5887     8.3992
12.7126    7.554      8.301
12.7138    7.5187     8.1683
12.7087    7.5128     8.0122
12.6745    7.4537     7.9327
12.7199    7.4492     7.7082
12.8179    7.4438     7.5735
12.8876    7.4306     7.4467
13.0662    7.489      7.3107
13.1975    7.5135     7.2822
13.2948    7.5438     7.2549
13.3449    7.5709     7.259
13.4328    7.6116     7.2599
13.4595    7.617      7.2546
13.5061    7.6338     7.2705
13.5506    7.6634     7.2901
13.5944    7.6864     7.3198
13.6903    7.7083     7.3819












































































































































































8.0261     7.4571     9.3339     OP
8.916      8.4644     9.3426     BA
11.8343    11.3748    8.2187     ST
14.1146    13.6577    7.6148     IV
6.7178     10.8318    8.8888     R_PG
7.8362     13.3561    8.0166     R_ZTI
10.8879    12.4565    9.1951     R_M3D
11.5816    13.9239    8.9296     R_M12
13.1361    14.9814    8.4237     R_MP3
14.0239    15.4266    7.6735     R_PMI
11.4204    6.3185     8.4596     L_PG
13.8065    7.5382     7.602      L_ZTI
13.0802    10.3433    8.9614     L_M3D
14.4096    11.1278    8.6574     L_M12
15.4443    12.634     8.1675     L_MP3
15.8607    13.6072    7.6228     L_PMI
15.7333    14.1204    6.8944     O1
14.7471    9.4125     6.9441     O2
10.4126    5.5455     6.9476     O3
6.9691     5.8368     5.6229     O4




















































































































































































10.1521    14.1922    8.1725     RZYGINF
10.0411    14.1553    8.1638
9.9657     14.127     8.1464
9.8794     14.1131    8.1593
9.7788     14.1045    8.1792
9.7511     14.1082    8.1934
9.7047     14.118     8.2166
9.6241     14.1143    8.2629
9.4985     14.1333    8.3385
9.4297     14.105     8.3855
9.3479     14.0586    8.4142
9.2829     14.0518    8.4466
9.1725     13.988     8.4656
9.0519     13.9461    8.4481
8.9459     13.926     8.435
8.8678     13.8709    8.4291
8.7943     13.8428    8.4181
8.7212     13.8235    8.3933
8.6352     13.7841    8.319
8.5378     13.7517    8.2612
8.3726     13.7086    8.2275
8.2817     13.6511    8.2128
8.1852     13.5832    8.1927
8.124      13.5352    8.1475
8.0641     13.5143    8.151
8.0185     13.4817    8.1049
7.9684     13.4179    8.0987
7.8826     13.3473    8.04
7.8533     13.307     7.9796
7.8418     13.3103    7.9722










































































































































































14.5901    9.8347     7.7913     LZYGINF
14.5891    9.7661     7.7669
14.5743    9.6147     7.7686
14.5543    9.5286     7.8037
14.5571    9.3965     7.8525
14.5299    9.3296     7.9276
14.5262    9.2472     7.9546
14.5237    9.1543     7.992
14.5151    9.1115     7.9906
14.5332    9.0086     7.9928
14.468     8.888      8.0396
14.392     8.8311     8.0273
14.3526    8.7061     8.0316
14.2808    8.6343     8.0267
14.2672    8.5512     8.0347
14.2273    8.5172     8.0125
14.1852    8.411      7.9871
14.1612    8.3596     7.9801
14.1557    8.2874     7.945
14.1163    8.2176     7.9197
14.0729    8.1079     7.8721
14.0419    8.0385     7.8612
14.0035    7.9606     7.8241
13.9731    7.8875     7.7891
13.925     7.7872     7.7206
13.8791    7.7439     7.7039
13.8709    7.6587     7.6771
13.8355    7.6081     7.6472
13.8427    7.5963     7.6209
13.7746    7.5051     7.5606










































































































































































10.8496    12.4234    9.2094     R-ALV
10.8028    12.5255    9.2383
10.817     12.5878    9.1666
10.8725    12.6849    9.1538
10.8908    12.7841    9.1383
10.9083    12.8946    9.1049
10.8963    12.9683    9.0901
10.9322    13.013     9.0756
10.9656    13.0862    9.0765
11.0022    13.1738    9.0636
11.0633    13.2637    9.0591
11.068     13.3401    9.0432
11.1018    13.4473    9.0114
11.2261    13.624     8.9693
11.2849    13.7471    8.9864
11.3572    13.8025    8.9809
11.4728    13.8698    8.9665
11.5755    13.9628    8.9255
11.6691    14.0008    8.9268
11.6922    14.0313    8.9287
11.7544    14.0767    8.9098
11.8106    14.1533    8.8801
11.791     14.145     8.8842
11.8099    14.3656    8.9675
11.9583    14.4007    8.863
12.0522    14.4092    8.8436
12.2291    14.4336    8.7406
12.3768    14.558     8.7011
12.4398    14.5914    8.6835
12.5578    14.7083    8.6343
12.6602    14.7935    8.5827
12.689     14.8405    8.5097
12.7954    14.9067    8.4767
12.8909    14.9555    8.4564
12.9954    15.0348    8.4082
13.1256    15.0391    8.4129




































































































































































12.9664    10.3499    9.0187     L-ALV
13.026     10.3515    9.0082
13.132     10.324     8.9718
13.2897    10.3425    8.9069
13.422     10.3866    8.8363
13.5017    10.3976    8.8344
13.5915    10.4454    8.7932
13.6908    10.4839    8.761
13.7379    10.5213    8.775
13.8469    10.605     8.731
13.9364    10.6466    8.7218
14.0525    10.7203    8.7107
14.1654    10.7743    8.6793
14.3511    10.9322    8.6554
14.3922    11.0218    8.6358
14.5106    11.1416    8.6162
14.5849    11.2066    8.6529
14.6845    11.3238    8.595
14.7468    11.3724    8.5752
14.8983    11.5852    8.4601
14.9355    11.6823    8.4567
15.0205    11.776     8.4499
15.0885    11.8742    8.408
15.1384    11.9377    8.4161
15.2611    12.0046    8.3223
15.2645    12.0797    8.3395
15.3183    12.1633    8.3482
15.34      12.1798    8.3069
15.4236    12.3147    8.2144
