AMNH       189378     ca17ms.xls
9.4904     10.4891    -7.9201
9.5408     10.3975    -7.9699
9.5006     10.4674    -7.8144
9.4444     10.5462    -7.679
9.4133     10.6246    -7.5253
9.3944     10.7185    -7.3513
9.3774     10.774     -7.2316
9.3356     10.8478    -7.1378
9.2573     10.915     -7.0293
9.2075     10.9856    -6.9109
9.1997     11.096     -6.8124
9.1378     11.1716    -6.7128
9.1053     11.2506    -6.6031
9.0722     11.3186    -6.4959
9.0522     11.4314    -6.3462
9.0408     11.4953    -6.1861
9.0756     11.5512    -5.9986
9.0719     11.5959    -5.8515
9.043      11.6598    -5.695
9.0111     11.7352    -5.4866
8.9979     11.8397    -5.3172
8.9727     11.8835    -5.1934
8.9389     11.9257    -5.054
8.9133     11.9773    -4.8777
8.9163     11.9932    -4.6954
8.9569     11.9971    -4.5652
8.9999     11.993     -4.4558
9.0408     11.9455    -4.3752






























































































































13.0263    8.8063     -8.4584    SUPORB
13.024     8.8227     -8.6017
12.962     8.8311     -8.7912
12.8866    8.8752     -8.9284
12.8122    8.9322     -9.0488
12.7629    8.9682     -9.169
12.681     9.0516     -9.3042
12.6296    9.0964     -9.3799
12.5701    9.1349     -9.4613
12.5206    9.1836     -9.5263
12.459     9.2497     -9.5749
12.4098    9.3151     -9.6529
12.3606    9.3598     -9.7052
12.2705    9.4311     -9.7568
12.1962    9.509      -9.8167
12.0759    9.5694     -9.882
11.9921    9.6375     -9.9032
11.9175    9.6932     -9.9541
11.8113    9.7916     -10.0083
11.744     9.8271     -10.0318
11.6784    9.8826     -10.0579
11.6077    9.9507     -10.0694
11.5142    10.039     -10.1202
11.4359    10.1177    -10.1505
11.3544    10.2054    -10.1761
11.3009    10.2828    -10.2255
11.2337    10.3602    -10.2394
11.0991    10.4591    -10.263
11.001     10.5341    -10.255
10.9028    10.6002    -10.2447
10.7337    10.6719    -10.2089
10.6293    10.7253    -10.146
10.5342    10.768     -10.1039
10.428     10.8271    -10.0613
10.3774    10.8401    -10.0417
10.3263    10.8914    -10.0309
10.2689    10.9127    -10.0087
10.2698    11.0278    -10.0394
10.2316    11.1576    -10.084
10.1941    11.3192    -10.1196
10.1581    11.4021    -10.1247
10.133     11.564     -10.1345
10.0676    11.7827    -10.148
10.0288    11.9617    -10.1216
9.9871     12.076     -10.1134
9.9408     12.2546    -10.0827
9.9146     12.3738    -10.0463
9.8429     12.5382    -9.9916
9.7904     12.6725    -9.9237
9.7567     12.832     -9.8596
9.681      12.9922    -9.7789
9.6372     13.1124    -9.7076
9.591      13.2161    -9.6521
9.5571     13.3052    -9.5933
9.5481     13.3467    -9.5654
9.5316     13.3479    -9.5491
9.4708     13.4956    -9.4412
9.3864     13.6545    -9.2424
9.3538     13.8286    -9.0769
9.3313     13.9127    -8.9091
9.2939     13.9523    -8.7534
9.3198     14.0677    -8.6297
