AMNH       52596      laj13ms.xls
12.038     6.557      -8.3848
11.9995    6.58       -8.6737
11.9379    6.6243     -8.8783
11.8403    6.6683     -9.0749
11.739     6.7215     -9.2257
11.62      6.8325     -9.404
11.5166    6.8946     -9.5146
11.3499    7.0033     -9.6436
11.2272    7.0774     -9.7453
11.0488    7.2003     -9.8504
10.8463    7.3054     -9.9359
10.601     7.4213     -9.9875
10.3803    7.5695     -10.0105
10.2384    7.6339     -9.9984
10.0627    7.7072     -9.9418
9.8809     7.8421     -9.9392
9.7401     7.8829     -9.857
9.6192     7.9573     -9.8078
9.5311     8.0391     -9.7851
9.4554     8.0945     -9.7526
9.4099     8.2213     -9.8101
9.3456     8.3622     -9.8934
9.2884     8.5317     -9.9808
9.1803     8.7398     -10.0055
9.0729     8.9568     -10.0243
8.9198     9.2198     -9.9833
8.8208     9.4128     -9.9211
8.7612     9.667      -9.8698
8.7107     9.9684     -9.786
8.6173     10.1449    -9.6455
8.5089     10.3007    -9.4905
8.4471     10.4836    -9.3327
8.3839     10.6361    -9.1372
8.361      10.7733    -8.9549
8.3367     10.8219    -8.8162
8.3072     10.7945    -8.67
8.2886     10.831     -8.5383


































































































































































10.4602    6.6297     -7.0928    RORBIT
10.6651    6.577      -7.1296
10.7815    6.509      -7.1468
10.9324    6.4979     -7.2348
11.0731    6.4964     -7.3343
11.1887    6.4814     -7.4351
11.2553    6.4819     -7.5381
11.343     6.4919     -7.6484
11.4237    6.4752     -7.7598
11.4478    6.4805     -7.8744
11.5014    6.4821     -7.9849
11.5247    6.492      -8.0819
11.5442    6.5324     -8.1776
11.5458    6.5273     -8.2999
11.5159    6.4923     -8.4991
11.486     6.5309     -8.6475
11.4331    6.5514     -8.7967
11.3751    6.5945     -8.9565
11.3018    6.6284     -9.0786
11.2072    6.6899     -9.165
11.0713    6.7643     -9.2623
10.9517    6.8432     -9.3161
10.8989    6.8515     -9.3345
10.7394    6.906      -9.4333
