AMNH       119757     CTT4MS.XLS
11.3215    11.2618    -9.5705
11.2803    11.2169    -9.2998
11.2533    11.1323    -8.9841
11.2159    11.0861    -8.8511
11.2239    11.0688    -8.7568















































































































































































9.751      12.7357    -7.6144    LORBIT
9.6458     12.9516    -7.6161
9.5525     13.1857    -7.6604
9.4819     13.4353    -7.7696
9.4679     13.7375    -8.0064
9.53       13.9047    -8.3261
9.6003     14.0016    -8.6742
9.6673     13.9891    -8.9952
9.7522     13.8469    -9.3678
9.8943     13.5623    -9.7132
9.9995     13.2797    -9.8495
10.1418    12.955     -9.938
10.2802    12.6825    -9.9731
10.4358    12.5882    -10.0647
10.6616    12.4107    -10.1653
10.8523    12.1731    -10.0887
10.9637    11.9369    -9.9459
10.9269    11.731     -9.6357
10.9049    11.6893    -9.2813
10.8607    11.6022    -9.0497
10.8332    11.6221    -8.8754



















































































































































































14.0676    9.6603     -9.2595    RTEMFOS
14.0983    9.5384     -8.9991
14.0841    9.4557     -8.6912
14.0543    9.3145     -8.3158
13.9831    9.138      -7.8253
13.9425    9.0429     -7.4601
14.0541    8.9706     -7.1454
14.32      9.0336     -6.9632
14.5279    9.1477     -6.908
14.7529    9.1978     -6.9836
14.8949    9.2297     -7.0305
15.0048    9.2701     -7.077




























































































































































































9.6633     14.7007    -8.9059    LTEMFOS
9.6017     14.6791    -8.5996
9.498      14.6739    -8.373
9.4199     14.6105    -8.0651
9.3058     14.5532    -7.8128
9.2397     14.4599    -7.4852
9.1865     14.483     -7.1518
9.1723     14.5711    -6.953
9.2494     14.7981    -6.7937
9.3399     15.0024    -6.7832
9.46       15.2782    -6.8459
9.5108     15.4114    -6.9089
9.5471     15.515     -6.9634



























































































































































































8.9441     8.6265     -7.9232    OP
10.0626    9.6598     -8.1082    BA
12.8796    12.4022    -7.9998    ST
15.8277    15.0835    -8.1751    IV
12.5154    7.1646     -7.4223    R_PG
14.8246    8.1303     -7.2568    R_ZTI
14.6035    11.1963    -8.9589    R_M3D
15.7709    12.1627    -9.0077    R_M12
16.8921    13.6371    -8.8558    R_MP3
17.4402    14.5896    -8.2036    R_PMI
7.5979     12.1359    -7.7811    L_PG
8.6055     14.4846    -7.5927    L_ZTI
11.7375    14.0046    -9.1503    L_M3D
12.7753    15.1665    -9.0447    L_M12
14.3411    16.1978    -8.7934    L_MP3
15.3728    16.5994    -8.3549    L_PMI
17.4134    15.2725    -7.9095    O1
16.2851    10.1593    -6.9179    O2
11.1776    6.6114     -5.5156    O3
8.22       7.1745     -4.5553    O4




















































































































































































15.846     10.7558    -7.8095    RZYGINF
15.885     10.5948    -7.7534
15.8505    10.4125    -7.709
15.7983    10.0266    -7.6755
15.6707    9.6219     -7.7087
15.5522    9.2977     -7.7011
15.4685    8.9543     -7.6534
15.3441    8.7068     -7.577
15.2226    8.5434     -7.4242
15.0763    8.3479     -7.33
14.9155    8.1491     -7.2856
14.8715    8.1278     -7.2408




























































































































































































11.3011    15.3549    -7.9957    LZYGINF
11.1352    15.3184    -7.9773
10.8071    15.3725    -7.939
10.5194    15.3313    -7.9623
10.2449    15.2276    -7.9822
9.9986     15.0807    -7.9909
9.7415     14.8753    -8.0283
9.5232     14.7941    -7.9983
9.368      14.7264    -7.9055
9.199      14.6703    -7.7868
9.1214     14.6253    -7.7394
8.9944     14.5084    -7.7183
8.8718     14.415     -7.7104
8.7723     14.3621    -7.7086
8.6383     14.297     -7.6366

























































































































































































14.5113    11.1881    -9.0052    R-ALV
14.6853    11.2405    -9.0049
14.855     11.3062    -8.9894
14.9535    11.3547    -8.9962
15.0818    11.4749    -9.005
15.1842    11.5768    -9.0067
15.2898    11.6585    -9.0034
15.4208    11.7759    -8.9865
15.535     11.8507    -8.9698
15.6521    11.9711    -8.9589
15.762     12.1263    -8.9568
15.865     12.263     -8.9752
15.9274    12.3351    -8.9468
16.006     12.4457    -8.9562
16.1164    12.5286    -8.9318
16.194     12.6164    -8.9468
16.2875    12.8926    -8.9055
16.3672    13.0464    -8.8983
16.4855    13.1569    -8.8887
16.572     13.2788    -8.8804
16.7074    13.4336    -8.8522
16.8199    13.5582    -8.8652


















































































































































































11.6797    14.0275    -9.0661    L-ALV
11.7302    14.1697    -9.0718
11.8107    14.3908    -9.0496
11.9867    14.583     -9.0484
12.16      14.72      -9.0622
12.424     14.9777    -9.0022
12.6661    15.1585    -9.0131
12.8419    15.2672    -9.0389
13.0988    15.4349    -9.02
13.3847    15.6172    -9.0056
