NMNH       218844*    ctt22ms.xls
11.69      7.8313     5.8461


































































































































8.957      11.4919    9.2628     SUPORB
8.9501     11.4754    9.3981
8.9946     11.4486    9.4829
9.0182     11.4637    9.5742
9.0403     11.4327    9.6552
9.088      11.3947    9.7645
9.0976     11.3556    9.8277
9.1576     11.3313    9.9354
9.1608     11.2666    10.0212
9.2091     11.1833    10.1188
9.2419     11.1424    10.1427
9.3694     10.9604    10.3025
9.4268     10.8438    10.4001
9.4578     10.7568    10.4452
9.5164     10.6105    10.5238
9.5548     10.5168    10.5542
9.6072     10.394     10.6096
9.6449     10.2539    10.6562
9.6999     10.1494    10.6891
9.7363     10.0199    10.7146
9.8083     9.8975     10.7444
9.7914     9.8178     10.7042
9.8859     9.593      10.737
9.9478     9.4673     10.7646
10.0238    9.347      10.7846
10.0802    9.2545     10.7359
10.1692    9.1694     10.6955
10.2214    9.0778     10.6881
10.303     8.9866     10.6699
10.4444    8.8731     10.6937
10.4803    8.8017     10.6862
10.6314    8.7491     10.7094
10.8051    8.672      10.7686
10.9007    8.6226     10.7871
11.0327    8.551      10.7595
11.1066    8.5124     10.7689
11.2071    8.4675     10.7447
11.4054    8.4155     10.7567
11.576     8.3551     10.7119
11.7367    8.3005     10.6672
11.9185    8.2562     10.6078
12.0771    8.1906     10.5123
12.2314    8.1374     10.4286
12.3236    8.0826     10.3787
12.4251    8.0292     10.3083
12.4723    8.0045     10.277
12.5605    7.9505     10.1853
12.6984    7.853      10.0202
12.7818    7.7981     9.8875
12.853     7.781      9.762
12.8796    7.7732     9.6904
12.9333    7.7346     9.5306
12.9445    7.6801     9.3949
12.9317    7.6542     9.2872
12.8523    7.5655     9.1785

















































































































































9999       9999       9999       RORBIT
9999       9999       9999






































































































































































































11.1463    7.7278     8.1727     LORBIT
11.224     7.6622     8.1476
11.3455    7.6439     8.1569
11.4596    7.5815     8.1528
11.5572    7.5595     8.1485
11.6748    7.5055     8.18
11.8014    7.4697     8.2304
11.9281    7.4317     8.2915
12.0266    7.4339     8.4294
12.116     7.4387     8.5438
12.1715    7.4473     8.6339
12.2466    7.4712     8.7504
12.286     7.4971     8.8422
12.3223    7.5135     8.9565
12.3541    7.5156     9.0562
12.373     7.5418     9.1937
12.3666    7.5627     9.3165
12.3715    7.6049     9.4569
12.3524    7.6459     9.5712
12.3149    7.7231     9.6844
12.2506    7.7869     9.8045
12.2037    7.8416     9.8921
12.1306    7.8904     9.9735
12.0754    7.9308     10.0227
11.9947    7.9911     10.0832
11.8695    7.9913     10.1599
11.7996    8.0293     10.19
11.7194    8.0454     10.2038
11.6517    8.0917     10.2125
11.528     8.1549     10.2518
11.5002    8.1666     10.2372
11.4007    8.1957     10.233
11.2729    8.2351     10.2152
11.1978    8.2439     10.208
11.174     8.2607     10.2134
11.1487    8.2738     10.2293
11.125     8.3711     10.2524
11.1095    8.4117     10.3378
10.9747    8.4708     10.3077
10.9375    8.5182     10.325
10.8714    8.5669     10.2336
10.7954    8.6494     10.1398
10.7218    8.7083     10.0513
10.696     8.7247     9.9875
10.6263    8.7192     9.8864
10.6046    8.7079     9.82
10.5668    8.6861     9.7483
10.5209    8.6757     9.5218
10.4922    8.6779     9.4575
10.4851    8.6734     9.383
10.4551    8.6557     9.2903
10.4009    8.6299     9.1685
10.4007    8.6378     9.1019
10.3907    8.627      9.0633
10.3544    8.6032     9.0222
10.3268    8.5767     8.9251
















































































































































9999       9999       9999       RTEMFOS







































































































































































































12.9133    7.6766     9.2524     LTEMFOS
12.8981    7.6411     9.1565
12.8874    7.5835     9.0786
12.8278    7.516      8.9688
12.8152    7.489      8.8363
12.7861    7.4808     8.6876
12.7801    7.4312     8.5822
12.7414    7.3811     8.4189
12.7089    7.3151     8.2926
12.7036    7.2776     8.1767
12.6796    7.2528     8.0346
12.6747    7.2668     7.8762
12.6943    7.2572     7.6949
12.7413    7.2779     7.6042
12.7992    7.3047     7.5177
12.8906    7.3759     7.4505
12.978     7.4384     7.4201
13.0226    7.4571     7.3975
13.0884    7.4798     7.4078
13.1762    7.5086     7.4123
13.2329    7.5296     7.4086
13.3806    7.5571     7.4526


















































































































































































9.6518     6.3562     8.8972     OP
10.6974    7.4491     8.6017     BA
13.1007    9.803      7.6509     ST
15.3074    11.9765    7.2873     IV
8.8319     9.6725     7.7618     R_PG
9.9595     11.4255    7.4402     R_ZTI
11.973     10.6815    8.3448     R_M3D
12.722     11.9454    8.1722     R_M12
14.3244    12.9653    7.855      R_MP3
14.9781    13.1744    7.6128     R_PMI
12.8771    5.5323     7.815      L_PG
14.6765    6.6356     7.5183     L_ZTI
13.9458    8.6392     8.4398     L_M3D
15.2536    9.4566     8.2685     L_M12
16.2536    10.9789    7.9087     L_MP3
16.4918    11.6071    7.6058     L_PMI
16.5035    12.0602    7.1041     O1
15.5885    8.4272     6.7284     O2
11.8888    4.406      7.2445     O3
8.5813     4.4092     6.0762     O4




















































































































































































11.8841    12.136     7.5648     RZYGINF
11.7831    12.1016    7.5548
11.7133    12.0923    7.5422
11.6226    12.0696    7.5635
11.538     12.0736    7.6051
11.4341    12.0399    7.6213
11.3459    12.0279    7.6519
11.2155    12.017     7.6658
11.1129    11.9891    7.6699
11.0512    11.9499    7.6804
10.9447    11.9079    7.6931
10.7833    11.8236    7.702
10.7098    11.7975    7.6902
10.5727    11.7319    7.6554
10.4659    11.6652    7.5872
10.3881    11.6607    7.5637
10.3054    11.5976    7.5416
10.1937    11.5614    7.5236
10.1181    11.5502    7.4916
10.0571    11.484     7.4523
10.0232    11.4532    7.4433
9.9706     11.3992    7.4236


















































































































































































15.4627    8.63       7.6169     LZYGINF
15.4182    8.542      7.6456
15.4201    8.4627     7.6194
15.4124    8.3952     7.5895
15.4081    8.2998     7.5915
15.3977    8.2336     7.6157
15.3887    8.1487     7.6655
15.3799    8.0562     7.6908
15.3632    7.9714     7.7096
15.335     7.8759     7.7251
15.2928    7.7831     7.75
15.2807    7.7052     7.7568
15.2017    7.6091     7.7842
15.2005    7.555      7.7782
15.1267    7.4702     7.816
15.0844    7.4115     7.7927
15.0305    7.3048     7.7662
15.0148    7.1967     7.7618
14.9409    7.1214     7.7195
14.9324    7.0464     7.6921
14.8669    6.9893     7.6694
