AMNH       52618      LAJ17MS.XLS
10.4928    13.5797    -8.9224
10.5562    13.4458    -9.1012
10.689     13.2423    -9.2902
10.7974    13.0223    -9.393
10.8889    12.8959    -9.413
10.9512    12.6098    -9.447
10.9923    12.4646    -9.4482
11.0879    12.3133    -9.4479
11.2274    12.1299    -9.5206
11.3113    11.9878    -9.5443
11.4867    11.8674    -9.4109
11.5426    11.7293    -9.2366
11.6036    11.6734    -9.057
11.6168    11.586     -8.84
11.6014    11.5432    -8.6584
11.5911    11.4903    -8.5702














































































































































































14.8479    9.8226     -8.2602    RTEMFOS
14.8399    9.7927     -8.0329
14.7022    9.7089     -7.7613
14.5314    9.6374     -7.5473
14.4307    9.5845     -7.3283
14.323     9.4641     -7.0365
14.3407    9.3953     -6.8762
14.4208    9.3452     -6.6498
14.5895    9.3332     -6.5116
14.841     9.3785     -6.4296
15.0601    9.4354     -6.4227
15.2518    9.5192     -6.4659
15.4073    9.5963     -6.5449
15.5152    9.6645     -6.5964
15.529     9.7165     -6.6461

























































































































































































10.3673    14.3258    -8.0994    LTEMFOS
10.3166    14.2714    -7.9371
10.2507    14.1542    -7.7707
10.2062    14.0573    -7.5948
10.1053    13.932     -7.4434
10.0539    13.8473    -7.2
9.9967     13.831     -7.0411
9.9245     13.8021    -6.9242
9.9239     13.8919    -6.6869
9.9347     14.0391    -6.5105
9.9452     14.2027    -6.4064
10.042     14.4358    -6.3852
10.1312    14.6295    -6.3836
10.2057    14.7661    -6.4417
10.2444    14.9782    -6.5087
10.3032    15.1446    -6.5721
























































































































































































10.0155    9.5487     -7.4946    OP
11.3049    10.7521    -7.7733    BA
14.0958    13.5338    -6.9524    ST
16.4049    16.0253    -6.5167    IV
14.1562    9.0244     -6.9569    R_PG
15.9096    9.8863     -6.3458    R_ZTI
15.3871    12.5959    -7.5465    R_M3D
16.4757    13.343     -7.3715    R_M12
17.6536    14.9029    -7.1169    R_MP3
17.8863    15.7272    -6.9423    R_PMI
9.4677     13.7781    -6.9768    L_PG
10.2963    15.5179    -6.4992    L_ZTI
13.059     14.9124    -7.6681    L_M3D
13.8047    16.0895    -7.5487    L_M12
15.3007    17.2398    -7.3263    L_MP3
16.0315    17.4805    -6.9388    L_PMI
18.4335    17.349     -7.0419    O1
12.5793    16.9154    -5.9632    O2
8.2782     12.3435    -5.9574    O3
8.1686     9.0216     -4.9288    O4




















































































































































































17.0032    12.1629    -6.682     RZYGINF
17.0407    12.0161    -6.6196
17.098     11.8719    -6.6419
