AMNH       86900      laa1ms.xls
9.4454     9.5394     -8.7873
9.3485     9.6507     -8.6402
9.2775     9.6914     -8.5301
9.1986     9.7198     -8.3932
9.1585     9.7593     -8.1965
9.1123     9.7412     -8.0274
9.0617     9.7032     -7.8361
9.0267     9.6392     -7.6852













































































































































































7.9933     11.2864    -6.8572    LORBIT
7.9543     11.443     -6.8914
7.9499     11.5737    -6.9738
7.9355     11.685     -7.0589
7.9755     11.8623    -7.2271
8.0104     11.9996    -7.3775
8.0439     12.129     -7.5918
8.0979     12.1837    -7.7939
8.1526     12.1471    -8.0717
8.2329     12.0365    -8.331
8.3151     11.8188    -8.5948
8.4269     11.5638    -8.7342
8.5526     11.1461    -8.7713
8.5787     10.9405    -8.7685
8.6158     10.8235    -8.755
8.6697     10.7696    -8.7633
8.8949     10.2262    -8.3332
8.8614     10.1632    -8.2111
8.8233     10.1044    -8.1571
8.7673     10.0435    -8.0794
8.7142     10.006     -7.9688
8.6887     9.9898     -7.8922


















































































































































































11.0493    8.0207     -7.7741    RTEMFOS
11.0221    7.9614     -7.5645
10.9415    7.9383     -7.3488
10.9055    7.9271     -7.1067
10.8659    7.9008     -6.7989
10.8525    7.8468     -6.5275
10.977     7.792      -6.2877
11.2228    7.7888     -6.1317
11.5011    7.8314     -6.1239
11.6143    7.8834     -6.1832
11.7283    7.8525     -6.2411
11.8166    7.8831     -6.3001




























































































































































































8.0172     12.5842    -7.7119    LTEMFOS
7.9937     12.5276    -7.54
7.9116     12.4791    -7.3824
7.8436     12.4413    -7.1708
7.8016     12.4215    -6.9565
7.7493     12.4157    -6.6989
7.7706     12.4906    -6.4342
7.8964     12.7248    -6.2604
7.9505     12.821     -6.2283
8.0134     12.9561    -6.2226
8.053      13.1459    -6.2522
8.1024     13.2495    -6.3001




























































































































































































5.8234     7.806      -6.6201    OP
7.2829     8.6316     -7.0084    BA
10.1719    10.192     -6.5414    ST
12.6834    11.5835    -6.4743    IV
8.7854     6.2975     -5.9239    R_PG
11.0187    6.7476     -5.6684    R_ZTI
10.8455    9.0362     -7.1477    R_M3D
12.1651    9.3767     -7.1492    R_M12
13.3508    10.3315    -7.1337    R_MP3
13.7143    10.7856    -6.8714    R_PMI
6.1043     11.2159    -6.2706    L_PG
7.4755     12.8367    -6.1898    L_ZTI
9.5309     11.4035    -7.4108    L_M3D
10.462     12.2668    -7.3394    L_M12
11.7881    12.7179    -7.3089    L_MP3
12.417     12.833     -7.0006    L_PMI
14.2572    12.0116    -6.7789    O1
9.2615     13.3667    -6.1665    O2
4.9013     10.7939    -5.6141    O3
3.8318     7.9715     -5.0011    O4

























































