NMNH       220354     ctt27ms2.xls
6.8298     9.9731     12.6598
6.8727     9.8361     12.7028
6.9659     9.7035     12.7784
7.0328     9.5789     12.8191
7.0911     9.4563     12.8338
7.1764     9.3322     12.895
7.2663     9.2263     12.9205
7.3719     9.1073     13.0018
7.4741     8.915      12.9594
7.5532     8.8263     12.9716
7.6721     8.6463     12.9363
7.7663     8.4841     12.9078
7.8289     8.3615     12.8704
7.8932     8.202      12.8126
7.9717     8.1103     12.7715
8.0363     8.0042     12.7396
8.2162     7.9963     12.8539
8.4148     7.888      12.9141
8.5229     7.8389     12.9464
8.6252     7.7887     12.9592
8.7611     7.6995     12.987
8.9082     7.6685     13.0344
9.0368     7.6219     13.0251
9.2027     7.5632     13.0364
9.335      7.4757     13.0144
9.4198     7.4305     12.9867
9.5054     7.3768     12.9622
9.5597     7.3014     12.8879
9.7338     7.1883     12.8409
9.8998     7.1156     12.766
9.9966     7.0759     12.7237
10.1186    7.0211     12.6424
10.2394    6.9408     12.5799
10.371     6.8736     12.4809
10.4989    6.8003     12.3657
10.6154    6.76       12.2698
10.7665    6.7281     12.1691
10.892     6.7236     12.0637
10.953     6.7262     11.9759
10.9685    6.7327     11.91
11.081     6.733      11.7795
11.1065    6.7265     11.6225
11.0784    6.6547     11.5064
11.0702    6.6029     11.4329
11.103     6.5767     11.3394
11.0455    6.5363     11.2699












































































































































6.6141     9.2089     9.8437     RORBIT
6.5339     9.3077     9.8422
6.4994     9.3748     9.8528
6.4191     9.4939     9.859
6.4119     9.5619     9.8777
6.4066     9.6748     9.9175
6.3952     9.7784     9.941
6.3904     9.8931     10.0207
6.375      9.9909     10.104
6.3792     10.0797    10.1792
6.3861     10.1334    10.2798
