NMNH       164578     laj42ms.xls
10.7789    7.8405     6.7595
10.8171    7.8674     6.6915
10.9033    7.841      6.615
10.9985    7.8295     6.4997
11.0766    7.8169     6.4489
11.1338    7.8038     6.3819
11.1777    7.7837     6.3364
11.2104    7.7865     6.312
11.2462    7.7841     6.2443
11.3091    7.8335     6.1604
11.3627    7.8645     6.1032
11.3765    7.8926     6.0581
11.3967    7.9646     5.9823
11.3893    7.976      5.9271
11.3571    8.0289     5.8139





























































































































8.5028     11.5572    8.6212     SUPORB
8.5105     11.5365    8.7791
8.5308     11.5024    8.8963
8.5542     11.4703    8.9879
8.5654     11.4124    9.1013
8.582      11.3745    9.2131
8.6221     11.3309    9.373
8.6467     11.299     9.4705
8.6902     11.2284    9.6019
8.7637     11.1437    9.7234
8.8037     11.0553    9.8053
8.8168     10.9553    9.8792
8.9131     10.8076    10.0126
8.9465     10.6955    10.0707
8.9871     10.5627    10.1399
9.0326     10.4328    10.1989
9.1159     10.2814    10.2639
9.1123     10.1889    10.267
9.1807     10.0469    10.2975
9.1996     9.9436     10.3032
9.2712     9.7875     10.3084
9.2947     9.7038     10.3116
9.3218     9.6073     10.3141
9.3257     9.5167     10.29
9.3724     9.4623     10.3073
9.4417     9.3349     10.3098
9.5098     9.2034     10.2828
9.5632     9.049      10.2407
9.647      8.9381     10.1908
9.7078     8.8515     10.1695
9.749      8.7544     10.1608
9.8864     8.6648     10.1746
10.0067    8.5909     10.2174
10.1223    8.5473     10.2554
10.1996    8.4827     10.2687
10.3583    8.4039     10.2894
10.4892    8.3399     10.269
10.629     8.2927     10.2858
10.7092    8.2543     10.2666
10.8084    8.2224     10.2628
10.8411    8.2044     10.2502
10.9124    8.1702     10.2493
10.9628    8.1404     10.2278
11.1134    8.0804     10.1868
11.1868    8.036      10.1608
11.2973    7.9997     10.1283
11.3916    7.9298     10.0709
11.4917    7.9047     10.0263
11.5498    7.8529     9.9846
11.6701    7.8242     9.8897
11.7733    7.7727     9.8128
11.8986    7.7225     9.7136
12.0014    7.661      9.5534
12.0495    7.6187     9.4532
12.0915    7.5698     9.3021
12.2511    7.5874     9.1573
12.2954    7.5594     9.0589
12.3336    7.5428     8.9716
12.4263    7.5542     8.8141
12.3878    7.5073     8.6227
12.339     7.4426     8.519
12.3086    7.4289     8.3989










































































































































8.5342     9.809      8.0243     RORBIT
8.4606     9.8975     8.0319
8.4167     10.01      8.0424
8.3921     10.0918    8.0528
8.3637     10.188     8.0813
8.3562     10.275     8.0989
8.2986     10.4063    8.1362
8.2627     10.4907    8.1491
8.2772     10.5909    8.2086
8.3033     10.6885    8.2589
8.3403     10.7624    8.3003
8.3355     10.8734    8.408
8.3428     10.9425    8.4455
8.3552     11.0002    8.5025
8.391      11.0528    8.5848
8.4004     11.0667    8.6374
8.4351     11.0985    8.7137
8.416      11.1099    8.7612
8.5036     11.0931    8.842
8.4651     11.0748    8.9767
8.4764     11.0346    9.0914
8.4973     10.9903    9.1732
8.5109     10.917     9.3087
8.5129     10.8639    9.3932
8.5728     10.8026    9.4625
8.5731     10.7481    9.5482
8.5965     10.6717    9.6136
8.6515     10.6061    9.7176
8.7053     10.5377    9.7699
8.7554     10.4286    9.8267
8.8313     10.3204    9.8522
8.8548     10.2468    9.8476
8.9059     10.1414    9.8641
8.9478     10.0563    9.86
9.0102     9.9676     9.8658
9.0418     9.8552     9.8771
9.0903     9.7458     9.8742
9.1999     9.6155     9.8308
9.2446     9.502      9.7998
9.3188     9.404      9.7492
9.3793     9.3738     9.7006
9.4148     9.2848     9.6585
9.4215     9.2374     9.6134
9.4526     9.1502     9.503
9.4608     9.1037     9.3885
9.4787     9.0579     9.2611
9.4739     9.0343     9.1847
9.4447     9.0114     9.1149
9.4142     8.9626     9.0593
9.3945     8.916      9.0241






















































































































































10.6364    7.5169     7.9522     LORBIT
10.7183    7.4444     7.9501
10.7931    7.3827     7.9752
10.8566    7.3394     7.988
10.9185    7.3206     7.9961
11.0059    7.3152     8.0346
11.08      7.2759     8.057
11.1995    7.26       8.1012
11.2771    7.2544     8.1521
11.3632    7.2397     8.2061
11.4452    7.2683     8.2544
11.528     7.297      8.2953
11.6159    7.3123     8.381
11.6688    7.3259     8.4308
11.7492    7.3475     8.4934
11.7769    7.3579     8.5759
11.8365    7.3845     8.6173
11.8548    7.3716     8.6351
11.8853    7.4134     8.6779
11.8762    7.3982     8.7384
11.8596    7.4205     8.8428
11.8271    7.4136     8.9823
11.781     7.4235     9.1006
11.7146    7.4829     9.2367
11.6464    7.5092     9.3438
11.5969    7.527      9.4424
11.5075    7.5341     9.5343
11.4418    7.5657     9.6207
11.4163    7.6039     9.6612
11.348     7.6273     9.7065
11.267     7.6862     9.729
11.1821    7.6947     9.788
11.1525    7.765      9.7737
11.0688    7.7747     9.8012
10.9459    7.8361     9.8279
10.8723    7.8647     9.8424
10.8059    7.9068     9.8552
10.7281    7.9676     9.8995
10.6444    8.0192     9.9127
10.5931    8.0738     9.8911
10.5566    8.1584     9.8335
10.5296    8.2164     9.8104
10.4402    8.2597     9.815
10.3962    8.2798     9.8184
10.3219    8.3282     9.793
10.3134    8.3558     9.781
10.1866    8.4292     9.713
10.1504    8.4468     9.69
10.062     8.4719     9.6445
10.022     8.4778     9.6132
9.9681     8.4923     9.5201
9.9503     8.538      9.4321
9.9254     8.5704     9.3377
9.9104     8.5728     9.2254
9.8987     8.584      9.1537
9.8722     8.5848     9.0835
9.8717     8.5718     8.9988
9.8748     8.5445     8.9047














































































































































8.5825     11.5853    8.791      RTEMFOS
8.5528     11.5918    8.6711
8.5079     11.5613    8.5542
8.4755     11.547     8.4599
8.4311     11.5139    8.3331
8.4188     11.485     8.2288
8.376      11.4494    8.0925
8.3522     11.3698    7.9581
8.3298     11.2744    7.798
8.3185     11.1752    7.5954
8.2836     11.1397    7.4536
8.2791     11.1992    7.2412
8.3629     11.2992    7.0877
8.3367     11.4375    6.9938
8.3844     11.5672    6.9502
8.4404     11.71      6.9248
8.5185     11.8529    6.9624
8.5613     11.9066    6.9926
8.6127     12.0239    7.0719
8.6903     12.0671    7.0874
8.7207     12.1344    7.1098
8.7411     12.17      7.1172


















































































































































































12.3693    7.4359     8.6079     LTEMFOS
12.3497    7.4553     8.4788
12.2906    7.422      8.3559
12.2344    7.4055     8.2315
12.1837    7.3545     8.0996
12.1232    7.3311     7.9544
12.0474    7.2838     7.8375
11.9522    7.2392     7.7026
11.8737    7.1701     7.5108
11.9211    7.1629     7.2683
12.0493    7.1883     7.0942
12.2106    7.2105     7.005
12.3633    7.2629     6.9775
12.4866    7.3182     6.9815
12.5937    7.356      7.0037
12.6935    7.4101     7.0345
12.7503    7.431      7.0752
12.7993    7.4465     7.1017
12.8464    7.4676     7.1146





















































































































































































4.8532     4.988      8.4724     OP
6.0142     6.1788     8.574      BA
8.3326     8.4213     7.4341     ST
10.2801    10.1899    6.9243     IV
4.4872     8.4067     7.7794     R_PG
5.3196     10.0562    7.5313     R_ZTI
7.4039     9.1653     8.0537     R_M3D
7.9642     10.2718    7.8567     R_M12
9.3165     11.2435    7.3661     R_MP3
9.7829     11.515     7.1093     R_PMI
8.23       4.5286     7.6954     L_PG
9.7845     5.2686     7.3329     L_ZTI
9.1386     7.445      7.9153     L_M3D
10.3146    7.9889     7.7535     L_M12
11.2318    9.2955     7.3064     L_MP3
11.4789    9.7578     7.1514     L_PMI
11.4069    10.0986    6.5434     O1
10.8678    7.4414     5.8014     O2
7.4618     3.5889     6.8983     O3
4.6447     3.3045     5.9729     O4




















































































































































































7.3032     10.9319    7.3287     RZYGINF
7.2221     10.8719    7.4053
7.0803     10.816     7.4653
6.9936     10.8129    7.5077
6.9        10.7708    7.5342
6.7559     10.7592    7.6103
6.639      10.6968    7.6538
6.4446     10.6454    7.7094
6.3076     10.5488    7.7268
6.1299     10.4726    7.737
6.0017     10.3821    7.7032
5.8547     10.2977    7.6564
5.686      10.2202    7.6183
5.5815     10.1265    7.5837
5.4583     10.0844    7.5492
5.3792     10.0082    7.5176
5.3034     9.9942     7.5009























































































































































































10.753     7.1368     7.2623     LZYGINF
10.7633    7.0558     7.2883
10.7326    6.9605     7.3375
10.7026    6.8348     7.3964
10.6768    6.7547     7.4322
10.6135    6.6451     7.5377
10.5963    6.5474     7.5131
10.4795    6.373      7.5507
10.4139    6.2633     7.5552
10.3194    6.1645     7.5611
10.259     6.0201     7.5752
10.1736    5.9391     7.5539
10.0964    5.8022     7.5212
10.019     5.7262     7.5063
9.9013     5.6024     7.4726
9.8537     5.497      7.44
9.7881     5.4262     7.4216
9.7554     5.3317     7.4048
9.7488     5.2757     7.3932
9.7423     5.2553     7.3839




















































































































































































7.3901     9.1433     8.0613     R-ALV
7.3939     9.2292     8.0607
7.3775     9.2954     8.0616
7.4027     9.3906     8.064
7.4336     9.4847     8.0331
7.4512     9.5453     8.0136
7.4826     9.6236     8.0156
7.5149     9.7036     8.0206
7.5488     9.7792     7.9926
7.6307     9.8783     7.982
7.6664     9.9543     7.9894
7.7532     10.0373    7.9711
7.8305     10.1578    7.9112
7.9322     10.2599    7.8807
8.0525     10.3872    7.8446
8.1542     10.4714    7.8187
8.2578     10.5708    7.7946
8.2902     10.5999    7.7841
8.4394     10.6919    7.7613
8.5714     10.6641    7.7341
8.6698     10.7614    7.6749
8.7751     10.8457    7.6442
8.8677     10.8949    7.592
8.9774     10.9817    7.5551
9.0493     11.0368    7.5448
9.1139     11.1007    7.4881
9.1435     11.1738    7.4275
9.2079     11.2473    7.389
9.3245     11.2616    7.3643











































































































































































9.1355     7.431      7.929      L-ALV
9.2371     7.4342     7.9529
9.3919     7.4562     7.9747
9.492      7.4702     7.9314
9.6199     7.4855     7.9237
9.7035     7.5388     7.904
9.8898     7.6278     7.8576
9.9754     7.6921     7.8557
10.0609    7.7492     7.8271
10.1559    7.8263     7.8189
10.2324    7.8606     7.7903
10.3072    7.9172     7.7728
10.4479    8.0512     7.7129
10.5197    8.1252     7.7178
10.6067    8.2195     7.7105
10.6985    8.3421     7.6671
10.7202    8.4734     7.6837
10.7735    8.6278     7.6037
10.8913    8.7522     7.5678
10.9697    8.9077     7.5164
11.0333    9.0003     7.4821
11.0842    9.0648     7.4464
11.1308    9.1034     7.3851
11.2382    9.2193     7.3198
11.2753    9.3121     7.2831















































































































































































8.9455     10.3423    6.7733     R_FOS
11.181     7.7893     6.8778     L_FOS
