AMNH       52665      CA14MS.XLS
10.8624    13.7995    -7.4871
10.7889    14.0328    -7.6046
10.7569    14.2137    -7.7306
10.7335    14.2987    -7.8401
10.7144    14.3972    -8.0698
10.761     14.5028    -8.2981
10.7688    14.5241    -8.6081
10.774     14.4518    -8.8429
10.7749    14.3684    -9.0363
10.816     14.2882    -9.1712
10.8539    14.1264    -9.3057
10.9411    13.9081    -9.4579
11.0202    13.6223    -9.5532
11.0955    13.4175    -9.5758
11.2162    13.2064    -9.5837
11.2837    13.0507    -9.5671
11.3516    12.9013    -9.5186
11.4112    12.7368    -9.6048
11.4648    12.6159    -9.6591
11.6116    12.3129    -9.5598
11.6864    12.2653    -9.391
11.7208    12.2106    -9.2203
11.745     12.1956    -9.0423
11.7862    12.1638    -8.8208
11.8226    12.1785    -8.6766
11.8436    12.2003    -8.4622










































































































































































7.7294     15.2727    -14.3541   RTEMFOS
15.3102    10.1089    -8.7245
15.3045    10.0646    -8.4894
15.2304    10.0396    -8.2085
15.1854    9.9931     -7.8638
15.0931    9.9621     -7.5854
14.9744    9.9608     -7.2654
14.9039    9.9796     -6.8724
14.9535    9.9737     -6.6705
15.0152    9.9781     -6.5462
15.1747    10.0054    -6.4104
15.4234    9.99       -6.2841
15.6117    10.0125    -6.264
15.8498    10.0227    -6.2939
16.0004    10.0437    -6.3547
16.1219    10.0808    -6.4403
16.1861    10.1096    -6.4748























































































































































































10.8515    15.2668    -8.8789    LTEMFOS
10.8309    15.3091    -8.6377
10.8071    15.309     -8.4873
10.7773    15.2851    -8.2829
10.7235    15.21      -8.0623
10.6765    15.1749    -7.8777
10.6373    15.1363    -7.7176
10.6257    15.0988    -7.5524
10.6244    15.0214    -7.3843
10.5597    14.9026    -7.146
10.5004    14.8865    -6.9685
10.5181    14.9185    -6.8412
10.5639    14.9858    -6.7092
10.5721    15.0836    -6.534
10.6616    15.3543    -6.3482
10.7152    15.538     -6.2892
10.7443    15.7843    -6.2661
10.8206    15.9723    -6.3098
10.8698    16.1405    -6.3883
10.9071    16.2754    -6.3956




















































































































































































9.5003     9.9769     -8.0888    OP
10.7323    10.9739    -8.5471    BA
14.0021    13.4176    -8.2173    ST
16.9445    15.7874    -8.5523    IV
13.0449    8.3729     -8.0091    R_PG
15.5279    9.243      -7.7033    R_ZTI
15.1207    12.2734    -9.2007    R_M3D
16.6142    12.9777    -8.9772    R_M12
17.9605    14.5933    -8.8505    R_MP3
18.2323    15.3858    -8.7757    R_PMI
8.6986     13.8622    -8.1935    L_PG
10.3639    16.0651    -8.0961    L_ZTI
12.8801    14.7507    -9.3133    L_M3D
13.9217    16.0774    -9.1334    L_M12
15.6931    16.9768    -9.0523    L_MP3
16.5133    17.2528    -8.8124    L_PMI
18.6066    17.4392    -9.2118    O1
12.6596    17.0585    -7.6969    O2
7.6299     12.7377    -7.6389    O3
7.9386     10.3064    -6.6945    O4




















































































































































































16.8303    11.8575    -7.8943    RZYGINF
16.8628    11.6907    -7.885
16.9067    11.4308    -7.9408
16.8062    11.1923    -8.0453
16.7326    10.965     -8.1456
16.6825    10.7132    -8.1593
16.546     10.5066    -8.1155
16.4502    10.2938    -8.0232
16.3001    10.0961    -7.9845
16.1411    9.9151     -7.9606
15.9174    9.7314     -7.8843
15.7653    9.56       -7.8229
15.5969    9.3448     -7.6987
15.4981    9.2995     -7.6323


























































































































































































12.8043    16.7052    -8.1996    LZYGINF
12.5963    16.7461    -8.2265
12.3793    16.7587    -8.2887
12.0736    16.7799    -8.3922
11.7827    16.7469    -8.4798
11.5475    16.6968    -8.5189
11.3332    16.6435    -8.4355
11.1203    16.5409    -8.3681
10.8881    16.3943    -8.352
10.8174    16.324     -8.297
10.6224    16.2077    -8.2199
10.4351    16.0602    -8.1929
10.3225    15.994     -8.1242



























































































































































































15.124     12.2736    -9.168     R-ALV
15.2868    12.2973    -9.1478
15.5657    12.3353    -9.0641
15.7967    12.4442    -9.0271
16.0514    12.5295    -8.9835
16.1341    12.5989    -8.9802
16.2999    12.6717    -8.9658
16.4635    12.7832    -8.9134
16.5638    12.9549    -8.9455
16.7212    13.0798    -8.8834
16.91      13.2134    -8.8769
17.1101    13.406     -8.9365
17.2723    13.6758    -8.977
17.4666    13.7959    -8.9765
17.6037    14.0163    -9.0004
17.7289    14.2175    -8.9827
17.9129    14.5027    -8.8974
17.9384    14.5992    -8.8744






















































































































































































12.8708    14.6999    -9.3247    L-ALV
12.9242    14.9343    -9.288
13.0102    15.1752    -9.2067
13.2456    15.446     -9.2041
13.4691    15.7162    -9.1692
13.6292    15.9339    -9.1796
13.9392    16.1052    -9.0859
14.1977    16.3379    -9.003
14.4629    16.4816    -9.0256
14.6722    16.5599    -9.0622
14.855     16.7565    -9.0346
15.1153    16.8043    -9.0951
15.3419    16.8743    -9.0566
15.619     16.9636    -9.0534
15.7202    17.0072    -9.0506

























































































































































































14.0476    10.7838    -6.1402    R_FOS
11.4532    13.9973    -6.1352    L_FOS
